,Game Date,Home Team,Away Team,Home ATT,Away ATT,Home DEF,Away DEF,Home MID,Away MID,Home Win Odds,Draw Odds,Away Win Odds,Winner,Home win Odds not normal,Draw Odds not normal,Away win Odds not normal,Home Team Rank,Away Team Rank,Home Team Scored Goals,Home Team Received Goals,Away Team Scored Goals,Away Team received Goals
0,05/08/2011,Dortmund,Hamburg,80,79,79,74,80,75,0.59249626,0.243495174,0.164008566,1,1.561666667,3.8,5.641666667,3,14,3,1,1,3
1,06/08/2011,Augsburg,Freiburg,71,73,69,69,68,73,0.412915395,0.277685603,0.309399001,X,2.241666667,3.333333333,2.991666667,9,10,2,2,2,2
2,06/08/2011,FC Koln,Wolfsburg,80,78,74,73,74,75,0.361710439,0.280075035,0.358214526,2,2.561666667,3.308333333,2.586666667,17,2,0,3,3,0
3,06/08/2011,Hannover,Hoffenheim,78,75,75,74,75,76,0.431639724,0.278722133,0.289638143,1,2.141666667,3.316666667,3.191666667,6,11,2,1,1,2
4,06/08/2011,Hertha,Nurnberg,74,73,73,73,74,72,0.444444444,0.277777778,0.277777778,2,2.083333333,3.333333333,3.333333333,13,7,0,1,1,0
5,06/08/2011,Stuttgart,Schalke 04,76,84,75,75,76,78,0.411871061,0.276629817,0.311499122,1,2.25,3.35,2.975,1,18,3,0,0,3
6,06/08/2011,Werder Bremen,Kaiserslautern,78,71,74,71,73,71,0.50995335,0.263053951,0.226992699,1,1.818333333,3.525,4.085,5,15,2,0,0,2
7,07/08/2011,Bayern Munich,M'gladbach,86,77,81,74,86,74,0.758502469,0.156614735,0.084882795,2,1.221666667,5.916666667,10.91666667,12,8,0,1,1,0
8,07/08/2011,Mainz,Leverkusen,74,78,73,75,73,79,0.253369813,0.271291093,0.475339094,1,3.658333333,3.416666667,1.95,4,16,2,0,0,2
9,13/08/2011,Freiburg,Mainz,73,74,69,73,73,73,0.400221813,0.275400158,0.324378029,2,2.316666667,3.366666667,2.858333333,10,4,2,2,2,0
10,13/08/2011,Hamburg,Hertha,79,74,74,73,75,74,0.491536958,0.264098955,0.244364088,X,1.885,3.508333333,3.791666667,16,15,1.5,2.5,1,1.5
11,13/08/2011,Hoffenheim,Dortmund,75,80,74,79,76,80,0.210194669,0.255720704,0.534084627,1,4.4,3.616666667,1.731666667,10,7,1,1,1.5,1
12,13/08/2011,M'gladbach,Stuttgart,77,76,74,75,74,76,0.363391964,0.277449765,0.359158271,X,2.545,3.333333333,2.575,4,3,1,0.5,2,0.5
13,13/08/2011,Nurnberg,Hannover,73,78,73,75,72,75,0.407266122,0.278655767,0.314078111,2,2.275,3.325,2.95,9,2,1,1,2,1
14,13/08/2011,Schalke 04,FC Koln,84,80,75,74,78,74,0.585356253,0.245797825,0.168845922,1,1.581666667,3.766666667,5.483333333,6,18,2.5,2,0.5,4
15,13/08/2011,Wolfsburg,Bayern Munich,78,86,73,81,75,86,0.239976291,0.262669085,0.497354624,2,3.858333333,3.525,1.861666667,5,11,1.5,0.5,0.5,0.5
16,14/08/2011,Kaiserslautern,Augsburg,71,71,71,69,71,68,0.503155775,0.269652415,0.22719181,X,1.84,3.433333333,4.075,17,13,0.5,1.5,1.5,1.5
17,14/08/2011,Leverkusen,Werder Bremen,78,78,75,74,79,73,0.501555513,0.261752971,0.236691516,1,1.848333333,3.541666667,3.916666667,12,8,0.5,1,1,0.5
18,19/08/2011,M'gladbach,Wolfsburg,77,78,74,73,74,75,0.35441905,0.281214107,0.364366843,1,2.625,3.308333333,2.553333333,4,5,1,0.5,1.5,0.5
19,20/08/2011,Augsburg,Hoffenheim,71,75,69,74,68,76,0.342795394,0.282200249,0.375004357,2,2.716666667,3.3,2.483333333,14,7,1,1.666666667,1.333333333,0.666666667
20,20/08/2011,Bayern Munich,Hamburg,86,79,81,74,86,75,0.701149764,0.190329201,0.108521036,1,1.323333333,4.875,8.55,3,17,2,0.333333333,1,3.333333333
21,20/08/2011,Dortmund,Nurnberg,80,73,79,73,80,72,0.71683221,0.187219707,0.095948084,1,1.295,4.958333333,9.675,6,12,1.666666667,0.666666667,0.666666667,1.333333333
22,20/08/2011,FC Koln,Kaiserslautern,80,71,74,71,74,71,0.406530631,0.280577816,0.312891553,X,2.283333333,3.308333333,2.966666667,18,15,0.666666667,3,0.666666667,1.333333333
23,20/08/2011,Stuttgart,Leverkusen,76,78,75,75,76,79,0.388123313,0.277672301,0.334204386,2,2.396666667,3.35,2.783333333,10,9,1.333333333,0.666666667,0.666666667,0.666666667
24,20/08/2011,Werder Bremen,Freiburg,78,73,74,69,73,73,0.593747765,0.236739514,0.169512721,1,1.558333333,3.908333333,5.458333333,5,16,2.333333333,1.333333333,2,3
25,21/08/2011,Hannover,Hertha,78,74,75,73,75,74,0.442159682,0.280665592,0.277174726,X,2.1,3.308333333,3.35,2,13,1.666666667,1,1,1.333333333
26,21/08/2011,Mainz,Schalke 04,74,84,73,75,73,78,0.378287511,0.282518521,0.339193969,2,2.458333333,3.291666667,2.741666667,8,4,2,1.666666667,3,2
27,26/08/2011,Hertha,Stuttgart,74,76,73,75,74,76,0.365736313,0.27511298,0.359150707,1,2.545,3.383333333,2.591666667,13,10,1,1.333333333,1.333333333,0.666666667
28,27/08/2011,Freiburg,Wolfsburg,73,78,69,73,73,75,0.336839158,0.277199307,0.385961535,1,2.75,3.341666667,2.4,13,15,2.333333333,2.333333333,0.333333333,2.666666667
29,27/08/2011,Hamburg,FC Koln,79,80,74,74,75,74,0.505224686,0.263003489,0.231771825,2,1.835,3.525,4,18,14,1.666666667,3.666666667,2,3
30,27/08/2011,Hoffenheim,Werder Bremen,75,78,74,74,76,73,0.405629239,0.274748869,0.319621893,2,2.291666667,3.383333333,2.908333333,9,3,1.333333333,0.666666667,2.333333333,1.666666667
31,27/08/2011,Kaiserslautern,Bayern Munich,71,86,71,81,71,86,0.154506839,0.224013138,0.621480023,2,6,4.138333333,1.491666667,17,1,0.666666667,1.666666667,3,0
32,27/08/2011,Leverkusen,Dortmund,78,80,75,79,79,80,0.354573857,0.279226913,0.36619923,X,2.625,3.333333333,2.541666667,8,6,0.666666667,0,0.666666667,0.333333333
33,27/08/2011,Nurnberg,Augsburg,73,71,73,69,72,68,0.521912695,0.268772431,0.209314873,1,1.776666667,3.45,4.43,10,16,0.666666667,1.333333333,0.333333333,1.333333333
34,28/08/2011,Hannover,Mainz,78,74,75,73,75,73,0.424732127,0.276128579,0.299139294,X,2.183333333,3.358333333,3.1,4,7,1.333333333,1,1.666666667,2
35,28/08/2011,Schalke 04,M'gladbach,84,77,75,74,78,74,0.529251344,0.258117477,0.212631179,1,1.751666667,3.591666667,4.36,2,5,3.333333333,1,1.666666667,1
36,09/09/2011,Augsburg,Leverkusen,71,78,69,75,68,79,0.204990815,0.255768356,0.539240829,2,4.533333333,3.633333333,1.723333333,16,8,0.333333333,1.333333333,0.666666667,0
37,10/09/2011,Bayern Munich,Freiburg,86,73,81,69,86,73,0.801541236,0.13339799,0.065060774,1,1.156666667,6.95,14.25,1,14,5,0,2,4
38,10/09/2011,Dortmund,Hertha,80,74,79,73,80,74,0.668613798,0.209272341,0.122113861,2,1.385,4.425,7.583333333,11,8,1,0.666666667,1.333333333,0.666666667
39,10/09/2011,Mainz,Hoffenheim,74,75,73,74,73,76,0.421581432,0.28319974,0.295218828,2,2.2,3.275,3.141666667,12,5,1,3,2.333333333,0.666666667
40,10/09/2011,M'gladbach,Kaiserslautern,77,71,74,71,74,71,0.484220912,0.266844042,0.248935046,1,1.915,3.475,3.725,3,17,1.666666667,0.666666667,0.333333333,1.666666667
41,10/09/2011,Stuttgart,Hannover,76,78,75,75,76,75,0.496232423,0.264420991,0.239346587,1,1.865,3.5,3.866666667,10,9,1,0.666666667,0.666666667,1.666666667
42,10/09/2011,Werder Bremen,Hamburg,78,79,74,74,73,75,0.578757144,0.237413569,0.183829287,1,1.606666667,3.916666667,5.058333333,2,18,3,1.333333333,1,3.666666667
43,11/09/2011,FC Koln,Nurnberg,80,73,74,73,74,72,0.375652,0.282215716,0.342132283,2,2.466666667,3.283333333,2.708333333,15,7,2,2,1,1
44,11/09/2011,Wolfsburg,Schalke 04,78,84,73,75,75,78,0.373295178,0.281146746,0.345558075,1,2.491666667,3.308333333,2.691666667,13,6,1,2.666666667,2,1.333333333
45,16/09/2011,Freiburg,Stuttgart,73,76,69,75,73,76,0.288390177,0.272212191,0.439397632,2,3.225,3.416666667,2.116666667,14,10,2,4,1,0.666666667
46,17/09/2011,Hamburg,M'gladbach,79,77,74,74,75,74,0.394474202,0.272283413,0.333242386,2,2.358333333,3.416666667,2.791666667,18,3,1,2.333333333,0.666666667,0.333333333
47,17/09/2011,Hertha,Augsburg,74,71,73,69,74,68,0.591693454,0.243684278,0.164622268,X,1.565,3.8,5.625,10,17,1.666666667,1,1,2.333333333
48,17/09/2011,Hoffenheim,Wolfsburg,75,78,74,73,76,75,0.466952402,0.264606361,0.268441236,1,1.983333333,3.5,3.45,4,14,2.666666667,1,1,2.333333333
49,17/09/2011,Kaiserslautern,Mainz,71,74,71,73,71,73,0.383036395,0.275520733,0.341442872,1,2.421666667,3.366666667,2.716666667,15,13,1,1.666666667,0.666666667,2.666666667
50,17/09/2011,Leverkusen,FC Koln,78,80,75,74,79,74,0.663664437,0.206994224,0.129341339,2,1.398333333,4.483333333,7.175,7,12,1.666666667,1.666666667,3,2
51,17/09/2011,Nurnberg,Werder Bremen,73,78,73,74,72,73,0.35117204,0.272029853,0.376798107,X,2.646666667,3.416666667,2.466666667,8,2,1.333333333,0.666666667,1.666666667,0.666666667
52,18/09/2011,Hannover,Dortmund,78,80,75,79,75,80,0.226475701,0.266473796,0.507050503,1,4.108333333,3.491666667,1.835,5,11,1,1.666666667,0.666666667,1.333333333
53,18/09/2011,Schalke 04,Bayern Munich,84,86,75,81,78,86,0.194385815,0.245337163,0.560277022,2,4.775,3.783333333,1.656666667,9,1,0.666666667,1.333333333,4,0
54,23/09/2011,Stuttgart,Hamburg,76,79,75,74,76,75,0.584248481,0.237953022,0.177798498,2,1.585,3.891666667,5.208333333,6,18,1.666666667,0.666666667,1,2.333333333
55,24/09/2011,Augsburg,Hannover,71,78,69,75,68,75,0.328888585,0.273292677,0.397818739,X,2.818333333,3.391666667,2.33,16,6,1,2,0.666666667,1.333333333
56,24/09/2011,Bayern Munich,Leverkusen,86,78,81,75,86,79,0.702604317,0.189834829,0.107560854,1,1.321666667,4.891666667,8.633333333,1,11,4,0,1.666666667,2.666666667
57,24/09/2011,Mainz,Dortmund,74,80,73,79,73,80,0.248567204,0.267687759,0.483745037,2,3.733333333,3.466666667,1.918333333,14,8,0.666666667,3,1.333333333,1.666666667
58,24/09/2011,M'gladbach,Nurnberg,77,73,74,73,74,72,0.462016795,0.275156669,0.262826535,1,2.01,3.375,3.533333333,3,9,1,0,1,1
59,24/09/2011,Schalke 04,Freiburg,84,73,75,69,78,73,0.674205546,0.200801291,0.124993163,1,1.375,4.616666667,7.416666667,5,17,1.666666667,2,1,4.333333333
