,Game Date,Home Team,Away Team,Home ATT,Away ATT,Home DEF,Away DEF,Home MID,Away MID,Home Win Odds,Draw Odds,Away Win Odds,Winner,Home win Odds not normal,Draw Odds not normal,Away win Odds not normal,,,Home Team Scored Goals,Home Team Received Goals,Away Team Scored Goals,Away Team received Goals
0,07/08/2009,Wolfsburg,Stuttgart,83,79,77,76,79,78,0.470121334,0.275991629,0.253887036,1,1.966666667,3.35,3.641666667,1,18,2,0,0,2
1,08/08/2009,Dortmund,FC Koln,75,79,76,73,79,75,0.550268562,0.261148833,0.188582605,1,1.665,3.508333333,4.858333333,4,16,1,0,0,1
2,08/08/2009,Hertha,Hannover,77,74,72,72,76,74,0.512236505,0.270088339,0.217675156,1,1.788333333,3.391666667,4.208333333,5,17,1,0,0,1
3,08/08/2009,Hoffenheim,Bayern Munich,79,85,77,81,76,83,0.237028487,0.270224122,0.492747391,X,3.866666667,3.391666667,1.86,10,11,1,1,1,1
4,08/08/2009,Mainz,Leverkusen,74,76,70,77,71,79,0.263131002,0.277049771,0.459819227,X,3.483333333,3.308333333,1.993333333,8,9,2,2,2,2
5,08/08/2009,Nurnberg,Schalke 04,71,79,71,76,70,78,0.286630878,0.280488788,0.432880334,2,3.196666667,3.266666667,2.116666667,15,3,1,2,2,1
6,08/08/2009,Werder Bremen,Ein Frankfurt,80,75,78,72,79,72,0.651604378,0.222840767,0.125554855,2,1.405,4.108333333,7.291666667,14,2,2,3,3,2
7,09/08/2009,Bochum,M'gladbach,75,74,71,71,72,73,0.426029754,0.278973798,0.294996448,X,2.15,3.283333333,3.105,7,6,3,3,3,3
8,09/08/2009,Freiburg,Hamburg,71,79,68,76,70,80,0.263877622,0.277204775,0.458917603,X,3.466666667,3.3,1.993333333,13,12,1,1,1,1
9,15/08/2009,Bayern Munich,Werder Bremen,85,80,81,78,83,79,0.581405741,0.249701241,0.168893017,X,1.578333333,3.675,5.433333333,11,14,1,1,2,3
10,15/08/2009,Ein Frankfurt,Nurnberg,75,71,72,71,72,70,0.460458675,0.276044399,0.263496926,X,1.993333333,3.325,3.483333333,5,13,2,1.5,1,1.5
11,15/08/2009,FC Koln,Wolfsburg,79,83,73,77,75,79,0.220551309,0.270405659,0.509043031,2,4.158333333,3.391666667,1.801666667,18,2,0.5,2,2.5,0.5
12,15/08/2009,Hamburg,Dortmund,79,75,76,76,80,79,0.44968214,0.279624681,0.27069318,1,2.041666667,3.283333333,3.391666667,3,9,2.5,1,1,2
13,15/08/2009,Hannover,Mainz,74,74,72,70,74,71,0.507685555,0.271599267,0.220715177,X,1.81,3.383333333,4.163333333,15,10,0.5,1,1.5,1.5
14,15/08/2009,Leverkusen,Hoffenheim,76,79,77,77,79,76,0.465960881,0.274463741,0.259575378,1,1.968333333,3.341666667,3.533333333,6,14,1.5,1,0.5,1
15,15/08/2009,Stuttgart,Freiburg,79,71,76,68,78,70,0.641109146,0.229463649,0.129427205,1,1.431666667,4,7.091666667,7,16,2,2,1.5,2.5
16,16/08/2009,M'gladbach,Hertha,74,77,71,72,73,76,0.394650327,0.287354769,0.317994903,1,2.33,3.2,2.891666667,4,8,2.5,2,1,1
17,16/08/2009,Schalke 04,Bochum,79,75,76,71,78,72,0.644666355,0.228916868,0.126416778,1,1.423333333,4.008333333,7.258333333,1,17,2.5,0.5,1.5,3
18,21/08/2009,Hoffenheim,Schalke 04,79,79,77,76,76,78,0.375528162,0.287225674,0.337246164,X,2.466666667,3.225,2.746666667,14,1,0.5,1,2.5,0.5
19,22/08/2009,Dortmund,Stuttgart,75,79,76,76,79,78,0.405424862,0.285267856,0.309307282,X,2.263333333,3.216666667,2.966666667,12,9,1,1.666666667,1.666666667,1.666666667
20,22/08/2009,FC Koln,Ein Frankfurt,79,75,73,72,75,72,0.423752187,0.283227683,0.29302013,X,2.166666667,3.241666667,3.133333333,17,6,0.333333333,1.333333333,1.333333333,1
21,22/08/2009,Freiburg,Leverkusen,71,76,68,77,70,79,0.27953311,0.281677865,0.438789025,2,3.283333333,3.258333333,2.091666667,18,1,1,3.333333333,2.666666667,0.666666667
22,22/08/2009,Mainz,Bayern Munich,74,85,70,81,71,83,0.136579838,0.232931336,0.630488827,1,6.716666667,3.938333333,1.455,5,14,1.666666667,1.333333333,1,1.333333333
23,22/08/2009,Nurnberg,Hannover,71,74,71,72,70,74,0.456583934,0.281423857,0.26199221,2,2.008333333,3.258333333,3.5,16,8,0.666666667,1.666666667,1,0.666666667
24,23/08/2009,Bochum,Hertha,75,77,71,72,72,76,0.38415031,0.285226629,0.33062306,1,2.388333333,3.216666667,2.775,11,13,1.333333333,2,0.666666667,1
25,23/08/2009,Werder Bremen,M'gladbach,80,74,78,71,79,73,0.643808452,0.226060052,0.130131496,1,1.425,4.058333333,7.05,7,10,2,1.333333333,1.666666667,2.333333333
26,23/08/2009,Wolfsburg,Hamburg,83,79,77,76,79,80,0.503000048,0.271495828,0.225504123,2,1.821666667,3.375,4.063333333,4,2,2.333333333,1.666666667,3,1.333333333
27,28/08/2009,M'gladbach,Mainz,74,74,71,70,73,71,0.459819227,0.277049771,0.263131002,1,1.993333333,3.308333333,3.483333333,10,5,1.666666667,2.333333333,1.666666667,1.333333333
28,29/08/2009,Bayern Munich,Wolfsburg,85,83,81,77,83,79,0.504788832,0.266694729,0.228516438,1,1.818333333,3.441666667,4.016666667,8,7,1.666666667,1,1.666666667,2.666666667
29,29/08/2009,Ein Frankfurt,Dortmund,75,75,72,76,72,79,0.324636748,0.285108439,0.390254814,X,2.825,3.216666667,2.35,6,12,0.666666667,0.666666667,1,2
30,29/08/2009,Hannover,Hoffenheim,74,79,72,77,74,76,0.356772526,0.284130697,0.359096777,2,2.575,3.233333333,2.558333333,13,10,1,0.666666667,0.333333333,0.333333333
31,29/08/2009,Leverkusen,Bochum,76,75,77,71,79,72,0.655636824,0.222519164,0.121844012,1,1.4,4.125,7.533333333,2,14,2.666666667,0.333333333,0.666666667,1.666666667
32,29/08/2009,Schalke 04,Freiburg,79,71,76,68,78,70,0.691116322,0.202135673,0.106748006,2,1.328333333,4.541666667,8.6,4,15,1,0.333333333,1,3
33,29/08/2009,Stuttgart,Nurnberg,79,71,76,71,78,70,0.641481459,0.228094112,0.130424429,X,1.43,4.021666667,7.033333333,9,17,1.666666667,1,0.333333333,1
34,30/08/2009,Hamburg,FC Koln,79,79,76,73,80,75,0.678328231,0.209033216,0.112638553,1,1.353333333,4.391666667,8.15,1,18,3.666666667,1.333333333,0.666666667,2
35,30/08/2009,Hertha,Werder Bremen,77,80,72,78,76,79,0.295875352,0.275853711,0.428270937,2,3.1,3.325,2.141666667,16,3,1,2,2.333333333,1
36,12/09/2009,Dortmund,Bayern Munich,75,85,76,81,79,83,0.235010157,0.270898408,0.494091435,2,3.9,3.383333333,1.855,12,8,1,2,1.666666667,1
37,12/09/2009,Freiburg,Ein Frankfurt,71,75,68,72,70,72,0.41857942,0.282272788,0.299147792,2,2.191666667,3.25,3.066666667,16,4,0.333333333,2.333333333,1,0.333333333
38,12/09/2009,Hamburg,Stuttgart,79,79,76,76,80,78,0.500722256,0.27309864,0.226179104,1,1.831666667,3.358333333,4.055,1,12,3.333333333,1.333333333,0.666666667,1.333333333
39,12/09/2009,Hoffenheim,Bochum,79,75,77,71,76,72,0.602047383,0.24702841,0.150924207,1,1.525,3.716666667,6.083333333,7,15,1.333333333,0,0.666666667,1.666666667
40,12/09/2009,Mainz,Hertha,74,77,70,72,71,76,0.381789068,0.283389824,0.334821108,1,2.4,3.233333333,2.736666667,8,17,1.333333333,1.333333333,1,2
41,12/09/2009,Nurnberg,M'gladbach,71,74,71,71,70,73,0.433479024,0.278743474,0.287777502,1,2.116666667,3.291666667,3.188333333,13,9,0.333333333,0.666666667,0.666666667,1.333333333
42,12/09/2009,Wolfsburg,Leverkusen,83,76,77,77,79,79,0.460428882,0.276720072,0.262851047,2,1.993333333,3.316666667,3.491666667,10,2,1.333333333,3.333333333,3.333333333,1
43,13/09/2009,FC Koln,Schalke 04,79,79,73,76,75,78,0.283374986,0.283083598,0.433541416,2,3.238333333,3.241666667,2.116666667,18,3,0.666666667,1.666666667,0.666666667,0.666666667
44,13/09/2009,Werder Bremen,Hannover,80,74,78,72,79,74,0.668983038,0.209343361,0.1216736,X,1.371666667,4.383333333,7.541666667,6,11,2,0.666666667,0.666666667,0.333333333
45,18/09/2009,Schalke 04,Wolfsburg,79,83,76,77,78,79,0.418938286,0.277533424,0.30352829,2,2.191666667,3.308333333,3.025,3,10,0.666666667,0.666666667,1.333333333,3.333333333
46,19/09/2009,Bayern Munich,Nurnberg,85,71,81,71,83,70,0.778049098,0.150309758,0.071641144,1,1.181666667,6.116666667,12.83333333,3,14,3.333333333,0.666666667,0.666666667,0.666666667
47,19/09/2009,Bochum,Mainz,75,74,71,70,72,71,0.442202022,0.278051272,0.279746706,2,2.075,3.3,3.28,17,5,1,2.666666667,1.666666667,1.666666667
48,19/09/2009,Hannover,Dortmund,74,75,72,76,74,79,0.344145236,0.284363306,0.371491457,X,2.671666667,3.233333333,2.475,12,13,0.333333333,0.666666667,1,2.333333333
49,19/09/2009,M'gladbach,Hoffenheim,74,79,71,77,73,76,0.322456524,0.280118721,0.397424755,2,2.845,3.275,2.308333333,10,4,1.333333333,1.666666667,2.666666667,0.666666667
50,19/09/2009,Stuttgart,FC Koln,79,79,76,73,78,75,0.613174541,0.238840516,0.147984943,2,1.498333333,3.846666667,6.208333333,15,16,0.333333333,1.666666667,1.333333333,1.666666667
51,20/09/2009,Ein Frankfurt,Hamburg,75,79,72,76,72,80,0.25357739,0.276514039,0.469908571,X,3.616666667,3.316666667,1.951666667,6,1,1.333333333,0.666666667,2.333333333,1
52,20/09/2009,Hertha,Freiburg,77,71,72,68,76,70,0.488588123,0.27487651,0.236535366,2,1.88,3.341666667,3.883333333,18,11,1,3,1.666666667,0.666666667
53,20/09/2009,Leverkusen,Werder Bremen,76,80,77,78,79,79,0.410377358,0.273584906,0.316037736,X,2.233333333,3.35,2.9,2,8,1.666666667,1,1,0.666666667
54,25/09/2009,Nurnberg,Bochum,71,75,71,71,70,72,0.489442162,0.272100767,0.238457071,2,1.871666667,3.366666667,3.841666667,14,17,0.666666667,0.666666667,1,2.666666667
55,26/09/2009,Dortmund,Schalke 04,75,79,76,76,79,78,0.373740661,0.287477804,0.338781535,2,2.455,3.191666667,2.708333333,15,4,0.666666667,2.333333333,1.333333333,1
56,26/09/2009,Ein Frankfurt,Stuttgart,75,79,72,76,72,78,0.337013543,0.281131195,0.381855262,2,2.725,3.266666667,2.405,9,11,1,1.333333333,1.333333333,1.666666667
57,26/09/2009,FC Koln,Leverkusen,79,76,73,77,75,79,0.27822175,0.27752094,0.44425731,2,3.3,3.308333333,2.066666667,17,2,1,1,1.333333333,0.666666667
58,26/09/2009,Hamburg,Bayern Munich,79,85,76,81,80,83,0.316785973,0.277587708,0.405626319,1,2.891666667,3.3,2.258333333,1,7,1.666666667,0.666666667,2.333333333,1
59,26/09/2009,Werder Bremen,Mainz,80,74,78,70,79,71,0.671211455,0.208088239,0.120700306,1,1.366666667,4.408333333,7.6,5,8,1,0,1.666666667,2
60,26/09/2009,Wolfsburg,Hannover,83,74,77,72,79,74,0.665903113,0.215538894,0.118557992,1,1.378333333,4.258333333,7.741666667,6,14,2.666666667,2,1,1.666666667
61,27/09/2009,Freiburg,M'gladbach,71,74,68,71,70,73,0.448074266,0.279762105,0.272163628,1,2.05,3.283333333,3.375,10,12,2.333333333,0.666666667,0.666666667,2.666666667
62,27/09/2009,Hoffenheim,Hertha,79,77,77,72,76,76,0.633340906,0.230764464,0.135894629,1,1.448333333,3.975,6.75,3,18,4,1,0.666666667,3.666666667
63,02/10/2009,Schalke 04,Ein Frankfurt,79,75,76,72,78,72,0.63053487,0.232036832,0.137428298,1,1.456666667,3.958333333,6.683333333,4,9,1.333333333,1,1,1.333333333
64,03/10/2009,Bayern Munich,FC Koln,85,79,81,73,83,75,0.761298371,0.157705299,0.080996329,X,1.206666667,5.825,11.34166667,8,16,0.666666667,0.666666667,0.666666667,0.333333333
65,03/10/2009,Bochum,Wolfsburg,75,83,71,77,72,79,0.234729614,0.269823992,0.495446394,X,3.908333333,3.4,1.851666667,14,7,1.333333333,1.333333333,2.333333333,1.333333333
66,03/10/2009,Hannover,Freiburg,74,71,72,68,74,70,0.451054758,0.276526032,0.27241921,1,2.033333333,3.316666667,3.366666667,11,10,2.666666667,2.333333333,3,1.666666667
67,03/10/2009,Leverkusen,Nurnberg,76,71,77,71,79,70,0.663812588,0.213626023,0.122561389,1,1.381666667,4.293333333,7.483333333,1,17,1.666666667,0,0.333333333,2.333333333
68,03/10/2009,Mainz,Hoffenheim,74,79,70,77,71,76,0.23440754,0.268139356,0.497453104,1,3.908333333,3.416666667,1.841666667,6,5,1.666666667,2,3.333333333,1.666666667
69,03/10/2009,M'gladbach,Dortmund,74,75,71,76,73,79,0.325420422,0.282031032,0.392548546,2,2.816666667,3.25,2.335,15,12,0.666666667,2.666666667,0.666666667,0.666666667
70,04/10/2009,Hertha,Hamburg,77,79,72,76,76,80,0.199541572,0.261442116,0.539016312,2,4.596666667,3.508333333,1.701666667,18,2,0.666666667,4,1.666666667,0.666666667
