,Hoffenheim scored,Hoffenheim received,Kaiserslautern scored,Kaiserslautern received,St Pauli scored,St Pauli received,Mainz scored,Mainz received,Leverkusen scored,Leverkusen received,Bayern Munich scored,Bayern Munich received,Hamburg scored,Hamburg received,Hannover scored,Hannover received,Nurnberg scored,Nurnberg received,M'gladbach scored,M'gladbach received,Ein Frankfurt scored,Ein Frankfurt received,Schalke 04 scored,Schalke 04 received,Wolfsburg scored,Wolfsburg received,FC Koln scored,FC Koln received,Freiburg scored,Freiburg received,Dortmund scored,Dortmund received,Stuttgart scored,Stuttgart received,Werder Bremen scored,Werder Bremen received
0,4,1,3,1,3,1,2,0,2,0,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,2,1,3,1,3,0,2,0,2,1,4
1,5,1,5,1,3,2,6,3,5,6,2,3,5,2,4,2,2,3,7,4,2,5,2,4,4,6,3,7,3,4,3,3,1,5,5,6
2,7,1,6,3,3,3,8,4,7,8,2,3,6,3,6,4,3,4,7,8,6,5,2,6,4,8,4,7,5,5,5,3,2,7,5,6
3,9,3,8,5,4,4,10,4,7,8,2,3,7,4,6,6,3,4,7,15,6,6,3,9,6,8,4,7,6,5,8,4,9,7,5,8
4,10,5,8,10,6,5,12,4,9,9,4,4,8,7,10,7,5,5,8,17,7,8,5,10,9,9,4,9,7,7,13,4,10,9,6,12
5,11,6,8,11,7,8,14,5,13,10,5,6,10,10,11,7,5,7,10,19,9,8,7,12,11,10,5,10,8,9,16,5,11,13,9,14
6,13,10,9,13,8,8,18,7,15,12,5,8,12,11,11,8,7,8,11,20,11,9,8,14,12,11,7,13,11,11,18,5,12,15,11,16
7,16,12,9,16,11,10,18,8,18,14,8,8,13,11,11,11,9,11,13,23,14,9,10,16,14,14,8,15,12,13,20,6,14,17,13,17
8,17,13,10,18,11,12,19,8,18,15,8,8,13,11,13,12,11,12,14,27,14,9,10,16,15,16,9,17,14,14,21,7,16,17,17,18
9,21,13,13,18,12,15,19,10,19,15,12,10,15,14,13,16,14,14,14,30,17,10,10,17,17,16,12,19,16,18,23,7,16,19,19,21
10,22,15,14,21,12,18,19,11,22,16,15,13,17,15,13,20,17,15,17,33,20,11,13,17,18,19,13,22,17,18,27,7,22,19,19,27
11,22,16,17,24,12,19,19,12,23,16,18,13,17,17,14,20,17,18,21,33,20,11,15,19,20,21,13,26,18,18,29,7,25,22,19,27
12,26,16,20,25,13,20,22,14,24,17,19,14,19,20,17,22,18,21,23,36,20,15,19,19,21,22,14,26,19,20,31,8,25,23,19,31
13,28,18,25,25,13,23,25,14,26,19,23,15,23,22,20,22,18,24,24,40,21,19,19,24,22,23,15,27,19,23,35,9,27,27,22,31
14,29,19,25,26,14,23,26,16,29,21,23,17,23,23,22,23,18,26,25,42,23,20,21,24,22,23,17,30,20,23,37,9,28,28,22,31
15,30,20,25,26,14,26,26,17,33,23,26,17,25,27,24,24,19,27,25,45,23,21,22,24,22,23,18,30,23,23,39,9,29,30,22,33
16,32,22,27,27,16,30,30,19,35,25,31,20,27,28,25,27,22,28,26,47,24,21,25,24,24,25,18,33,25,25,39,10,32,35,23,35
17,33,24,28,28,18,32,30,20,36,28,32,21,28,28,28,27,22,29,27,47,24,24,25,25,25,26,19,34,27,27,42,11,33,35,25,36
18,35,26,29,33,20,34,30,21,39,29,37,22,29,28,28,28,23,30,28,50,24,25,26,25,26,26,22,34,28,28,43,12,34,36,25,39
19,36,26,29,34,23,34,31,21,41,29,40,23,29,30,28,30,25,30,29,50,24,26,26,26,26,29,22,37,29,28,46,12,34,37,26,42
20,39,28,31,37,24,34,32,22,41,30,42,26,29,31,29,30,26,30,31,53,24,26,26,26,26,30,25,39,29,28,46,12,37,39,27,43
21,39,32,32,38,27,35,34,26,44,30,46,26,30,31,30,31,30,31,32,56,24,29,27,26,26,31,29,41,29,29,47,13,38,43,28,44
22,40,33,32,41,27,37,35,29,48,32,49,27,34,31,33,31,33,31,34,57,24,32,28,28,27,33,30,42,31,30,49,13,40,47,28,48
23,41,35,33,42,27,38,37,30,50,34,50,30,35,32,34,31,34,32,35,59,24,34,29,29,29,34,31,42,31,31,52,14,42,47,30,50
24,41,37,33,42,27,43,41,32,53,34,51,33,37,36,37,32,39,32,37,59,24,34,29,30,29,37,31,43,32,34,53,14,43,47,33,51
25,42,37,35,43,28,45,41,33,54,34,57,33,37,42,37,36,41,33,38,60,25,36,31,31,30,39,35,43,33,36,53,15,45,48,34,52
26,42,39,36,43,29,47,42,34,56,34,59,34,43,44,39,36,42,36,38,61,27,37,31,33,31,40,37,49,34,38,54,16,46,49,37,53
27,42,39,36,44,29,49,43,35,57,34,60,34,43,44,40,40,42,37,38,62,28,38,33,33,32,41,38,49,35,39,58,17,47,50,38,54
28,44,42,40,46,30,51,43,37,59,35,61,35,44,45,42,40,43,38,43,63,29,39,34,33,32,42,39,54,38,41,59,18,49,54,39,55
29,45,42,40,48,32,53,44,37,60,40,66,36,44,45,42,40,45,38,43,64,29,40,35,34,34,44,40,57,38,44,62,18,52,55,40,56
30,46,44,41,48,33,56,44,37,62,41,67,37,44,48,45,41,45,38,44,64,30,41,35,35,38,45,41,61,39,47,62,19,55,55,43,57
31,47,46,43,48,33,58,47,37,62,43,71,38,44,50,45,42,45,40,45,64,30,44,36,39,39,45,43,61,41,47,64,19,57,56,43,58
32,49,47,45,49,34,66,50,38,63,44,79,39,45,51,46,44,46,42,47,64,30,46,37,42,40,47,45,61,41,49,64,21,59,57,45,58
33,50,50,48,51,35,68,52,39,64,44,81,40,46,52,49,45,47,45,48,65,31,49,38,44,43,48,47,62,41,50,67,22,60,59,47,61
