,Hertha scored,Hertha received,Dortmund scored,Dortmund received,Leverkusen scored,Leverkusen received,Bayern Munich scored,Bayern Munich received,Hannover scored,Hannover received,Mainz scored,Mainz received,Werder Bremen scored,Werder Bremen received,Schalke 04 scored,Schalke 04 received,Hamburg scored,Hamburg received,Nurnberg scored,Nurnberg received,Hoffenheim scored,Hoffenheim received,Stuttgart scored,Stuttgart received,Braunschweig scored,Braunschweig received,M'gladbach scored,M'gladbach received,Freiburg scored,Freiburg received,Wolfsburg scored,Wolfsburg received,Augsburg scored,Augsburg received,Ein Frankfurt scored,Ein Frankfurt received
0,6,1,4,0,3,1,3,1,2,0,3,2,1,0,3,3,3,3,2,2,2,2,2,3,0,1,1,3,1,3,0,2,0,4,1,6
1,2,2,2,1,1,0,1,0,0,3,2,1,1,0,0,4,1,5,2,2,5,1,0,1,1,2,3,0,1,2,4,0,0,1,0,1
2,1,0,1,0,4,2,2,0,2,1,2,0,0,1,1,2,0,1,0,2,3,3,1,2,0,2,2,4,3,3,0,2,2,1,2,0
3,0,2,2,1,0,2,1,1,4,1,1,4,1,4,2,0,4,0,0,1,2,6,6,2,0,4,4,1,1,1,2,0,1,0,1,2
4,0,1,6,2,3,1,2,0,0,2,0,1,0,3,1,0,2,6,1,1,2,1,1,0,1,1,1,2,1,2,1,3,2,1,3,0
5,1,1,1,1,4,1,4,0,2,1,1,4,2,0,0,4,0,2,1,1,1,2,1,1,1,4,4,1,1,1,2,1,1,2,1,1
6,3,1,5,0,2,0,1,0,0,2,1,3,3,3,3,3,2,2,3,3,3,3,4,0,0,4,2,2,0,5,0,1,2,2,2,2
7,1,1,0,2,1,1,1,1,1,1,2,2,1,1,4,1,5,0,0,5,2,2,1,1,2,0,2,0,1,1,0,2,1,4,1,1
8,1,0,1,0,2,1,4,1,0,1,1,4,0,0,3,2,3,3,1,1,1,2,3,3,2,3,0,1,0,0,2,1,1,2,1,1
9,2,3,3,1,2,1,3,2,1,4,2,0,0,3,1,3,3,0,1,1,4,1,1,1,0,2,4,1,0,3,3,0,1,2,1,4
10,0,2,6,1,0,1,2,1,2,3,1,2,3,2,2,0,0,2,0,3,1,2,1,6,1,0,2,0,3,0,2,1,2,1,1,2
11,3,2,1,2,5,3,3,0,0,0,1,0,1,3,3,1,3,5,1,3,2,3,3,1,0,0,3,1,1,3,2,1,0,3,0,1
12,0,1,0,3,1,0,3,0,1,3,3,2,2,3,3,3,3,1,1,1,0,2,0,2,0,1,2,0,1,0,1,1,2,0,3,3
13,0,0,3,1,3,0,2,0,2,0,1,3,4,4,3,0,1,1,0,3,4,4,0,3,0,2,1,0,0,1,1,1,0,0,0,2
14,2,0,0,1,1,0,7,0,2,4,1,1,0,7,1,2,0,1,1,1,2,1,4,2,0,2,2,1,0,3,3,0,1,0,1,2
15,3,2,2,2,0,1,3,1,3,3,0,0,2,3,2,0,1,3,3,3,2,2,1,3,1,4,0,0,0,2,3,1,4,1,1,0
16,2,1,1,2,0,1,2,1,1,2,3,2,1,0,0,0,2,3,0,0,0,1,1,2,1,0,2,2,2,1,2,2,1,1,1,1
17,0,1,2,2,2,3,2,0,3,1,2,1,0,0,3,0,0,3,4,0,0,4,1,2,0,0,0,2,3,2,1,3,2,2,1,0
18,1,3,2,1,2,1,5,0,3,1,2,0,1,3,2,1,0,3,3,1,3,0,1,2,1,2,1,3,0,2,1,2,3,1,0,5
19,3,0,5,1,1,0,2,0,0,2,0,3,1,5,2,0,0,3,0,2,1,1,1,4,0,3,0,1,1,1,3,0,4,1,3,0
20,1,2,4,0,1,2,4,0,0,2,2,0,1,1,2,1,2,4,1,0,4,1,1,4,4,2,1,1,0,4,2,1,0,1,0,4
21,2,1,0,3,1,3,4,0,0,4,0,0,0,0,0,0,3,0,2,1,2,2,1,2,1,2,2,2,2,4,3,1,4,2,0,0
22,0,0,3,0,0,1,5,1,1,1,1,0,1,0,1,5,0,1,0,3,6,2,1,2,1,1,1,1,0,0,2,6,1,1,2,1
23,1,1,1,0,1,1,6,1,1,1,1,1,2,0,4,0,1,1,0,2,0,4,2,2,2,2,1,2,0,1,1,6,2,1,1,1
24,0,3,1,2,1,2,2,1,3,0,4,2,1,1,2,1,2,1,1,2,2,4,1,1,1,1,2,1,4,1,1,1,1,2,1,4
25,0,3,3,0,2,3,2,0,0,3,0,2,1,3,3,1,0,1,2,5,3,2,1,0,1,3,3,0,3,1,1,1,1,1,5,2
26,1,3,0,0,3,1,3,1,1,3,1,3,1,3,0,0,1,1,2,0,3,1,0,2,3,1,0,1,1,1,3,1,1,3,1,0
27,0,2,3,2,1,1,3,3,1,2,3,0,2,1,2,0,1,3,2,3,3,3,2,3,1,1,3,1,3,2,2,1,0,3,1,2
28,1,1,2,1,1,2,0,1,0,3,0,2,1,1,1,1,2,1,0,2,1,1,2,0,3,0,2,0,0,2,1,2,1,0,2,0
29,1,2,3,0,2,1,0,3,2,1,3,0,0,3,2,0,1,2,1,4,2,0,1,1,0,2,1,1,2,0,4,1,0,2,0,2
30,0,0,4,2,4,1,2,0,3,2,2,4,3,1,1,3,1,3,1,4,1,3,3,1,0,2,2,4,4,2,3,1,0,0,2,3
31,2,0,2,2,2,2,5,2,0,0,2,0,2,5,0,1,1,3,0,2,0,0,0,0,0,2,1,0,2,2,2,2,3,1,0,0
32,0,2,3,2,2,0,4,1,2,0,1,3,2,0,2,0,1,4,0,2,2,3,1,2,0,1,3,1,0,2,2,1,1,0,0,2
33,0,4,4,0,2,1,1,0,3,2,3,2,1,2,4,1,2,3,1,4,3,1,0,1,1,3,1,3,2,3,3,1,2,1,1,2
