,Hoffenheim scored,Hoffenheim received,Leverkusen scored,Leverkusen received,Bayern Munich scored,Bayern Munich received,Hannover scored,Hannover received,Ein Frankfurt scored,Ein Frankfurt received,Mainz scored,Mainz received,Hertha scored,Hertha received,Paderborn scored,Paderborn received,Werder Bremen scored,Werder Bremen received,M'gladbach scored,M'gladbach received,Stuttgart scored,Stuttgart received,FC Koln scored,FC Koln received,Hamburg scored,Hamburg received,Schalke 04 scored,Schalke 04 received,Wolfsburg scored,Wolfsburg received,Freiburg scored,Freiburg received,Dortmund scored,Dortmund received,Augsburg scored,Augsburg received
0,2,0,2,0,2,1,2,1,1,0,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,1,2,1,2,0,1,0,2,0,2
1,3,1,6,2,3,2,2,1,3,2,2,2,4,6,5,2,3,3,1,1,1,3,2,0,0,3,2,3,3,4,0,1,3,4,2,5
2,4,2,9,5,5,2,4,1,3,3,5,3,5,9,5,2,6,6,5,2,1,5,2,0,0,5,3,7,4,5,1,4,6,5,3,5
3,6,2,10,9,5,2,4,3,5,5,7,3,7,11,7,2,8,10,5,2,1,7,2,0,0,5,5,9,8,6,3,6,6,7,7,7
4,9,5,11,9,9,2,5,3,7,7,9,5,8,11,7,6,8,13,6,2,3,9,2,1,0,6,8,9,8,7,6,9,8,9,7,8
5,9,5,11,9,11,2,5,4,9,8,9,5,8,12,8,8,9,15,8,3,4,9,2,3,1,8,10,10,10,8,6,9,9,11,8,8
6,11,6,13,11,15,2,5,8,12,10,10,6,11,14,10,10,10,16,9,4,6,12,4,6,2,8,11,12,11,8,7,10,9,12,8,9
7,12,7,16,14,21,2,5,11,13,13,12,7,11,16,13,11,10,22,12,4,9,15,6,7,3,9,13,12,13,9,8,12,10,14,9,11
8,13,7,17,14,21,2,6,11,17,18,12,10,14,16,13,12,10,23,12,4,14,19,7,7,3,12,13,13,16,9,8,14,10,15,11,11
9,14,10,17,15,23,3,7,11,17,19,13,12,15,19,16,13,12,24,15,5,14,23,7,8,4,12,14,13,20,9,9,14,11,17,11,12
10,17,14,17,15,27,3,9,11,17,23,13,12,15,21,16,16,14,24,15,6,14,25,11,11,4,14,14,15,22,9,11,14,12,17,14,12
11,17,18,20,16,31,3,10,14,20,24,15,14,17,22,18,18,14,26,16,9,14,26,12,13,6,14,17,17,24,12,13,16,14,19,15,12
12,21,21,25,17,32,3,13,18,22,24,16,18,17,23,18,22,18,26,16,10,18,27,13,18,7,17,21,18,25,12,14,20,14,21,18,13
13,21,22,25,18,33,3,14,21,27,26,17,20,19,26,19,23,20,31,19,12,18,31,14,20,9,18,25,18,28,13,15,21,15,21,20,14
14,24,24,26,19,37,3,17,24,29,29,18,21,20,26,20,24,23,34,20,13,19,32,16,21,9,18,26,20,29,14,15,21,15,22,20,18
15,24,25,27,19,39,3,19,24,33,33,18,21,24,30,21,26,24,38,24,14,20,32,16,21,9,19,28,21,31,16,15,23,17,24,20,20
16,29,25,28,20,41,4,21,26,34,34,19,23,24,35,21,26,26,39,25,16,20,32,17,23,9,19,28,21,33,17,17,25,18,26,22,21
17,30,28,28,20,42,8,21,27,35,38,24,23,24,37,21,31,28,39,26,16,20,33,19,23,9,21,29,21,37,18,21,26,18,26,25,22
18,31,30,29,20,43,9,22,28,36,39,25,24,24,38,21,34,30,40,27,16,20,33,19,23,12,21,30,22,38,19,21,27,18,27,26,22
19,31,33,30,22,45,9,23,30,38,41,25,26,26,38,21,34,32,41,27,17,20,35,19,23,14,22,31,22,41,19,21,30,21,27,28,24
20,33,34,34,27,53,9,24,32,39,41,27,30,26,40,23,35,35,43,28,17,21,37,19,24,14,30,31,23,46,23,23,30,25,29,30,27
21,34,35,36,29,59,9,25,33,40,44,30,31,27,42,23,41,36,44,29,18,23,40,20,25,15,31,32,24,48,24,24,31,28,31,32,29
22,36,35,37,29,63,10,26,34,42,45,30,33,28,42,23,43,39,49,31,18,24,41,21,29,16,33,32,27,53,27,24,32,31,31,32,30
23,37,38,40,29,66,11,27,37,44,49,32,35,28,42,23,46,40,49,33,20,24,41,25,31,16,33,35,28,53,28,24,33,31,31,33,30
24,40,38,44,29,70,11,27,39,48,49,34,35,30,44,23,50,40,53,35,20,24,45,25,31,16,36,37,30,56,28,24,36,31,31,33,32
25,40,38,45,29,70,13,29,42,49,52,35,36,31,44,23,50,41,54,37,20,27,46,26,32,16,37,37,31,57,29,26,36,34,33,33,34
26,41,42,49,29,71,13,31,44,51,54,35,36,33,44,23,52,41,54,41,21,28,49,26,33,16,41,37,31,60,30,27,36,34,34,33,34
27,43,45,52,31,74,13,32,45,51,57,37,39,34,45,25,53,43,57,44,22,31,51,29,35,16,43,37,31,62,30,27,36,35,37,34,36
28,43,47,56,31,76,13,32,49,51,57,40,41,34,45,25,56,44,57,44,22,32,53,29,35,16,44,38,32,63,31,29,39,38,37,36,37
29,45,48,57,32,77,13,33,51,51,59,42,41,34,46,27,58,46,59,45,22,34,55,30,36,19,46,38,34,63,32,31,41,40,37,38,40
30,46,49,59,32,77,15,35,53,51,60,43,43,35,48,29,59,47,59,47,23,36,58,30,36,21,47,41,36,65,34,32,43,41,38,38,40
31,47,52,59,35,77,16,36,54,54,61,43,45,35,50,30,62,48,60,50,23,38,58,32,36,22,48,41,38,68,35,33,44,43,38,39,40
32,47,54,61,35,78,18,38,55,54,61,45,45,35,50,30,63,48,62,52,23,40,59,32,38,23,50,42,38,70,36,35,45,44,40,40,42
33,49,55,62,37,80,18,40,56,56,62,45,47,36,52,31,65,50,65,53,26,42,60,34,40,25,50,42,40,72,38,36,47,47,42,43,43
