,Bayern Munich scored,Bayern Munich received,FC Koln scored,FC Koln received,Wolfsburg scored,Wolfsburg received,M'gladbach scored,M'gladbach received,Dortmund scored,Dortmund received,Hertha scored,Hertha received,Ein Frankfurt scored,Ein Frankfurt received,Hoffenheim scored,Hoffenheim received,RB Leipzig scored,RB Leipzig received,Ingolstadt scored,Ingolstadt received,Hamburg scored,Hamburg received,Mainz scored,Mainz received,Leverkusen scored,Leverkusen received,Freiburg scored,Freiburg received,Schalke 04 scored,Schalke 04 received,Augsburg scored,Augsburg received,Darmstadt scored,Darmstadt received,Werder Bremen scored,Werder Bremen received
0,6,0,2,0,2,0,2,1,2,1,2,1,1,0,2,2,2,2,1,1,1,1,1,2,1,2,1,2,0,1,0,2,0,2,0,6
1,8,0,2,0,2,0,3,4,2,2,4,1,1,1,6,6,3,2,1,3,2,4,5,6,4,3,4,3,0,3,2,3,1,2,1,8
2,11,1,5,0,2,0,7,5,8,2,6,1,3,2,6,6,7,2,2,6,2,8,8,7,5,5,4,6,0,5,3,6,1,8,2,12
3,14,1,8,1,3,5,8,6,13,3,6,4,5,2,7,7,8,3,2,8,2,9,10,8,5,5,5,6,1,8,3,6,2,9,3,14
4,15,1,9,2,4,7,10,6,16,4,9,7,8,5,9,8,9,4,2,10,2,10,12,11,8,7,6,9,2,10,4,6,2,10,5,15
5,16,2,10,3,4,7,10,10,16,6,11,7,8,6,11,9,11,5,3,12,2,12,12,11,10,7,7,9,6,10,5,8,4,12,7,17
6,18,4,12,4,4,8,10,10,17,7,12,8,10,8,13,10,12,5,4,14,2,12,14,12,11,9,8,11,7,11,6,9,5,14,9,18
7,20,4,13,6,5,11,10,12,20,10,14,9,13,8,16,10,15,6,7,17,2,15,14,15,11,12,10,12,10,11,7,11,8,15,10,21
8,23,5,16,6,6,13,10,12,20,10,14,10,13,8,17,10,17,6,7,19,2,18,16,15,13,13,13,13,10,11,8,14,8,17,11,24
9,24,6,16,7,9,13,10,15,25,12,17,10,14,8,18,11,20,7,7,21,4,23,17,18,16,15,13,16,13,12,10,14,10,20,12,27
10,24,7,18,8,9,14,11,17,26,12,17,10,16,9,20,13,23,9,8,21,6,25,21,20,18,18,15,20,14,12,10,14,10,21,13,29
11,26,8,18,8,10,15,12,18,27,14,19,11,18,10,21,14,27,10,9,22,8,27,22,22,19,20,16,24,17,13,10,14,11,24,15,31
12,29,9,18,12,12,18,13,22,31,15,22,13,19,11,25,14,29,11,10,24,10,27,23,25,20,21,17,25,18,15,11,15,11,26,17,32
13,34,9,19,13,12,23,14,22,32,16,22,14,19,11,25,14,29,12,11,24,11,27,23,26,21,21,18,25,18,16,11,16,11,27,18,32
14,35,9,20,14,13,23,14,23,34,18,22,16,19,12,27,16,31,12,13,25,12,30,26,27,22,23,19,26,19,17,12,16,11,28,19,33
