,Dortmund scored,Dortmund received,Bayern Munich scored,Bayern Munich received,Schalke 04 scored,Schalke 04 received,Hertha scored,Hertha received,Hoffenheim scored,Hoffenheim received,M'gladbach scored,M'gladbach received,Hamburg scored,Hamburg received,Hannover scored,Hannover received,Ein Frankfurt scored,Ein Frankfurt received,Freiburg scored,Freiburg received,FC Koln scored,FC Koln received,Mainz scored,Mainz received,Augsburg scored,Augsburg received,Werder Bremen scored,Werder Bremen received,Leverkusen scored,Leverkusen received,RB Leipzig scored,RB Leipzig received,Stuttgart scored,Stuttgart received,Wolfsburg scored,Wolfsburg received
0,3,0,3,1,2,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,3,0,2,0,2,0,3
1,5,0,5,1,2,1,2,2,3,2,3,2,4,1,2,0,0,1,1,4,1,4,0,2,2,3,0,3,3,5,4,3,1,2,1,3
2,5,0,5,3,5,2,3,3,5,2,3,3,4,3,3,1,1,1,1,4,1,7,3,3,5,3,1,4,4,8,6,3,2,5,2,4
3,10,0,9,3,7,3,4,4,6,3,5,5,4,5,5,1,2,3,1,8,1,12,3,7,7,4,2,6,8,8,8,5,3,5,2,5
4,13,0,12,3,7,6,6,5,9,5,7,5,4,8,6,2,3,3,2,9,1,13,5,10,8,4,3,7,9,10,8,6,3,7,3,6
5,19,1,14,5,7,8,6,6,11,5,8,11,4,11,6,2,4,5,2,9,1,13,6,10,8,4,3,7,12,10,10,7,3,7,5,8
6,21,2,16,7,8,9,8,8,13,8,10,12,4,11,7,4,6,6,5,11,2,15,7,11,9,6,3,7,13,11,12,8,4,9,6,9
7,23,5,21,7,10,9,8,10,15,10,12,12,6,14,8,6,8,7,5,16,3,17,10,13,11,8,3,9,15,13,15,10,6,10,8,11
8,25,7,22,7,12,9,9,11,16,11,13,17,6,15,10,7,10,9,6,17,3,17,10,15,12,10,3,9,20,14,16,10,6,11,9,12
9,27,11,24,7,13,10,11,12,17,14,16,18,7,17,14,9,11,10,6,20,4,19,11,16,15,10,3,12,22,15,16,12,9,11,10,13
10,28,14,27,8,14,10,14,15,20,14,17,19,10,18,15,11,13,11,6,21,4,22,12,17,16,11,4,14,23,16,18,13,10,14,13,16
11,29,16,30,8,16,10,16,19,21,15,21,21,10,20,15,15,14,12,7,24,4,23,13,17,16,14,8,14,25,18,20,15,12,15,16,17
12,33,20,31,10,20,14,18,19,21,18,23,22,13,20,16,16,14,13,9,25,4,25,14,19,18,15,8,16,26,18,22,15,13,16,17,19
13,34,21,34,11,22,16,19,21,25,18,23,25,13,20,17,19,16,14,9,25,6,27,15,22,21,16,9,16,27,19,22,19,13,17,20,19
14,35,23,35,11,23,17,20,22,25,20,24,26,13,20,19,19,16,15,13,28,9,31,17,24,22,17,11,17,29,19,24,21,13,19,20,19
15,37,23,36,11,26,19,23,23,26,20,24,27,14,22,20,22,18,16,14,28,9,32,17,26,24,20,11,18,30,19,25,22,13,20,21,20
16,39,24,37,11,28,21,26,25,27,22,27,28,15,25,24,26,20,18,17,31,10,32,19,28,27,23,13,20,34,23,27,25,13,21,21,21
17,39,24,40,12,29,24,26,26,28,23,28,30,15,26,27,28,21,19,18,32,12,33,21,31,28,23,14,21,35,26,30,26,14,21,21,21
18,40,25,44,14,30,25,27,27,29,27,30,30,15,28,28,29,24,20,20,33,14,33,24,33,28,25,16,25,39,27,31,28,16,24,22,24
19,42,27,49,16,32,25,27,27,31,32,30,32,16,29,28,30,26,20,22,35,15,34,24,35,29,26,16,25,41,27,32,29,16,26,23,24
20,45,29,51,16,33,27,28,28,32,33,30,33,17,30,29,31,26,23,22,35,17,37,24,37,32,26,18,26,41,27,33,29,17,27,24,25
21,47,29,53,17,34,29,30,28,36,35,30,34,17,32,31,32,30,25,23,37,19,41,26,41,32,28,21,27,41,29,35,29,18,27,25,28
22,48,29,55,18,36,30,30,30,37,37,30,35,18,34,32,33,32,26,24,37,20,42,28,41,32,29,21,28,43,30,36,31,19,27,26,30
23,49,30,55,18,38,30,30,30,38,38,31,35,18,35,32,34,32,27,25,38,22,43,29,42,33,30,22,28,43,32,37,33,20,27,27,31
24,50,31,59,18,39,30,30,31,40,38,33,37,18,35,32,35,33,27,25,42,24,46,29,42,33,32,24,30,45,33,38,34,23,29,28,33
25,53,33,65,18,40,30,30,31,43,38,33,39,18,41,33,38,35,30,25,42,25,49,29,43,36,33,27,31,47,33,38,34,23,29,28,36
26,54,33,66,20,41,30,32,32,46,41,36,42,19,43,33,39,38,30,26,44,27,49,29,46,37,36,30,32,47,35,40,35,25,30,28,37
27,54,39,72,20,43,30,32,32,52,41,36,42,20,44,35,42,39,32,26,46,27,55,29,46,37,36,32,33,47,35,43,37,26,31,28,37
28,57,39,76,21,45,33,33,34,53,42,38,43,23,46,37,43,40,33,26,48,28,56,30,47,38,40,33,35,51,36,44,41,26,34,30,37
29,57,41,81,22,47,33,35,35,55,42,39,48,23,48,38,44,41,37,26,50,29,58,32,47,38,40,34,36,55,37,45,42,27,35,30,37
30,61,41,84,22,49,35,38,35,60,44,42,48,24,48,38,47,41,40,26,51,31,60,32,49,40,40,34,38,55,41,47,47,29,35,30,40
31,62,42,88,23,50,36,40,37,63,45,43,49,27,49,39,50,42,44,29,53,33,63,35,49,42,42,35,39,55,42,47,50,30,35,31,43
32,63,44,91,24,52,37,41,40,63,47,46,50,27,52,42,51,45,44,30,56,34,66,37,50,43,44,35,39,55,42,51,51,32,35,32,47
33,64,47,92,28,53,37,43,46,66,48,47,52,29,53,44,54,45,45,32,56,35,70,38,52,43,46,37,40,58,44,57,53,36,36,36,48
