,Dortmund scored,Dortmund received,Bayern Munich scored,Bayern Munich received,M'gladbach scored,M'gladbach received,Ein Frankfurt scored,Ein Frankfurt received,Augsburg scored,Augsburg received,Wolfsburg scored,Wolfsburg received,Mainz scored,Mainz received,Hertha scored,Hertha received,Hannover scored,Hannover received,Werder Bremen scored,Werder Bremen received,Schalke 04 scored,Schalke 04 received,Fortuna Dusseldorf scored,Fortuna Dusseldorf received,Nurnberg scored,Nurnberg received,Stuttgart scored,Stuttgart received,Hoffenheim scored,Hoffenheim received,Leverkusen scored,Leverkusen received,Freiburg scored,Freiburg received,RB Leipzig scored,RB Leipzig received
0,4,1,3,1,2,0,2,0,2,1,2,1,1,0,1,0,1,1,1,1,1,2,1,2,0,1,0,1,1,3,0,2,0,2,1,4
1,0,0,3,0,1,1,1,2,1,1,3,1,1,1,2,0,0,0,2,1,0,2,1,1,1,1,0,3,3,1,1,3,1,3,1,1
2,3,1,3,1,2,1,1,3,1,2,2,2,2,1,2,2,2,3,1,1,1,2,2,1,1,1,3,3,1,2,1,3,3,3,3,2
3,1,1,2,0,2,4,1,1,2,3,1,3,0,1,4,2,0,2,3,2,0,2,0,0,2,0,0,0,1,1,1,0,3,1,1,1
4,7,0,1,1,3,1,1,3,1,1,0,0,0,0,1,3,1,3,3,1,0,1,1,2,0,7,0,2,3,1,2,1,1,0,2,0
5,4,2,0,2,2,2,4,1,4,1,2,2,0,1,2,0,1,4,1,2,1,0,0,3,3,0,2,1,1,2,2,4,1,4,2,1
6,4,3,0,3,3,0,2,1,3,4,0,2,0,0,0,0,3,1,2,0,2,0,0,2,0,6,1,3,1,2,0,0,0,0,6,0
7,4,0,3,1,4,0,7,1,0,0,1,3,0,4,1,1,2,2,2,0,0,2,1,7,1,3,0,4,3,1,2,2,1,1,0,0
8,2,2,2,1,1,3,1,1,2,1,3,0,1,2,2,2,1,2,2,6,0,0,0,3,1,1,0,4,4,0,6,2,3,1,0,0
9,1,0,1,1,3,0,3,0,2,2,0,1,2,1,0,3,1,3,1,2,3,1,0,3,2,2,0,3,4,1,1,4,1,1,3,0
10,3,2,2,3,3,1,3,0,1,2,1,2,3,1,1,4,2,1,1,3,0,3,4,1,0,2,2,0,2,1,0,3,1,3,3,0
11,2,1,3,3,4,1,3,1,1,3,1,0,1,2,3,3,1,4,1,1,5,2,3,3,2,5,0,2,3,3,2,0,1,1,0,1
12,2,0,2,1,0,2,1,2,0,1,2,1,1,0,2,0,0,2,1,2,1,1,0,1,1,1,1,0,1,1,1,1,0,2,2,0
13,2,1,3,0,3,0,0,1,0,1,2,2,1,1,1,0,1,1,3,1,1,2,1,3,0,3,0,3,2,2,1,0,3,0,0,3
14,2,1,4,0,0,0,2,1,1,1,2,0,1,4,1,2,0,4,1,2,1,1,2,0,0,2,2,1,0,0,1,2,0,2,4,1
15,1,2,1,0,2,0,2,2,2,2,2,0,2,2,2,2,1,1,1,1,1,2,2,1,0,2,0,2,1,1,2,1,1,1,0,1
16,2,1,3,0,1,2,0,3,2,3,3,2,1,1,1,3,0,1,2,3,3,1,1,0,0,1,1,3,1,1,3,1,1,0,3,2
17,1,0,3,1,1,0,3,1,1,2,1,2,3,2,3,1,0,1,1,0,2,1,2,1,1,3,2,3,1,3,0,1,1,3,0,1
18,5,1,4,1,2,0,2,2,0,2,0,3,2,1,2,2,1,5,2,2,2,2,0,4,1,2,1,4,4,2,3,0,2,4,4,0
19,1,1,1,3,2,0,1,1,3,0,1,0,0,3,0,1,0,3,1,1,0,2,1,1,1,1,2,2,1,1,3,1,2,2,3,0
20,3,3,3,1,0,3,0,0,0,4,3,3,1,5,3,0,2,0,4,0,1,3,3,0,0,2,0,3,3,3,5,1,3,3,0,0
21,0,0,3,2,1,1,1,1,2,3,3,0,0,3,1,1,0,3,1,1,0,0,0,2,0,0,1,3,3,0,2,0,0,0,3,1
22,3,2,1,0,0,3,3,0,1,5,3,0,3,0,0,1,0,3,1,1,0,3,2,1,1,2,1,1,1,1,2,3,5,1,1,1
23,1,2,5,1,1,5,3,2,2,1,1,1,1,2,2,1,1,5,1,1,0,4,4,0,0,1,5,1,2,3,2,0,0,2,1,0
24,3,1,6,0,1,0,3,0,0,0,0,6,0,1,1,2,2,3,4,2,2,4,0,3,1,2,1,3,2,1,3,2,2,1,0,0
25,3,2,6,0,1,1,1,0,3,1,5,2,0,6,2,3,1,3,3,1,0,1,2,5,0,1,1,1,1,1,1,3,1,1,1,0
26,2,0,1,1,1,3,3,0,0,3,0,2,1,3,0,5,0,1,3,1,1,0,3,1,3,0,0,3,4,1,1,4,1,1,5,0
27,0,5,5,0,1,1,2,1,0,4,3,1,5,0,1,2,1,3,1,1,1,2,2,1,1,1,1,1,4,0,2,4,0,5,4,2
28,2,1,4,1,1,0,1,3,3,1,0,2,1,2,0,2,0,1,2,1,1,1,1,4,1,1,0,1,2,0,1,0,1,2,2,0
29,4,0,1,0,1,2,1,1,6,0,1,1,3,1,0,0,0,0,0,1,2,5,1,3,0,2,0,6,5,2,2,0,0,4,2,1
30,2,4,1,1,0,1,0,0,1,4,4,1,0,1,0,0,1,0,1,4,4,2,4,1,1,1,1,0,1,4,4,1,1,2,2,1
31,2,2,3,1,2,2,1,6,0,0,2,0,3,3,3,1,1,3,2,2,0,0,1,1,0,2,1,3,2,2,6,1,1,1,3,3
32,3,2,0,0,4,0,0,2,3,4,0,3,2,0,4,3,3,0,1,0,1,1,2,3,0,4,3,0,0,1,1,1,0,3,0,0
33,2,0,5,1,0,2,1,5,1,8,8,1,4,2,1,5,1,2,2,1,0,0,2,1,1,5,0,0,2,4,5,1,5,1,1,2
