,Dortmund scored,Dortmund received,RB Leipzig scored,RB Leipzig received,Freiburg scored,Freiburg received,Fortuna Dusseldorf scored,Fortuna Dusseldorf received,Leverkusen scored,Leverkusen received,Wolfsburg scored,Wolfsburg received,Ein Frankfurt scored,Ein Frankfurt received,Bayern Munich scored,Bayern Munich received,Hertha scored,Hertha received,M'gladbach scored,M'gladbach received,Schalke 04 scored,Schalke 04 received,Paderborn scored,Paderborn received,FC Koln scored,FC Koln received,Hoffenheim scored,Hoffenheim received,Werder Bremen scored,Werder Bremen received,Mainz scored,Mainz received,Augsburg scored,Augsburg received,Union Berlin scored,Union Berlin received
0,5,1,4,0,3,0,3,1,3,2,2,1,1,0,2,2,2,2,0,0,0,0,2,3,1,2,0,1,1,3,0,3,1,5,0,4
1,3,1,2,1,3,1,1,3,3,1,3,0,1,2,3,0,0,3,3,1,0,3,1,3,1,3,3,2,2,3,1,3,1,1,1,1
2,1,3,3,1,1,2,1,2,0,0,1,1,2,1,6,1,0,3,1,3,3,0,1,1,2,1,0,0,3,2,1,6,2,3,3,1
3,4,0,1,1,3,0,1,1,0,4,1,1,1,2,1,1,1,2,1,0,5,1,1,5,0,1,0,3,2,1,2,1,2,1,1,2
4,2,2,3,0,1,1,1,2,2,0,1,1,2,2,4,0,2,1,2,1,2,1,1,2,0,4,1,1,0,3,1,2,1,1,0,2
5,2,2,1,3,2,1,1,2,3,0,1,0,2,1,3,2,4,0,3,0,3,1,2,3,0,4,0,3,2,2,0,1,0,3,1,2
6,2,2,1,1,2,2,1,3,1,1,1,0,2,2,1,2,3,1,5,1,1,1,1,2,1,1,2,1,2,2,2,1,1,5,0,1
7,1,0,1,1,0,2,1,0,0,3,1,1,3,0,2,2,1,1,0,1,0,2,0,3,3,0,2,0,1,1,0,1,2,2,2,0
8,0,0,1,2,2,1,0,2,2,2,0,0,2,4,2,1,2,3,4,2,0,0,2,0,1,3,3,2,2,2,3,1,0,0,1,2
9,3,0,8,0,2,2,2,0,1,2,0,3,5,1,1,5,0,1,2,1,3,2,0,3,0,2,3,0,2,2,0,8,2,3,1,0
10,0,4,4,2,1,0,3,3,2,0,0,2,0,1,4,0,2,4,3,1,3,3,0,1,1,2,2,1,1,3,2,3,1,0,3,2
