,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Dortmund,RB Leipzig,Freiburg,Fortuna Dusseldorf,Leverkusen,Wolfsburg,Ein Frankfurt,Bayern Munich,Hertha,M'gladbach,Schalke 04,Paderborn,FC Koln,Hoffenheim,Werder Bremen,Mainz,Augsburg,Union Berlin
1,Dortmund,RB Leipzig,Freiburg,Wolfsburg,Leverkusen,Bayern Munich,M'gladbach,Fortuna Dusseldorf,Hoffenheim,Ein Frankfurt,Hertha,Schalke 04,Augsburg,Union Berlin,Paderborn,Werder Bremen,FC Koln,Mainz
2,RB Leipzig,Bayern Munich,Wolfsburg,Leverkusen,Dortmund,Freiburg,Ein Frankfurt,M'gladbach,Hoffenheim,Schalke 04,Union Berlin,Fortuna Dusseldorf,Werder Bremen,FC Koln,Paderborn,Augsburg,Hertha,Mainz
3,RB Leipzig,Dortmund,Freiburg,Bayern Munich,Wolfsburg,Schalke 04,M'gladbach,Leverkusen,Ein Frankfurt,Werder Bremen,Fortuna Dusseldorf,Union Berlin,Hoffenheim,Augsburg,FC Koln,Mainz,Paderborn,Hertha
4,RB Leipzig,Bayern Munich,Dortmund,Freiburg,Schalke 04,M'gladbach,Leverkusen,Wolfsburg,Ein Frankfurt,Werder Bremen,Hoffenheim,Augsburg,Fortuna Dusseldorf,Union Berlin,Hertha,FC Koln,Mainz,Paderborn
5,Bayern Munich,RB Leipzig,Freiburg,Schalke 04,M'gladbach,Leverkusen,Wolfsburg,Dortmund,Ein Frankfurt,Hertha,Werder Bremen,Hoffenheim,Augsburg,Fortuna Dusseldorf,Union Berlin,Mainz,FC Koln,Paderborn
6,M'gladbach,Wolfsburg,Bayern Munich,RB Leipzig,Freiburg,Schalke 04,Leverkusen,Dortmund,Ein Frankfurt,Hertha,Werder Bremen,Hoffenheim,Mainz,Augsburg,Fortuna Dusseldorf,Union Berlin,FC Koln,Paderborn
7,M'gladbach,Wolfsburg,Bayern Munich,Dortmund,RB Leipzig,Freiburg,Schalke 04,Ein Frankfurt,Leverkusen,Hertha,Hoffenheim,Werder Bremen,Fortuna Dusseldorf,Union Berlin,FC Koln,Augsburg,Mainz,Paderborn
8,M'gladbach,Bayern Munich,Freiburg,Wolfsburg,Dortmund,RB Leipzig,Schalke 04,Leverkusen,Ein Frankfurt,Hoffenheim,Hertha,Werder Bremen,Mainz,Fortuna Dusseldorf,Union Berlin,FC Koln,Augsburg,Paderborn
9,M'gladbach,Dortmund,RB Leipzig,Bayern Munich,Freiburg,Schalke 04,Ein Frankfurt,Wolfsburg,Hoffenheim,Leverkusen,Hertha,Werder Bremen,Fortuna Dusseldorf,Union Berlin,Mainz,Augsburg,FC Koln,Paderborn
