,Bayern Munich scored,Bayern Munich received,Hertha scored,Hertha received,Dortmund scored,Dortmund received,Augsburg scored,Augsburg received,RB Leipzig scored,RB Leipzig received,Hoffenheim scored,Hoffenheim received,Freiburg scored,Freiburg received,Bielefeld scored,Bielefeld received,Ein Frankfurt scored,Ein Frankfurt received,Leverkusen scored,Leverkusen received,Wolfsburg scored,Wolfsburg received,FC Koln scored,FC Koln received,Stuttgart scored,Stuttgart received,Union Berlin scored,Union Berlin received,Mainz scored,Mainz received,Werder Bremen scored,Werder Bremen received,M'gladbach scored,M'gladbach received,Schalke 04 scored,Schalke 04 received
0,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
1,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
2,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
3,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
4,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
5,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
6,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
7,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
8,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
9,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
10,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
11,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
12,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
13,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
14,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
15,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
16,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
17,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
18,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
19,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
20,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
21,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
22,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
23,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
24,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
25,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
26,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
27,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
28,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
29,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
30,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
31,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
32,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
33,8,0,4,1,3,0,3,1,3,1,3,2,3,2,1,1,1,1,0,0,0,0,2,3,2,3,1,3,1,3,1,4,0,3,0,8
