,homeTeam,awayTeam,Home Team Rank,Away Team Rank,Home Team Scored Goals,Home Team Received Goals,Away Team Scored Goals,Away Team received Goals
0,Bayern Munich,M'gladbach,3,18,3.0,0.0,0.0,3.0
1,Duisburg,Stuttgart,11,12,1.0,1.0,1.0,1.0
2,FC Koln,Mainz,6,14,1.0,0.0,0.0,1.0
3,Hamburg,Nurnberg,4,17,3.0,0.0,0.0,3.0
4,Hannover,Hertha,8,9,2.0,2.0,2.0,2.0
5,Werder Bremen,Bielefeld,1,15,5.0,2.0,2.0,5.0
6,Wolfsburg,Dortmund,10,7,2.0,2.0,2.0,2.0
7,Ein Frankfurt,Leverkusen,16,2,1.0,4.0,4.0,1.0
8,Schalke 04,Kaiserslautern,5,13,2.0,1.0,1.0,2.0
9,Bielefeld,Hamburg,15,4,2.0,5.0,3.0,0.0
10,Dortmund,Schalke 04,11,5,1.5,2.0,2.0,1.0
11,Hertha,Ein Frankfurt,6,18,2.0,1.0,0.5,3.0
12,Kaiserslautern,Duisburg,7,13,3.0,2.5,2.0,3.0
13,Leverkusen,Bayern Munich,8,1,3.0,3.0,4.0,1.0
14,M'gladbach,Wolfsburg,15,10,0.5,2.0,1.5,1.5
15,Nurnberg,Hannover,14,9,0.5,2.0,1.5,1.5
16,Mainz,Werder Bremen,16,2,0.0,1.5,3.5,1.0
17,Stuttgart,FC Koln,12,4,1.5,2.0,2.0,1.0
18,Bayern Munich,Hertha,1,6,4.0,1.0,2.0,1.0
19,Ein Frankfurt,Nurnberg,12,17,0.6666666666666666,2.0,0.3333333333333333,1.6666666666666667
20,FC Koln,Kaiserslautern,6,5,2.0,1.6666666666666667,3.0,2.333333333333333
21,Hamburg,Hannover,3,9,2.0,0.3333333333333333,1.3333333333333333,1.3333333333333333
22,Schalke 04,M'gladbach,4,16,1.6666666666666667,1.0,0.6666666666666666,1.6666666666666667
23,Werder Bremen,Stuttgart,2,14,2.6666666666666665,1.0,1.3333333333333333,1.6666666666666667
24,Wolfsburg,Leverkusen,7,10,1.6666666666666667,1.3333333333333333,2.333333333333333,2.6666666666666665
25,Bielefeld,Mainz,11,18,1.3333333333333333,2.333333333333333,0.0,1.6666666666666667
26,Duisburg,Dortmund,15,13,1.6666666666666667,2.333333333333333,1.3333333333333333,1.6666666666666667
27,Hannover,Ein Frankfurt,9,12,1.3333333333333333,1.3333333333333333,0.6666666666666666,2.0
28,Kaiserslautern,Werder Bremen,8,2,3.0,3.333333333333333,2.6666666666666665,0.6666666666666666
29,Leverkusen,Schalke 04,12,4,1.3333333333333333,2.6666666666666665,1.3333333333333333,1.0
30,Mainz,Hamburg,18,3,0.3333333333333333,2.333333333333333,2.0,0.6666666666666666
31,M'gladbach,Duisburg,11,16,1.3333333333333333,1.0,1.6666666666666667,2.6666666666666665
32,Nurnberg,Bayern Munich,17,1,0.6666666666666666,1.3333333333333333,3.333333333333333,1.0
33,Stuttgart,Bielefeld,14,13,1.3333333333333333,1.6666666666666667,1.0,1.0
34,Dortmund,FC Koln,9,7,1.3333333333333333,1.3333333333333333,2.0,2.333333333333333
35,Hertha,Wolfsburg,5,10,1.6666666666666667,1.0,1.0,1.6666666666666667
36,Bayern Munich,Hannover,1,6,3.333333333333333,1.0,1.3333333333333333,0.6666666666666666
37,Bielefeld,Kaiserslautern,13,8,1.0,0.3333333333333333,1.3333333333333333,2.333333333333333
38,FC Koln,M'gladbach,5,14,1.6666666666666667,2.0,1.3333333333333333,1.3333333333333333
39,Hamburg,Ein Frankfurt,3,15,1.6666666666666667,1.0,0.6666666666666666,1.0
40,Mainz,Stuttgart,18,10,0.6666666666666666,2.333333333333333,1.3333333333333333,1.0
41,Werder Bremen,Dortmund,2,12,3.0,1.3333333333333333,1.6666666666666667,1.6666666666666667
42,Wolfsburg,Nurnberg,11,17,1.0,1.6666666666666667,0.6666666666666666,1.3333333333333333
43,Duisburg,Leverkusen,16,7,1.0,2.0,1.6666666666666667,1.3333333333333333
44,Schalke 04,Hertha,4,6,0.6666666666666666,0.6666666666666666,1.0,1.0
45,Dortmund,Bielefeld,12,13,1.6666666666666667,1.6666666666666667,1.0,0.3333333333333333
46,Ein Frankfurt,Bayern Munich,15,1,0.3333333333333333,1.3333333333333333,1.3333333333333333,0.3333333333333333
47,Hannover,Wolfsburg,12,8,1.3333333333333333,1.6666666666666667,1.6666666666666667,2.0
48,M'gladbach,Werder Bremen,10,3,1.6666666666666667,1.3333333333333333,3.0,1.6666666666666667
49,Hertha,Duisburg,4,18,2.0,0.6666666666666666,1.3333333333333333,2.6666666666666665
50,Kaiserslautern,Mainz,11,17,0.3333333333333333,2.333333333333333,1.3333333333333333,1.6666666666666667
51,Leverkusen,FC Koln,5,7,2.0,1.0,1.3333333333333333,1.6666666666666667
52,Nurnberg,Schalke 04,16,6,1.0,1.3333333333333333,0.6666666666666666,0.6666666666666666
53,Stuttgart,Hamburg,13,2,1.3333333333333333,1.3333333333333333,2.0,1.0
54,Bielefeld,M'gladbach,14,10,0.3333333333333333,1.0,1.6666666666666667,1.3333333333333333
55,Duisburg,Nurnberg,14,18,1.3333333333333333,2.0,0.6666666666666666,1.0
56,Hamburg,Bayern Munich,2,1,1.6666666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666
57,Mainz,Dortmund,16,9,1.3333333333333333,1.0,1.6666666666666667,1.3333333333333333
58,Schalke 04,Hannover,5,13,1.0,0.3333333333333333,0.6666666666666666,2.333333333333333
59,Werder Bremen,Leverkusen,3,8,2.0,1.6666666666666667,2.0,1.3333333333333333
60,Wolfsburg,Ein Frankfurt,6,17,2.0,1.0,0.3333333333333333,1.0
61,FC Koln,Hertha,11,4,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666
62,Stuttgart,Kaiserslautern,10,12,1.3333333333333333,1.0,0.0,1.0
63,Bayern Munich,Wolfsburg,1,6,0.6666666666666666,0.6666666666666666,2.0,1.0
64,Ein Frankfurt,Schalke 04,18,4,0.0,1.0,1.3333333333333333,0.3333333333333333
65,Hannover,Duisburg,12,14,1.0,2.333333333333333,1.3333333333333333,1.3333333333333333
