,Werder Bremen scored,Werder Bremen received,Leverkusen scored,Leverkusen received,Bayern Munich scored,Bayern Munich received,Hamburg scored,Hamburg received,Schalke 04 scored,Schalke 04 received,FC Koln scored,FC Koln received,Dortmund scored,Dortmund received,Hannover scored,Hannover received,Hertha scored,Hertha received,Wolfsburg scored,Wolfsburg received,Duisburg scored,Duisburg received,Stuttgart scored,Stuttgart received,Kaiserslautern scored,Kaiserslautern received,Mainz scored,Mainz received,Bielefeld scored,Bielefeld received,Ein Frankfurt scored,Ein Frankfurt received,Nurnberg scored,Nurnberg received,M'gladbach scored,M'gladbach received
0,5,2,4,1,3,0,3,0,2,1,1,0,2,2,2,2,2,2,2,2,1,1,1,1,1,2,0,1,2,5,1,4,0,3,0,3
1,2,0,2,5,5,2,2,0,2,1,3,2,1,2,1,1,2,0,1,1,3,5,2,3,5,3,0,2,0,2,0,2,1,1,1,1
2,1,1,1,2,3,0,1,1,1,1,2,3,1,1,1,1,0,3,2,1,1,1,1,1,3,2,0,2,2,0,1,0,0,1,1,1
3,5,1,1,1,2,1,3,1,1,1,1,2,2,1,2,0,3,0,0,3,1,2,1,1,1,5,1,3,1,1,0,2,1,2,2,1
4,3,2,3,1,1,0,1,1,0,0,2,1,2,3,0,1,0,0,1,1,1,3,2,1,0,0,1,2,0,0,1,1,1,1,1,2
5,1,2,2,1,1,0,2,1,1,1,1,2,2,0,2,4,3,2,4,2,2,3,1,2,0,2,2,0,0,2,0,1,1,1,2,1
6,2,1,1,2,0,2,2,0,2,0,0,1,1,1,0,2,1,0,1,0,1,0,1,0,0,1,1,1,0,2,0,1,0,1,2,0
7,2,1,1,1,2,0,3,0,1,0,1,2,0,0,1,1,1,2,0,2,1,1,0,0,0,3,0,1,1,1,0,1,2,1,1,0
8,6,2,1,3,1,1,0,1,1,1,1,4,3,3,4,1,0,3,1,0,0,1,1,1,3,3,3,1,3,0,1,0,2,6,1,1
9,0,0,1,1,4,0,1,1,0,0,3,6,1,1,0,0,3,1,0,0,0,4,1,1,1,4,1,3,3,2,6,3,2,3,4,1
10,4,1,2,2,2,1,1,0,0,1,1,2,2,1,1,4,3,3,0,1,1,0,3,3,2,2,4,1,4,1,1,4,1,4,1,2
11,1,3,2,1,3,1,0,0,3,0,1,1,1,2,2,2,3,0,1,1,0,3,1,0,0,3,2,2,0,3,3,0,0,1,0,0
12,6,1,1,1,2,1,2,0,2,2,2,2,2,0,2,2,0,2,1,6,0,2,2,2,1,3,2,2,1,2,2,2,3,1,1,1
13,1,2,0,1,2,1,1,0,2,1,1,1,2,1,5,1,2,2,0,0,1,1,1,1,1,5,1,2,0,0,1,1,1,2,2,2
14,2,0,1,2,0,0,3,1,1,0,1,3,0,2,2,0,2,1,1,5,0,2,0,0,1,2,5,1,0,1,2,1,1,0,0,1
15,4,1,1,1,2,1,2,1,1,0,1,4,0,2,1,1,1,2,0,1,1,1,1,0,1,2,0,1,1,1,2,0,1,1,1,1
16,1,1,0,0,2,1,1,1,0,2,2,3,1,2,0,0,1,1,2,3,1,1,2,0,3,2,1,1,3,2,3,4,1,1,4,3
17,1,0,2,1,3,1,1,2,2,0,2,4,3,2,1,1,1,1,2,3,1,0,0,1,0,2,4,2,0,1,1,2,2,1,1,3
18,4,2,0,1,1,0,2,1,0,0,0,0,0,0,1,1,1,1,2,0,2,2,0,0,2,2,2,4,1,2,1,1,1,1,0,2
19,0,0,4,0,0,0,1,2,0,0,2,2,2,0,2,1,0,0,0,4,0,2,0,0,2,2,1,1,1,1,1,0,0,1,0,0
20,0,2,4,7,2,1,1,0,7,4,0,0,0,0,1,0,1,1,1,1,1,1,1,2,2,0,0,1,2,1,0,1,1,2,1,1
21,1,0,3,2,1,1,2,1,2,1,0,2,0,1,1,1,1,2,0,1,2,3,2,1,2,0,1,2,0,2,1,2,1,0,2,0
22,2,0,3,0,5,2,0,2,2,0,0,3,0,1,1,2,1,2,2,1,2,1,2,0,2,0,0,2,1,0,2,5,0,2,0,2
23,1,1,1,1,1,2,2,1,2,1,4,2,1,1,1,2,2,4,1,1,0,3,1,1,1,1,1,1,0,2,1,1,3,0,2,0
24,0,3,0,1,0,0,3,0,2,0,3,4,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,1,0,0,2,4,3,0,3
25,1,3,1,2,3,0,1,0,0,3,0,1,2,1,1,0,1,0,0,1,2,5,1,1,1,2,2,1,0,1,5,2,3,1,1,1
26,5,0,2,0,3,1,2,4,2,2,1,1,4,2,0,5,2,2,2,2,1,3,0,2,3,0,2,2,0,0,1,1,0,0,0,3
27,1,0,5,1,2,2,2,0,0,2,2,2,1,2,0,1,2,0,1,1,1,1,0,2,1,5,0,3,1,0,0,1,3,0,2,1
28,3,0,2,1,0,3,2,0,1,1,3,0,1,2,0,0,2,0,0,3,1,1,1,0,0,2,0,0,1,0,0,1,0,1,0,2
29,1,1,2,1,2,0,2,0,1,1,1,1,0,0,3,3,0,0,1,1,0,2,3,3,2,3,0,0,0,2,0,0,3,2,1,2
30,0,0,2,0,2,2,0,2,0,0,3,1,2,1,0,1,2,2,1,0,1,3,0,2,1,0,2,2,0,1,2,0,1,2,2,2
31,5,3,5,1,3,1,1,0,3,1,0,1,2,1,1,2,1,5,0,3,3,5,1,3,2,2,3,0,1,3,2,2,5,2,2,5
32,6,0,2,2,1,1,2,4,0,1,0,6,1,1,2,2,4,2,1,2,2,0,2,1,1,1,1,0,0,2,1,1,2,2,2,2
33,2,1,2,2,3,3,1,2,3,2,4,2,3,3,2,2,1,2,2,2,0,0,2,3,2,2,0,0,2,4,0,2,2,1,2,0
