,Nurnberg scored,Nurnberg received,Leverkusen scored,Leverkusen received,Werder Bremen scored,Werder Bremen received,Bayern Munich scored,Bayern Munich received,M'gladbach scored,M'gladbach received,Mainz scored,Mainz received,Bielefeld scored,Bielefeld received,Ein Frankfurt scored,Ein Frankfurt received,Schalke 04 scored,Schalke 04 received,Hamburg scored,Hamburg received,Hertha scored,Hertha received,Wolfsburg scored,Wolfsburg received,Bochum scored,Bochum received,Hannover scored,Hannover received,Dortmund scored,Dortmund received,Cottbus scored,Cottbus received,Aachen scored,Aachen received,Stuttgart scored,Stuttgart received
0,3,0,3,0,4,2,2,0,2,0,2,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2,2,4,0,2,0,2,0,3,0,3
1,1,0,1,2,2,1,2,1,0,1,1,1,2,3,0,0,1,0,2,2,4,0,0,0,1,2,0,4,1,1,2,2,0,1,3,2
2,0,0,1,1,0,2,0,0,1,0,1,1,0,1,1,1,2,0,1,1,1,1,1,1,0,1,0,3,3,1,1,0,3,0,1,3
3,1,1,1,3,2,3,1,2,2,4,0,2,2,1,3,1,0,2,0,1,2,0,1,2,1,1,2,1,1,0,2,0,4,2,3,2
4,1,1,1,1,1,1,2,1,1,0,1,1,1,2,1,1,2,0,1,1,1,1,0,2,2,1,1,1,0,1,1,1,1,2,1,1
5,1,1,3,1,3,0,0,1,0,3,1,1,3,1,2,2,1,3,2,2,2,2,1,0,1,2,2,2,2,2,1,3,2,1,2,2
6,1,1,0,3,6,0,4,2,3,1,1,3,1,1,1,1,2,1,1,2,2,4,1,3,0,6,1,1,3,2,2,3,3,1,3,0
7,2,2,1,2,3,1,1,3,1,2,0,1,1,0,2,2,2,1,2,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1
8,1,1,2,0,6,1,2,0,0,2,1,6,5,1,0,2,0,3,0,0,0,2,1,0,0,1,0,0,1,1,2,0,1,5,3,0
9,1,2,1,1,1,1,2,2,0,1,1,1,1,1,1,0,2,2,0,1,2,1,1,0,2,0,0,2,1,1,1,1,2,4,4,2
10,1,2,3,1,2,1,0,1,0,2,1,2,2,2,1,0,2,0,0,2,2,2,2,1,1,3,1,0,0,0,0,1,0,0,2,0
11,1,1,2,3,1,3,3,2,1,1,0,4,3,0,0,3,4,0,1,1,3,3,0,0,3,3,1,2,3,1,0,0,1,1,2,1
12,3,2,2,3,2,2,2,1,0,1,0,0,0,0,3,4,4,2,0,0,2,1,0,0,4,3,1,0,1,2,2,4,2,2,1,2
13,1,1,3,1,3,0,2,1,0,1,0,1,0,3,1,1,2,1,1,2,2,1,1,1,1,2,1,0,1,1,1,3,1,2,1,0
14,0,0,0,0,3,1,1,1,1,1,0,0,0,0,3,2,0,0,1,2,1,3,0,1,2,1,1,0,1,0,0,1,2,3,0,0
15,0,0,2,1,6,2,2,1,1,1,1,1,1,1,2,6,3,1,0,0,1,2,1,2,0,1,1,1,1,3,1,2,2,1,1,0
16,3,1,2,1,2,1,4,0,0,2,0,4,0,1,0,1,1,0,3,3,1,0,1,2,2,0,1,3,1,2,0,0,3,3,0,0
17,4,1,3,2,3,0,2,3,1,3,1,0,1,1,1,3,3,1,1,1,2,1,1,2,0,1,0,3,3,2,3,1,2,3,1,4
18,0,0,0,2,2,0,0,0,0,0,1,0,2,3,2,2,2,1,1,1,0,5,2,2,0,0,5,0,0,1,1,1,1,2,3,2
19,3,0,2,3,0,2,0,3,2,0,0,0,0,2,0,0,2,0,1,2,2,1,3,2,0,0,4,1,0,1,0,0,1,4,1,0
20,2,0,2,2,1,4,1,0,0,0,4,1,0,1,2,2,2,0,3,0,0,2,2,2,0,2,2,2,0,3,1,4,0,0,4,1
21,1,0,0,1,0,2,0,1,0,1,2,1,1,3,0,4,2,2,2,0,1,2,2,2,3,1,1,0,1,0,0,1,1,0,4,0
22,1,2,1,0,2,2,2,1,2,2,2,1,1,2,1,3,0,1,3,1,0,0,1,2,2,2,4,2,2,4,2,1,2,2,0,0
23,2,3,3,1,3,0,3,2,0,1,1,2,3,2,2,0,0,2,2,0,2,3,1,0,0,3,0,2,2,3,3,2,2,1,1,3
24,2,2,0,0,1,1,1,1,3,1,1,0,0,1,2,2,1,1,0,0,1,3,0,0,2,0,1,1,0,2,0,2,2,0,0,0
25,0,0,1,0,2,0,0,1,0,1,0,2,0,2,1,0,1,0,0,0,0,1,3,1,1,3,0,0,0,0,1,0,2,0,0,1
26,2,1,3,1,0,0,2,0,1,1,1,3,1,0,1,1,0,2,1,0,1,2,0,1,2,0,0,2,0,1,0,0,1,3,3,1
27,0,1,1,4,1,0,2,1,0,2,2,3,1,1,1,3,2,0,2,4,1,1,3,2,4,1,1,2,4,1,3,1,1,4,4,2
28,1,0,1,2,2,0,2,1,0,1,0,3,2,4,4,2,3,0,1,0,3,1,2,3,1,3,1,2,0,2,3,2,0,1,2,1
29,0,2,2,0,3,1,0,2,0,1,2,2,3,2,0,3,2,0,2,2,0,1,2,3,3,0,1,0,1,0,0,2,1,3,2,0
30,1,1,1,2,2,3,1,2,0,1,1,2,3,2,0,2,1,2,2,1,4,0,1,1,2,1,2,1,2,0,2,1,0,4,1,0
31,0,1,1,2,4,1,1,1,1,1,0,2,2,1,4,0,1,0,0,3,1,4,0,2,3,0,2,0,2,0,0,2,0,4,2,0
32,0,2,3,2,1,2,3,0,0,3,3,0,3,1,2,1,0,2,2,0,2,3,2,2,2,3,1,3,2,0,0,3,2,2,3,2
33,3,0,2,1,2,0,5,2,0,2,2,5,1,2,1,2,2,1,4,0,2,1,0,2,2,0,0,3,1,2,1,2,0,4,2,1
