,Bayern Munich scored,Bayern Munich received,Bielefeld scored,Bielefeld received,Duisburg scored,Duisburg received,Karlsruhe scored,Karlsruhe received,Ein Frankfurt scored,Ein Frankfurt received,Hamburg scored,Hamburg received,Schalke 04 scored,Schalke 04 received,Stuttgart scored,Stuttgart received,Bochum scored,Bochum received,Werder Bremen scored,Werder Bremen received,Leverkusen scored,Leverkusen received,Cottbus scored,Cottbus received,Hannover scored,Hannover received,Hertha scored,Hertha received,Dortmund scored,Dortmund received,Wolfsburg scored,Wolfsburg received,Nurnberg scored,Nurnberg received,Hansa Rostock scored,Hansa Rostock received
0,3,0,3,1,3,1,2,0,1,0,1,0,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,1,1,3,1,3,0,2,0,3
1,4,0,2,2,1,3,1,2,2,2,1,0,4,1,1,3,2,1,0,4,0,1,1,2,2,1,3,1,1,4,3,1,2,1,1,2
2,3,0,2,0,0,1,0,3,1,0,1,2,1,1,1,0,2,1,1,0,3,0,0,3,0,3,0,2,3,0,1,1,0,1,0,1
3,1,1,0,3,3,0,1,0,1,2,1,1,1,1,0,1,2,3,2,1,1,1,1,1,3,2,2,1,1,0,1,2,1,1,0,1
4,1,1,4,2,1,2,2,1,2,1,1,2,1,1,3,0,0,2,0,3,2,0,0,3,2,2,2,1,3,0,1,2,2,2,2,4
5,4,1,0,3,0,2,1,4,0,0,1,0,3,0,1,4,0,0,4,1,3,0,1,2,0,3,3,2,2,3,2,1,0,1,2,0
6,5,0,0,2,0,2,1,0,0,1,3,0,2,0,1,0,0,1,1,1,2,1,0,5,2,0,1,3,0,3,1,1,1,2,3,1
7,1,0,1,8,1,2,3,1,2,2,2,2,1,0,1,2,3,3,8,1,0,1,2,2,2,1,0,1,1,3,2,2,3,3,2,1
8,3,0,0,1,1,3,2,0,2,1,1,0,0,2,0,2,1,2,3,1,1,2,0,0,2,0,0,0,2,1,1,0,0,3,0,1
9,2,1,0,0,2,1,0,0,1,5,4,1,1,1,1,4,1,2,3,2,2,2,1,2,2,2,2,3,2,2,2,2,5,1,1,1
10,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,2,1,1,0,1,1,1,0,0,2,0,0,0,3,1,1,3,0,0
11,0,0,0,4,0,1,1,0,0,0,2,1,0,1,1,0,5,3,1,0,4,0,1,0,2,1,1,2,1,2,3,5,0,1,0,1
12,1,3,3,1,0,2,0,4,1,1,1,1,1,1,3,1,2,0,4,0,2,1,2,3,0,1,1,0,1,1,1,2,1,3,3,2
13,2,1,0,3,1,4,2,1,1,4,2,0,3,2,4,1,3,0,2,0,4,1,0,2,2,3,1,2,0,2,1,2,2,0,0,2
14,1,0,0,1,1,0,0,2,2,2,1,2,1,0,1,2,0,1,2,1,3,0,2,0,3,0,0,3,2,1,2,2,0,1,0,3
15,0,0,1,6,0,0,2,2,2,2,0,0,2,2,3,1,2,2,3,4,3,0,0,0,4,3,1,2,6,1,1,3,2,1,0,3
16,0,0,2,0,0,1,1,1,1,0,1,1,2,1,0,2,0,2,5,2,2,5,5,1,1,5,0,0,0,4,4,0,1,2,2,0
17,2,1,0,1,3,3,2,0,3,0,1,1,4,1,1,4,2,1,1,2,3,2,2,3,1,1,0,3,3,3,1,0,0,2,1,2
18,1,1,1,2,1,2,2,2,2,1,1,1,3,2,1,3,3,3,1,1,1,1,3,3,2,2,3,1,2,3,2,1,1,1,1,1
19,3,0,0,1,2,3,2,2,0,1,3,0,1,2,3,2,0,3,2,0,2,2,0,2,0,3,1,0,2,0,2,1,0,2,1,0
20,1,1,0,2,2,0,1,3,1,0,1,1,0,1,3,1,2,1,0,1,1,0,1,1,1,2,0,0,1,0,0,0,1,1,0,1
21,1,0,1,1,0,2,3,1,1,4,4,1,0,1,1,0,2,0,2,0,0,2,0,1,2,1,2,0,0,2,1,3,1,2,1,1
22,2,0,0,2,1,1,0,2,1,1,0,0,2,0,6,3,1,1,3,6,2,0,0,3,0,2,1,1,1,1,3,0,0,0,1,1
23,0,2,2,2,1,2,0,1,1,0,1,0,2,1,1,1,1,1,0,1,4,1,2,0,2,2,0,0,0,1,1,0,1,4,0,0
24,2,1,1,1,1,1,1,1,2,1,1,1,2,1,4,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,4
25,1,1,1,1,2,1,0,0,2,0,1,1,0,0,0,0,3,3,1,2,0,2,2,1,0,0,1,2,3,3,1,0,1,1,0,1
26,3,1,1,0,0,1,0,1,1,3,0,1,1,0,1,0,1,3,2,1,1,2,1,0,2,3,1,2,2,1,3,2,3,1,0,1
27,5,0,0,1,1,0,1,2,1,2,0,1,1,5,0,3,1,1,5,1,3,0,1,0,2,1,1,1,0,5,0,1,1,0,2,1
28,3,1,1,0,0,1,1,0,1,3,0,0,5,0,3,0,1,0,2,1,0,1,0,5,3,1,0,0,1,3,0,1,0,3,1,2
29,4,1,2,2,1,1,3,3,1,1,0,1,1,0,1,4,1,1,3,3,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2
30,0,0,2,0,3,2,1,3,1,4,3,1,1,1,4,1,0,2,2,0,2,3,0,2,1,1,3,1,0,0,0,0,0,0,1,3
31,2,0,0,2,0,2,1,1,2,3,0,1,3,0,2,3,0,3,1,0,1,2,1,1,3,0,2,1,3,2,3,2,2,0,0,3
