,Bayern Munich scored,Bayern Munich received,Bielefeld scored,Bielefeld received,Duisburg scored,Duisburg received,Karlsruhe scored,Karlsruhe received,Ein Frankfurt scored,Ein Frankfurt received,Hamburg scored,Hamburg received,Schalke 04 scored,Schalke 04 received,Stuttgart scored,Stuttgart received,Bochum scored,Bochum received,Werder Bremen scored,Werder Bremen received,Leverkusen scored,Leverkusen received,Cottbus scored,Cottbus received,Hannover scored,Hannover received,Hertha scored,Hertha received,Dortmund scored,Dortmund received,Wolfsburg scored,Wolfsburg received,Nurnberg scored,Nurnberg received,Hansa Rostock scored,Hansa Rostock received
0,3,0,3,1,3,1,2,0,1,0,1,0,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,1,1,3,1,3,0,2,0,3
1,7,0,5,3,4,4,3,2,3,2,2,0,6,3,3,5,4,3,2,6,0,1,1,2,2,2,3,2,2,7,4,4,2,3,1,5
2,10,0,7,3,4,5,3,5,4,2,3,2,7,4,4,5,6,4,3,6,3,1,1,5,2,5,3,4,5,7,5,5,2,4,1,6
3,11,1,7,6,7,5,4,5,5,4,4,3,8,5,4,6,8,7,5,7,4,2,2,6,5,7,5,5,6,7,6,7,3,5,1,7
4,12,2,11,8,8,7,6,6,7,5,5,5,9,6,7,6,8,9,5,10,6,2,2,9,7,9,7,6,9,7,7,9,5,7,3,11
5,16,3,11,11,8,9,7,10,7,5,6,5,12,6,8,10,8,9,9,11,9,2,3,11,7,12,10,8,11,10,9,10,5,8,5,11
6,21,3,11,13,8,11,8,10,7,6,9,5,14,6,9,10,8,10,10,12,11,3,3,16,9,12,11,11,11,13,10,11,6,10,8,12
7,22,3,12,21,9,13,11,11,9,8,11,7,15,6,10,12,11,13,18,13,11,4,5,18,11,13,11,12,12,16,12,13,9,13,10,13
8,25,3,12,22,10,16,13,11,11,9,12,7,15,8,10,14,12,15,21,14,12,6,5,18,13,13,11,12,14,17,13,13,9,16,10,14
9,27,4,12,22,12,17,13,11,12,14,16,8,16,9,11,18,13,17,24,16,14,8,6,20,15,15,13,15,16,19,15,15,14,17,11,15
10,27,4,13,23,12,18,13,11,12,14,17,8,17,10,12,18,13,19,25,17,14,9,7,21,15,15,15,15,16,19,18,16,15,20,11,15
11,27,4,13,27,12,19,14,11,12,14,19,9,17,11,13,18,18,22,26,17,18,9,8,21,17,16,16,17,17,21,21,21,15,21,11,16
12,28,7,16,28,12,21,14,15,13,15,20,10,18,12,16,19,20,22,30,17,20,10,10,24,17,17,17,17,18,22,22,23,16,24,14,18
13,30,8,16,31,13,25,16,16,14,19,22,10,21,14,20,20,23,22,32,17,24,11,10,26,19,20,18,19,18,24,23,25,18,24,14,20
14,31,8,16,32,14,25,16,18,16,21,23,12,22,14,21,22,23,23,34,18,27,11,12,26,22,20,18,22,20,25,25,27,18,25,14,23
15,31,8,17,38,14,25,18,20,18,23,23,12,24,16,24,23,25,25,37,22,30,11,12,26,26,23,19,24,26,26,26,30,20,26,14,26
16,31,8,19,38,14,26,19,21,19,23,24,13,26,17,24,25,25,27,42,24,32,16,17,27,27,28,19,24,26,30,30,30,21,28,16,26
17,33,9,19,39,17,29,21,21,22,23,25,14,30,18,25,29,27,28,43,26,35,18,19,30,28,29,19,27,29,33,31,30,21,30,17,28
18,34,10,20,41,18,31,23,23,24,24,26,15,33,20,26,32,30,31,44,27,36,19,22,33,30,31,22,28,31,36,33,31,22,31,18,29
19,37,10,20,42,20,34,25,25,24,25,29,15,34,22,29,34,30,34,46,27,38,21,22,35,30,34,23,28,33,36,35,32,22,33,19,29
20,38,11,20,44,22,34,26,28,25,25,30,16,34,23,32,35,32,35,46,28,39,21,23,36,31,36,23,28,34,36,35,32,23,34,19,30
21,39,11,21,45,22,36,29,29,26,29,34,17,34,24,33,35,34,35,48,28,39,23,23,37,33,37,25,28,34,38,36,35,24,36,20,31
22,41,11,21,47,23,37,29,31,27,30,34,17,36,24,39,38,35,36,51,34,41,23,23,40,33,39,26,29,35,39,39,35,24,36,21,32
23,41,13,23,49,24,39,29,32,28,30,35,17,38,25,40,39,36,37,51,35,45,24,25,40,35,41,26,29,35,40,40,35,25,40,21,32
24,43,14,24,50,25,40,30,33,30,31,36,18,40,26,44,40,37,38,52,36,46,26,26,42,36,42,27,31,36,41,41,36,26,41,22,36
25,44,15,25,51,27,41,30,33,32,31,37,19,40,26,44,40,40,41,53,38,46,28,28,43,36,42,28,33,39,44,42,36,27,42,22,37
26,47,16,26,51,27,42,30,34,33,34,37,20,41,26,45,40,41,44,55,39,47,30,29,43,38,45,29,35,41,45,45,38,30,43,22,38
27,52,16,26,52,28,42,31,36,34,36,37,21,42,31,45,43,42,45,60,40,50,30,30,43,40,46,30,36,41,50,45,39,31,43,24,39
28,55,17,27,52,28,43,32,36,35,39,37,21,47,31,48,43,43,45,62,41,50,31,30,48,43,47,30,36,42,53,45,40,31,46,25,41
29,59,18,29,54,29,44,35,39,36,40,37,22,48,31,49,47,44,46,65,44,52,33,32,49,45,49,32,38,43,54,47,42,33,48,26,43
30,59,18,31,54,32,46,36,42,37,44,40,23,49,32,53,48,44,48,67,44,54,36,32,51,46,50,35,39,43,54,47,42,33,48,27,46
31,61,18,31,56,32,48,37,43,39,47,40,24,52,32,55,51,44,51,68,44,55,38,33,52,49,50,37,40,46,56,50,44,35,48,27,49
32,64,20,33,58,34,51,38,46,39,48,40,26,53,32,55,55,47,52,74,45,57,39,35,52,50,56,38,40,48,58,54,44,35,49,28,51
33,68,21,35,60,36,55,38,53,43,50,47,26,55,32,57,57,48,54,75,45,57,40,35,56,54,56,39,44,50,62,58,46,35,51,30,52
