,Graafschap scored,Graafschap received,Heracles scored,Heracles received,Feyenoord scored,Feyenoord received,PSV Eindhoven scored,PSV Eindhoven received,Vitesse scored,Vitesse received,Nijmegen scored,Nijmegen received,Ajax scored,Ajax received,Groningen scored,Groningen received,AZ Alkmaar scored,AZ Alkmaar received,Twente scored,Twente received,Roda scored,Roda received,NAC Breda scored,NAC Breda received,VVV Venlo scored,VVV Venlo received,Den Haag scored,Den Haag received,Utrecht scored,Utrecht received,Heerenveen scored,Heerenveen received,Excelsior scored,Excelsior received,Willem II scored,Willem II received
0,3,0,3,0,3,1,3,1,3,1,1,0,2,2,2,2,1,1,0,0,0,0,1,1,0,1,1,3,1,3,1,3,0,3,0,3
1,0,6,0,1,2,3,6,0,2,4,5,3,4,2,1,1,1,1,0,0,3,1,1,3,1,0,1,3,3,1,0,0,3,2,3,5
2,1,2,1,1,1,1,3,1,0,3,2,4,3,0,2,1,1,3,3,0,0,3,1,3,2,3,3,2,3,0,3,1,4,2,0,3
3,0,5,2,4,4,0,2,2,0,4,2,2,5,0,3,0,1,1,4,0,4,2,2,0,0,2,2,2,0,4,2,2,1,1,0,3
4,2,2,1,2,0,2,3,1,1,2,1,3,2,0,1,0,1,2,2,1,2,1,2,0,1,2,2,2,0,1,2,1,2,1,0,2
5,3,2,0,0,1,2,0,0,0,0,0,1,2,1,2,0,1,0,0,0,0,0,0,0,2,3,4,2,3,2,2,3,0,2,2,4
6,0,1,2,3,0,3,1,1,2,0,3,0,2,2,1,1,1,0,2,2,2,2,2,1,1,0,3,2,0,1,2,2,0,2,1,2
7,1,1,1,2,1,1,3,0,0,0,0,2,1,2,2,4,2,1,4,2,2,1,2,0,0,3,0,0,2,1,0,0,1,2,0,0
8,2,2,3,2,0,1,4,2,1,4,2,3,3,0,1,0,1,0,1,0,4,1,0,3,0,1,2,1,2,2,0,1,1,2,2,4
9,1,1,1,1,0,10,10,0,1,4,3,2,2,2,2,3,3,0,3,2,2,1,1,2,0,2,2,3,4,1,2,0,2,2,0,3
10,2,1,4,1,3,0,2,0,0,2,1,1,3,1,3,1,1,2,3,1,1,1,1,4,0,3,1,3,2,0,1,3,0,2,1,3
11,0,2,1,4,1,2,0,1,0,0,0,0,4,1,5,3,2,1,1,0,2,2,2,0,3,5,1,0,0,1,2,0,0,2,2,2
12,1,4,2,3,1,1,2,1,1,1,4,1,0,1,2,1,1,1,2,1,1,1,1,2,4,1,1,0,1,2,3,2,1,2,1,4
13,1,0,3,0,2,2,4,2,5,1,1,1,0,2,0,3,2,0,1,2,1,1,2,1,1,5,1,1,1,1,2,2,2,4,0,1
14,3,1,0,2,0,2,0,0,2,0,0,4,0,0,2,0,2,1,1,2,1,3,0,3,0,1,3,0,4,0,5,0,1,0,0,5
15,1,1,2,1,2,1,2,4,1,1,2,4,2,0,0,1,2,2,4,2,1,0,4,2,0,2,1,2,1,2,2,2,1,1,1,1
16,0,2,2,5,1,1,5,2,1,4,1,1,1,1,4,1,2,0,2,0,4,0,3,1,0,4,0,2,2,1,1,2,1,3,1,1
17,0,0,2,2,1,0,0,0,0,1,3,1,1,0,2,0,0,2,2,6,1,1,3,1,2,2,1,1,1,3,6,2,0,1,1,3
18,0,4,0,5,0,2,3,1,1,1,2,2,2,0,2,2,2,2,5,0,1,3,1,1,1,2,2,1,2,1,4,0,2,2,1,2
19,1,0,0,0,0,1,3,0,0,1,2,2,0,3,1,2,0,0,2,1,3,0,2,2,0,3,3,1,3,0,1,3,0,3,1,0
20,0,0,1,1,1,2,2,1,5,2,1,1,3,0,4,1,6,1,2,1,2,5,0,3,1,6,5,1,0,0,1,4,1,5,1,2
21,0,2,1,0,1,1,0,1,1,1,0,0,2,0,7,1,1,2,1,1,0,1,0,3,3,0,1,0,1,1,0,0,2,1,1,7
22,1,1,1,2,2,1,4,0,0,1,2,0,2,2,1,1,0,4,1,0,2,2,0,2,0,3,3,0,3,3,2,0,0,2,3,3
23,0,2,1,1,2,2,4,1,2,0,1,1,1,0,1,4,2,0,1,1,4,1,1,4,0,1,2,2,1,1,0,2,4,0,0,4
24,1,1,6,1,5,1,0,0,1,6,1,1,0,0,1,5,2,1,1,2,1,1,3,2,1,0,2,3,1,1,3,4,0,1,4,3
25,2,1,4,1,1,0,3,2,2,0,1,5,4,0,1,4,0,4,2,0,1,1,0,2,0,2,5,1,1,1,0,1,2,3,1,2
26,1,0,4,1,2,1,2,2,1,1,2,2,3,1,0,1,2,1,2,1,1,2,1,2,1,2,0,1,1,0,1,1,1,4,1,3
27,0,1,4,2,0,3,1,0,1,3,1,0,2,3,1,0,3,1,2,0,3,0,0,1,0,0,3,2,0,1,2,4,0,2,0,0
28,1,3,0,3,0,1,0,2,2,1,1,2,3,0,3,2,1,0,2,0,5,4,3,1,2,3,3,2,2,3,2,3,3,2,4,5
29,0,0,6,2,4,0,2,2,0,1,4,1,2,0,0,2,1,1,1,1,1,1,1,1,1,4,1,0,0,4,2,2,0,0,2,6
30,1,1,0,2,6,1,2,0,2,1,1,2,2,1,1,2,3,1,1,1,5,2,1,2,2,5,1,3,0,3,3,0,2,1,1,6
31,0,2,2,0,3,1,1,3,2,4,1,3,4,1,3,1,1,2,2,1,5,1,1,5,2,2,1,2,4,2,2,2,1,4,2,1
32,1,5,2,1,2,3,2,1,1,2,5,0,2,1,4,2,5,1,4,0,0,5,1,2,3,2,2,4,1,3,1,2,3,1,0,4
33,1,0,3,0,1,1,0,0,1,4,1,1,3,1,0,0,1,5,1,3,0,0,1,0,0,1,0,3,5,1,0,0,4,1,0,1
