,Game Date,Home Team,Away Team,Home ATT,Away ATT,Home DEF,Away DEF,Home MID,Away MID,Home Win Odds,Draw Odds,Away Win Odds,Winner,Home win Odds not normal,Draw Odds not normal,Away win Odds not normal
0,05/08/11,Excelsior,Feyenoord,64,69,64,68,64,73,0.2556983750167733,0.27029158252393415,0.47401004245929257,2,3.5500000000000003,3.358333333333333,1.915
1,06/08/11,Heerenveen,Nijmegen,75,67,68,65,71,70,0.5420587427598861,0.2532134546598629,0.20472780258025094,X,1.67,3.5749999999999997,4.421666666666667
2,06/08/11,Roda,Groningen,71,69,67,68,69,72,0.4302791424677454,0.27629599757446593,0.29342485995778855,1,2.108333333333333,3.283333333333333,3.091666666666667
3,06/08/11,VVV Venlo,Utrecht,66,68,65,67,67,67,0.3199640542969304,0.27730218039067306,0.40273376531239646,X,2.8383333333333334,3.275,2.2550000000000003
4,06/08/11,Waalwijk,Heracles,67,69,64,66,66,71,0.3014045570071789,0.2768627101261872,0.421732732866634,X,3.008333333333333,3.2750000000000004,2.15
5,07/08/11,AZ Alkmaar,PSV Eindhoven,72,76,72,71,75,77,0.34834293552477275,0.2737606949212319,0.3778963695539954,1,2.5999999999999996,3.3083333333333336,2.3966666666666665
6,07/08/11,Den Haag,Vitesse,67,70,65,69,71,70,0.4803154509344672,0.26634607401451627,0.2533384750510166,X,1.89,3.408333333333333,3.5833333333333335
7,07/08/11,Graafschap,Ajax,66,72,64,76,65,75,0.10515157011251275,0.1956308281163028,0.6992176017711844,2,8.666666666666666,4.658333333333333,1.3033333333333335
8,07/08/11,NAC Breda,Twente,67,74,66,73,68,75,0.2012806625076791,0.2580399014612664,0.5406794360310546,2,4.508333333333334,3.516666666666666,1.6783333333333335
9,13/08/11,Feyenoord,Roda,69,71,68,67,73,69,0.5195876474403632,0.2591767362529128,0.221235616306724,1,1.75,3.508333333333333,4.11
10,13/08/11,PSV Eindhoven,Waalwijk,76,67,71,64,77,66,0.7844162995594713,0.14180616740088103,0.07377753303964757,1,1.16,6.416666666666667,12.333333333333334
11,13/08/11,Twente,AZ Alkmaar,74,72,73,72,75,75,0.5136862902278957,0.2625233300539678,0.22379037971813653,1,1.7716666666666667,3.466666666666667,4.066666666666666
12,13/08/11,Vitesse,VVV Venlo,70,66,69,65,70,67,0.5874348574248012,0.24284137409614553,0.16972376847905335,1,1.5433333333333332,3.733333333333333,5.341666666666666
13,14/08/11,Ajax,Heerenveen,72,75,76,68,75,71,0.7465362827844304,0.1636335900196158,0.0898301271959537,1,1.2183333333333335,5.558333333333334,10.125
14,14/08/11,Groningen,Den Haag,69,67,68,65,72,71,0.5527615190689176,0.2462527668284502,0.20098571410263213,1,1.6483333333333334,3.6999999999999997,4.533333333333333
15,14/08/11,Heracles,NAC Breda,69,67,66,66,71,68,0.5417908515147292,0.2500190810200998,0.208190067465171,1,1.6766666666666665,3.6333333333333333,4.363333333333332
16,14/08/11,Utrecht,Graafschap,68,66,67,64,67,65,0.6076801663059066,0.23545965839153274,0.15686017530256063,X,1.495,3.858333333333333,5.791666666666667
17,15/08/11,Nijmegen,Excelsior,67,64,65,64,70,64,0.6212172879089287,0.2315374252002254,0.14724528689084604,1,1.4616666666666667,3.921666666666667,6.166666666666667
