,Ajax scored,Ajax received,AZ Alkmaar scored,AZ Alkmaar received,Feyenoord scored,Feyenoord received,Roda scored,Roda received,Twente scored,Twente received,Heracles scored,Heracles received,Nijmegen scored,Nijmegen received,Waalwijk scored,Waalwijk received,Heerenveen scored,Heerenveen received,Den Haag scored,Den Haag received,Utrecht scored,Utrecht received,Vitesse scored,Vitesse received,VVV Venlo scored,VVV Venlo received,Groningen scored,Groningen received,NAC Breda scored,NAC Breda received,PSV Eindhoven scored,PSV Eindhoven received,Excelsior scored,Excelsior received,Graafschap scored,Graafschap received
0,4,1,3,1,2,0,2,1,1,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,0,1,1,3,0,2,1,4
1,5,1,0,2,3,0,0,3,2,0,2,1,2,0,0,1,1,5,2,4,2,2,4,0,0,4,4,2,1,2,1,0,0,2,2,2
2,2,2,4,0,1,1,0,2,5,1,1,1,0,4,2,0,1,5,0,3,1,2,2,1,2,2,2,2,2,2,3,0,1,1,1,1
3,4,1,3,0,2,2,1,3,4,1,1,2,2,1,2,1,2,2,3,0,3,1,1,4,1,4,0,3,1,2,6,1,1,6,0,3
4,3,2,4,0,3,1,2,1,1,2,2,3,0,1,1,0,3,0,0,1,3,2,0,4,3,3,0,3,1,3,3,3,2,3,1,0
5,2,2,2,1,4,0,0,5,5,2,2,2,1,2,1,2,3,0,2,5,2,2,5,0,0,3,2,0,2,1,2,2,0,2,0,4
6,1,1,2,1,1,2,1,7,1,1,1,1,0,2,2,0,1,1,2,0,0,1,2,0,0,2,3,2,1,0,7,1,0,2,2,3
7,0,1,3,1,0,3,4,3,2,2,2,0,0,2,0,3,1,1,3,0,3,0,1,1,1,3,1,0,3,4,2,0,2,2,0,2
8,2,2,2,2,4,0,4,1,4,0,2,1,0,1,0,4,1,1,1,4,0,1,1,0,0,4,1,2,2,0,1,0,0,2,1,1
9,1,1,1,0,1,1,0,1,1,1,2,0,0,1,1,4,4,1,1,0,1,4,1,1,4,1,1,1,1,3,1,1,0,2,3,1
10,4,0,1,0,0,6,0,4,2,2,0,1,3,1,0,1,4,0,0,4,1,3,1,0,1,3,6,0,3,1,2,2,1,0,0,1
11,4,6,3,0,0,1,1,2,4,0,1,4,1,0,1,1,2,1,0,3,6,4,0,1,0,0,1,1,1,0,4,1,0,0,0,4
12,2,2,0,0,4,0,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,0,4,1,2,2,1,2,2,3,1,0,0,1,3
13,3,0,2,0,2,1,3,1,0,0,1,3,0,3,1,2,2,2,1,1,0,2,0,0,1,2,1,6,2,2,6,1,1,1,2,1
14,4,1,1,5,2,0,2,1,6,2,7,0,3,3,0,4,5,1,3,0,2,6,4,0,0,7,3,3,0,3,0,2,1,4,1,2
15,1,0,4,0,2,2,0,2,2,0,0,2,0,2,0,1,5,0,2,0,2,2,0,0,2,0,0,0,0,1,1,0,0,5,0,4
16,4,0,1,2,3,2,7,0,2,3,0,1,2,0,3,1,1,5,0,4,0,1,1,0,0,2,1,0,2,1,5,1,0,7,1,3
17,1,1,1,1,1,2,3,3,5,0,1,2,1,0,0,5,2,0,3,3,1,1,0,1,2,1,2,1,0,3,1,1,3,0,0,2
18,2,4,0,2,4,2,2,0,4,1,3,0,2,0,4,0,2,0,0,2,0,2,1,3,0,4,1,4,1,1,3,1,0,3,1,1
19,0,2,6,0,2,0,3,4,2,1,1,1,0,2,3,0,4,3,0,6,2,0,1,0,1,3,0,3,0,1,1,1,3,1,1,2
20,2,0,2,0,3,1,1,0,2,3,3,2,0,1,0,1,1,0,1,1,1,1,1,3,2,0,0,2,0,2,4,1,0,2,1,4
21,4,1,0,3,1,1,1,2,4,1,2,1,1,4,1,1,1,0,1,1,3,0,1,4,4,1,3,0,0,1,0,3,1,1,1,4
22,4,1,3,3,2,3,0,2,1,0,1,3,4,0,1,0,3,3,0,4,0,1,0,1,3,1,0,4,4,0,3,2,1,4,2,0
23,4,1,3,1,1,0,1,4,6,2,1,3,0,0,1,0,0,0,0,0,0,0,2,0,2,1,0,1,1,2,2,6,0,1,0,2
24,3,0,2,0,1,1,3,1,1,3,0,2,3,1,0,3,4,2,2,0,1,1,3,1,1,3,1,3,3,1,1,3,2,4,0,2
