,Twente scored,Twente received,Nijmegen scored,Nijmegen received,Waalwijk scored,Waalwijk received,Feyenoord scored,Feyenoord received,Den Haag scored,Den Haag received,Ajax scored,Ajax received,AZ Alkmaar scored,AZ Alkmaar received,Vitesse scored,Vitesse received,Heracles scored,Heracles received,NAC Breda scored,NAC Breda received,Zwolle scored,Zwolle received,Roda scored,Roda received,VVV Venlo scored,VVV Venlo received,Willem II scored,Willem II received,PSV Eindhoven scored,PSV Eindhoven received,Utrecht scored,Utrecht received,Heerenveen scored,Heerenveen received,Groningen scored,Groningen received
0,4,1,2,0,3,2,1,0,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,0,1,0,2,1,4
1,5,1,3,6,5,4,2,1,4,4,8,3,5,3,3,2,2,4,1,2,1,2,1,6,2,4,2,2,7,3,3,2,1,3,2,5
2,8,2,4,9,6,4,4,2,8,6,13,3,5,3,5,2,3,6,1,7,2,3,1,7,4,8,2,4,10,4,4,3,1,3,3,8
3,9,2,8,9,7,5,4,3,8,7,15,5,6,8,6,2,4,7,2,8,2,7,4,7,4,9,2,7,15,5,5,4,3,5,4,8
4,15,4,10,11,7,7,6,3,11,8,17,5,10,8,9,2,6,8,3,10,2,9,4,11,6,11,4,13,15,6,6,4,4,8,4,11
5,16,4,10,11,8,8,6,6,12,9,18,6,11,10,10,3,7,9,5,11,3,11,4,12,7,12,4,13,18,6,7,4,4,9,6,12
6,16,5,11,16,11,11,11,7,15,12,19,6,14,13,12,4,10,12,5,13,4,11,6,15,7,18,4,14,24,6,8,6,6,9,9,14
7,19,5,12,17,11,12,13,9,16,13,20,7,14,16,15,7,13,12,5,17,4,14,9,15,7,21,5,14,28,6,9,7,9,12,11,16
8,20,6,14,17,12,14,16,11,17,15,23,10,14,18,18,7,16,15,5,20,6,15,10,16,9,24,7,17,31,8,11,8,12,12,11,19
9,21,6,14,17,12,15,18,13,19,15,25,12,16,19,19,9,22,18,9,21,7,17,10,16,10,28,7,19,33,9,12,8,15,18,11,20
10,24,6,16,18,13,17,18,16,19,15,25,14,17,21,21,9,22,22,11,22,8,19,10,16,12,29,8,24,37,9,17,9,17,19,12,22
11,24,6,19,20,17,17,23,18,21,17,29,16,19,23,21,9,24,25,11,23,10,23,12,21,16,30,9,28,42,10,17,13,18,24,13,22
12,25,7,20,24,19,17,26,18,22,23,31,16,20,24,25,10,29,26,11,25,12,23,13,26,16,32,9,31,48,11,18,14,18,26,14,23
13,27,9,22,24,20,18,28,18,25,23,33,17,20,26,27,11,31,28,11,28,14,25,14,28,17,33,11,33,49,13,18,16,19,27,15,24
14,29,9,23,25,20,20,30,18,25,25,36,18,21,28,30,11,31,30,12,29,14,25,14,31,17,33,14,34,50,16,20,17,20,30,17,24
15,29,12,23,27,22,20,32,20,26,26,38,18,21,28,31,14,32,31,14,31,15,26,18,35,20,34,14,34,53,16,21,18,24,34,17,26
16,32,14,24,28,24,22,35,22,28,29,42,20,23,29,33,16,34,34,14,31,16,28,18,35,20,34,16,38,54,17,24,19,25,37,17,26
17,35,14,24,30,24,22,37,23,30,29,42,20,23,32,34,18,35,35,15,37,17,29,22,37,22,38,16,38,60,18,24,19,27,38,18,28
18,35,14,24,32,24,22,37,26,31,30,45,20,27,33,35,22,36,35,16,37,20,30,24,37,22,39,17,39,61,21,26,19,27,39,18,30
19,35,14,26,33,24,26,37,26,33,32,47,23,31,34,38,24,37,40,20,37,21,31,26,39,23,43,18,42,66,22,29,20,28,40,19,32
20,37,18,28,34,24,27,40,27,33,39,50,23,31,35,39,26,40,43,23,37,21,34,29,42,23,46,19,45,73,22,33,22,29,40,20,32
21,38,19,31,34,25,29,43,28,35,40,51,24,32,38,41,28,44,44,24,39,22,35,30,43,25,48,20,49,75,24,33,25,31,42,22,33
22,39,20,32,36,25,31,45,31,37,41,53,24,34,40,43,28,45,45,25,40,25,37,32,45,27,49,21,50,77,25,34,27,32,44,22,35
23,40,22,35,38,25,32,47,32,38,42,54,25,34,41,48,31,48,50,26,40,25,38,32,49,28,49,23,53,78,27,38,27,34,45,23,35
24,40,24,35,41,27,33,50,32,41,43,56,25,35,43,50,31,49,53,27,42,27,38,36,50,28,51,23,55,80,27,38,29,36,46,24,39
25,40,25,35,42,27,34,51,32,42,44,59,25,36,44,51,31,50,53,28,43,27,41,36,51,28,52,24,55,81,29,39,29,38,47,25,40
26,43,25,36,45,27,36,53,33,42,48,62,27,38,47,55,31,52,53,32,43,30,43,38,54,28,54,24,59,83,29,40,31,41,48,25,43
27,44,26,37,49,31,36,53,35,42,52,66,28,40,48,57,32,53,55,33,44,31,45,40,56,29,56,25,61,85,31,42,32,43,48,27,44
28,46,26,38,50,32,37,54,35,42,53,70,28,41,49,60,32,53,59,33,47,32,46,40,58,29,57,26,64,88,32,43,32,44,51,30,45
29,49,27,38,52,33,38,55,36,43,56,73,30,47,49,63,35,53,61,35,47,34,46,43,61,29,59,28,67,90,35,43,38,47,53,32,45
30,51,29,39,55,33,42,57,36,44,58,74,31,48,52,63,37,57,61,35,50,37,47,44,63,31,61,30,68,93,36,46,38,48,54,34,46
