,Groningen scored,Groningen received,Ajax scored,Ajax received,Heerenveen scored,Heerenveen received,Vitesse scored,Vitesse received,PSV Eindhoven scored,PSV Eindhoven received,Zwolle scored,Zwolle received,Utrecht scored,Utrecht received,Go Ahead Eagles scored,Go Ahead Eagles received,Twente scored,Twente received,NAC Breda scored,NAC Breda received,Waalwijk scored,Waalwijk received,Cambuur scored,Cambuur received,Den Haag scored,Den Haag received,Feyenoord scored,Feyenoord received,AZ Alkmaar scored,AZ Alkmaar received,Heracles scored,Heracles received,Nijmegen scored,Nijmegen received,Roda scored,Roda received
0,4,1,3,0,4,2,3,1,3,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,2,3,1,2,2,4,1,3,1,4,0,3
1,2,0,2,3,2,0,2,4,5,0,3,1,0,2,2,1,4,1,0,2,4,2,0,2,1,2,1,4,3,2,1,3,0,5,2,0
2,1,4,2,1,2,4,1,1,3,0,5,1,0,6,0,3,6,0,1,2,1,2,4,1,2,1,1,2,2,1,4,2,1,5,1,1
3,3,3,3,3,3,3,1,0,1,1,2,0,2,0,3,3,0,1,1,3,2,2,0,2,0,4,3,1,0,2,1,1,2,2,4,0
4,1,1,1,1,1,1,1,1,0,0,1,1,1,1,4,1,1,1,1,1,1,4,0,0,0,1,4,0,1,1,1,0,1,1,0,4
5,2,4,2,1,4,2,1,2,2,2,1,2,2,1,0,3,2,2,5,1,1,2,2,0,2,1,3,3,3,0,0,2,3,3,1,5
6,4,1,0,4,3,3,3,0,4,0,0,3,0,1,0,0,3,0,3,0,1,4,0,0,1,1,1,0,0,3,0,3,1,1,3,3
7,0,5,6,0,2,1,3,2,1,2,0,0,3,3,0,6,5,0,0,0,1,4,1,2,2,4,4,2,2,1,4,1,2,3,3,3
8,2,1,3,0,1,1,1,2,2,1,0,0,0,3,4,3,1,0,2,1,1,2,0,1,1,1,2,1,1,2,1,2,3,4,0,0
9,1,0,1,1,2,3,3,2,0,1,6,1,4,2,2,2,1,1,2,4,1,2,1,3,1,6,2,2,3,1,1,1,1,1,2,1
10,2,2,0,0,1,2,2,2,1,2,0,2,1,3,0,5,2,3,5,0,0,0,3,1,3,2,1,2,2,0,2,1,2,1,2,1
11,3,3,0,1,0,2,1,0,1,1,1,1,2,0,1,1,2,2,0,3,3,0,0,2,0,2,2,0,2,0,1,1,2,2,3,3
12,3,0,3,0,5,2,3,1,1,2,1,1,1,3,4,1,1,1,2,1,2,5,0,3,3,0,2,2,2,2,0,3,0,3,1,4
13,0,0,3,0,1,1,3,0,1,1,0,0,3,0,0,3,5,2,2,5,1,0,2,1,0,3,0,1,2,2,0,3,1,2,2,2
14,2,2,4,0,3,1,3,0,1,3,1,1,2,1,1,3,2,1,2,2,1,1,0,3,0,4,3,1,2,3,1,2,3,2,1,2
15,1,2,4,0,1,2,6,2,2,6,1,4,2,0,4,1,2,1,0,4,2,2,2,2,2,1,2,1,1,2,3,1,0,2,1,3
16,0,1,2,1,2,1,3,2,5,1,1,2,1,5,1,3,3,1,2,3,2,1,1,2,1,2,1,0,0,2,2,0,4,3,3,4
17,5,2,2,1,5,1,2,2,2,0,0,3,1,2,2,1,1,1,1,0,1,1,0,1,0,2,3,0,1,5,2,2,2,5,1,2
18,1,1,1,0,2,2,2,1,0,1,1,2,2,5,0,2,3,1,0,3,1,1,2,0,1,3,5,2,3,0,1,3,3,1,2,2
