,Groningen scored,Groningen received,Ajax scored,Ajax received,Heerenveen scored,Heerenveen received,Vitesse scored,Vitesse received,PSV Eindhoven scored,PSV Eindhoven received,Zwolle scored,Zwolle received,Utrecht scored,Utrecht received,Go Ahead Eagles scored,Go Ahead Eagles received,Twente scored,Twente received,NAC Breda scored,NAC Breda received,Waalwijk scored,Waalwijk received,Cambuur scored,Cambuur received,Den Haag scored,Den Haag received,Feyenoord scored,Feyenoord received,AZ Alkmaar scored,AZ Alkmaar received,Heracles scored,Heracles received,Nijmegen scored,Nijmegen received,Roda scored,Roda received
0,4,1,3,0,4,2,3,1,3,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,2,3,1,2,2,4,1,3,1,4,0,3
1,6,1,5,3,6,2,5,5,8,2,5,2,1,3,3,2,4,1,0,2,4,2,0,2,3,5,2,6,5,6,2,6,1,9,2,3
2,7,5,7,4,8,6,6,6,11,2,10,3,1,9,3,5,10,1,1,4,5,4,4,3,5,6,3,8,7,7,6,8,2,14,3,4
3,10,8,10,7,11,9,7,6,12,3,12,3,3,9,6,8,10,2,2,7,7,6,4,5,5,10,6,9,7,9,7,9,4,16,7,4
4,11,9,11,8,12,10,8,7,12,3,13,4,4,10,10,9,11,3,3,8,8,10,4,5,5,11,10,9,8,10,8,9,5,17,7,8
5,13,13,13,9,16,12,9,9,14,5,14,6,6,11,10,12,13,5,8,9,9,12,6,5,7,12,13,12,11,10,8,11,8,20,8,13
6,17,14,13,13,19,15,12,9,18,5,14,9,6,12,10,12,16,5,11,9,10,16,6,5,8,13,14,12,11,13,8,14,9,21,11,16
7,17,19,19,13,21,16,15,11,19,7,14,9,9,15,10,18,21,5,11,9,11,20,7,7,10,17,18,14,13,14,12,15,11,24,14,19
8,19,20,22,13,22,17,16,13,21,8,14,9,9,18,14,21,22,5,13,10,12,22,7,8,11,18,20,15,14,16,13,17,14,28,14,19
9,20,20,23,14,24,20,19,15,21,9,20,10,13,20,16,23,23,6,15,14,13,24,8,11,12,24,22,17,17,17,14,18,15,29,16,20
10,22,22,23,14,25,22,21,17,22,11,20,12,14,23,16,28,25,9,20,14,13,24,11,12,15,26,23,19,19,17,16,19,17,30,18,21
11,25,25,23,15,25,24,22,17,23,12,21,13,16,23,17,29,27,11,20,17,16,24,11,14,15,28,25,19,21,17,17,20,19,32,21,24
12,28,25,26,15,30,26,25,18,24,14,22,14,17,26,21,30,28,12,22,18,18,29,11,17,18,28,27,21,23,19,17,23,19,35,22,28
13,28,25,29,15,31,27,28,18,25,15,22,14,20,26,21,33,33,14,24,23,19,29,13,18,18,31,27,22,25,21,17,26,20,37,24,30
14,30,27,33,15,34,28,31,18,26,18,23,15,22,27,22,36,35,15,26,25,20,30,13,21,18,35,30,23,27,24,18,28,23,39,25,32
15,31,29,37,15,35,30,37,20,28,24,24,19,24,27,26,37,37,16,26,29,22,32,15,23,20,36,32,24,28,26,21,29,23,41,26,35
16,31,30,39,16,37,31,40,22,33,25,25,21,25,32,27,40,40,17,28,32,24,33,16,25,21,38,33,24,28,28,23,29,27,44,29,39
17,36,32,41,17,42,32,42,24,35,25,25,24,26,34,29,41,41,18,29,32,25,34,16,26,21,40,36,24,29,33,25,31,29,49,30,41
