,Ajax scored,Ajax received,Roda scored,Roda received,Heerenveen scored,Heerenveen received,Feyenoord scored,Feyenoord received,Nijmegen scored,Nijmegen received,Den Haag scored,Den Haag received,Zwolle scored,Zwolle received,PSV Eindhoven scored,PSV Eindhoven received,Cambuur scored,Cambuur received,Groningen scored,Groningen received,Vitesse scored,Vitesse received,Willem II scored,Willem II received,Utrecht scored,Utrecht received,Excelsior scored,Excelsior received,Graafschap scored,Graafschap received,Heracles scored,Heracles received,AZ Alkmaar scored,AZ Alkmaar received,Twente scored,Twente received
0,3,0,3,1,3,1,3,2,1,0,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,3,0,1,1,3,1,3,0,3,1,1
1,3,0,0,3,1,1,2,0,0,3,4,1,3,0,2,0,0,2,0,2,3,0,0,3,1,1,2,2,0,3,3,0,2,2,1,4
2,2,0,1,0,1,1,2,0,0,2,1,1,2,1,1,1,1,6,2,0,0,2,0,0,1,1,0,2,0,1,6,1,0,0,1,2
3,4,0,1,0,1,1,1,3,1,0,0,4,1,1,3,1,1,4,0,2,4,1,0,1,2,0,3,0,0,3,2,0,0,1,0,2
4,2,2,0,0,1,3,1,0,0,0,0,1,3,0,6,0,0,6,3,1,1,2,0,1,2,1,0,3,1,3,1,0,3,1,2,2
5,2,0,1,1,0,2,1,1,2,0,1,2,2,1,1,2,0,0,2,0,3,0,3,1,1,3,0,2,0,3,2,1,0,2,0,0
6,2,0,1,2,0,0,2,0,1,2,3,3,0,2,2,1,3,3,0,2,0,0,2,2,3,3,3,3,2,2,1,3,3,1,2,1
7,1,2,1,1,0,2,2,1,4,1,1,4,1,0,2,1,1,1,0,5,5,0,0,1,0,1,1,0,1,2,2,0,3,1,1,3
8,2,0,1,1,2,5,5,2,0,1,1,1,1,5,1,1,1,1,2,1,5,1,1,2,1,1,1,1,1,1,0,2,1,1,1,0
9,3,1,1,2,2,2,3,1,1,1,1,1,1,2,3,1,1,1,1,1,1,3,2,2,2,1,2,1,0,1,1,0,1,3,1,3
10,6,0,0,6,2,0,0,1,4,2,1,0,0,2,6,3,0,2,2,0,3,0,1,2,4,2,0,3,3,6,2,1,2,4,2,4
11,1,1,1,1,4,1,1,1,2,0,1,1,1,1,3,1,2,2,2,2,0,2,2,3,1,3,3,2,0,2,1,1,2,0,1,4
12,5,1,0,5,1,3,5,0,1,0,2,2,5,0,2,2,1,5,2,1,2,2,2,2,0,1,0,0,1,2,0,0,3,1,0,5
13,2,0,0,3,3,0,4,2,0,1,1,2,0,2,3,0,2,3,2,1,1,0,3,1,4,2,2,4,3,2,2,4,0,3,1,3
14,5,2,0,0,2,5,3,0,2,2,1,0,2,2,1,0,0,3,0,0,0,1,3,0,1,0,1,1,0,1,0,3,0,1,1,1
15,0,1,1,1,2,1,1,1,1,3,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,0,1,2,1,2,1,1,1,2,2,1
16,2,1,2,3,0,4,1,3,3,1,4,0,2,3,3,2,4,1,1,2,5,1,3,2,2,2,1,4,1,2,2,1,2,2,1,5
17,1,0,0,1,2,5,0,2,1,0,0,1,5,2,2,0,0,2,1,4,2,0,0,1,4,1,0,2,2,0,0,4,1,0,4,0
18,1,0,1,0,3,1,2,4,0,0,2,1,0,1,4,2,1,2,0,0,0,1,1,3,1,0,0,1,1,2,2,1,4,2,2,4
19,0,0,1,0,2,1,1,2,2,0,1,3,1,1,3,1,1,3,1,1,1,1,1,1,0,1,1,3,3,1,0,0,3,1,0,2
20,2,2,2,2,1,0,0,2,0,3,2,0,1,3,4,2,0,1,3,1,0,0,0,0,1,3,0,0,2,4,0,0,3,0,3,1
21,2,1,2,2,1,3,1,2,1,1,2,2,0,2,2,0,0,2,2,0,0,1,0,0,0,2,0,0,1,1,2,0,1,0,3,1
22,2,1,0,1,0,3,1,3,0,3,4,2,3,1,3,0,0,2,1,2,3,0,0,0,2,0,2,4,0,0,3,6,6,3,1,0
23,3,0,1,1,1,1,1,1,1,1,0,2,2,0,2,0,0,3,1,4,2,2,1,2,2,1,0,3,2,2,0,2,4,1,3,0
24,4,1,5,0,1,0,2,1,0,2,0,2,0,1,2,0,1,0,0,2,0,1,1,0,1,2,2,0,0,1,0,5,1,4,2,0
25,4,0,1,2,0,4,3,1,1,0,2,1,2,1,3,0,1,3,0,3,2,1,0,4,4,0,0,2,1,2,0,1,2,0,1,2
26,2,2,0,3,1,1,2,0,2,2,2,2,1,2,1,1,1,3,1,2,0,2,0,2,2,2,2,1,3,0,3,1,2,0,2,1
27,2,0,1,0,0,1,3,1,0,1,1,0,4,1,0,2,0,1,0,3,3,0,1,4,2,1,1,2,1,3,1,0,2,2,2,2
28,3,0,1,2,2,1,3,0,2,1,0,1,0,3,4,2,2,2,1,0,1,2,2,3,1,1,0,3,2,2,1,1,2,4,3,2
29,1,0,1,3,4,2,1,0,1,3,2,2,3,1,2,0,0,1,3,1,2,2,0,2,3,1,1,3,1,3,3,1,2,4,0,1
30,2,2,0,3,1,1,1,1,2,1,2,0,1,5,3,0,1,2,1,1,1,1,0,2,2,2,1,1,1,1,1,1,5,1,1,1
31,2,0,0,1,0,2,2,2,0,2,1,2,2,0,2,0,1,1,1,0,0,2,1,1,0,2,0,2,2,0,2,2,2,1,2,0
32,4,0,2,1,1,2,1,0,1,2,1,1,2,2,6,2,2,6,2,1,1,3,0,1,3,1,2,2,1,4,1,1,4,1,0,4
33,1,1,2,3,1,1,1,0,0,1,1,1,1,3,3,1,0,2,2,1,2,2,3,2,1,3,2,0,1,1,1,2,3,1,2,2
