,Ajax scored,Ajax received,Roda scored,Roda received,Heerenveen scored,Heerenveen received,Feyenoord scored,Feyenoord received,Nijmegen scored,Nijmegen received,Den Haag scored,Den Haag received,Zwolle scored,Zwolle received,PSV Eindhoven scored,PSV Eindhoven received,Cambuur scored,Cambuur received,Groningen scored,Groningen received,Vitesse scored,Vitesse received,Willem II scored,Willem II received,Utrecht scored,Utrecht received,Excelsior scored,Excelsior received,Graafschap scored,Graafschap received,Heracles scored,Heracles received,AZ Alkmaar scored,AZ Alkmaar received,Twente scored,Twente received
0,3,0,3,1,3,1,3,2,1,0,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,3,0,1,1,3,1,3,0,3,1,1
1,6,0,3,4,4,2,5,2,1,3,6,3,5,2,4,2,2,4,1,3,4,1,1,4,3,4,2,3,1,6,4,3,2,5,2,5
2,8,0,4,4,5,3,7,2,1,5,7,4,7,3,5,3,3,10,3,3,4,3,1,4,4,5,2,5,1,7,10,4,2,5,3,7
3,12,0,5,4,6,4,8,5,2,5,7,8,8,4,8,4,4,14,3,5,8,4,1,5,6,5,5,5,1,10,12,4,2,6,3,9
4,14,2,5,4,7,7,9,5,2,5,7,9,11,4,14,4,4,20,6,6,9,6,1,6,8,6,5,8,2,13,13,4,5,7,5,11
5,16,2,6,5,7,9,10,6,4,5,8,11,13,5,15,6,4,20,8,6,12,6,4,7,9,9,5,10,2,16,15,5,5,9,5,11
6,18,2,7,7,7,9,12,6,5,7,11,14,13,7,17,7,7,23,8,8,12,6,6,9,12,12,8,13,4,18,16,8,8,10,7,12
7,19,4,8,8,7,11,14,7,9,8,12,18,14,7,19,8,8,24,8,13,17,6,6,10,12,13,9,13,5,20,18,8,11,11,8,15
8,21,4,9,9,9,16,19,9,9,9,13,19,15,12,20,9,9,25,10,14,22,7,7,12,13,14,10,14,6,21,18,10,12,12,9,15
9,24,5,10,11,11,18,22,10,10,10,14,20,16,14,23,10,10,26,11,15,23,10,9,14,15,15,12,15,6,22,19,10,13,15,10,18
10,30,5,10,17,13,18,22,11,14,12,15,20,16,16,29,13,10,28,13,15,26,10,10,16,19,17,12,18,9,28,21,11,15,19,12,22
11,31,6,11,18,17,19,23,12,16,12,16,21,17,17,32,14,12,30,15,17,26,12,12,19,20,20,15,20,9,30,22,12,17,19,13,26
12,36,7,11,23,18,22,28,12,17,12,18,23,22,17,34,16,13,35,17,18,28,14,14,21,20,21,15,20,10,32,22,12,20,20,13,31
13,38,7,11,26,21,22,32,14,17,13,19,25,22,19,37,16,15,38,19,19,29,14,17,22,24,23,17,24,13,34,24,16,20,23,14,34
14,43,9,11,26,23,27,35,14,19,15,20,25,24,21,38,16,15,41,19,19,29,15,20,22,25,23,18,25,13,35,24,19,20,24,15,35
15,43,10,12,27,25,28,36,15,20,18,21,26,26,22,39,17,18,42,20,20,30,16,21,23,26,23,19,27,14,37,25,20,21,26,17,36
16,45,11,14,30,25,32,37,18,23,19,25,26,28,25,42,19,22,43,21,22,35,17,24,25,28,25,20,31,15,39,27,21,23,28,18,41
17,46,11,14,31,27,37,37,20,24,19,25,27,33,27,44,19,22,45,22,26,37,17,24,26,32,26,20,33,17,39,27,25,24,28,22,41
18,47,11,15,31,30,38,39,24,24,19,27,28,33,28,48,21,23,47,22,26,37,18,25,29,33,26,20,34,18,41,29,26,28,30,24,45
19,47,11,16,31,32,39,40,26,26,19,28,31,34,29,51,22,24,50,23,27,38,19,26,30,33,27,21,37,21,42,29,26,31,31,24,47
20,49,13,18,33,33,39,40,28,26,22,30,31,35,32,55,24,24,51,26,28,38,19,26,30,34,30,21,37,23,46,29,26,34,31,27,48
21,51,14,20,35,34,42,41,30,27,23,32,33,35,34,57,24,24,53,28,28,38,20,26,30,34,32,21,37,24,47,31,26,35,31,30,49
22,53,15,20,36,34,45,42,33,27,26,36,35,38,35,60,24,24,55,29,30,41,20,26,30,36,32,23,41,24,47,34,32,41,34,31,49
23,56,15,21,37,35,46,43,34,28,27,36,37,40,35,62,24,24,58,30,34,43,22,27,32,38,33,23,44,26,49,34,34,45,35,34,49
24,60,16,26,37,36,46,45,35,28,29,36,39,40,36,64,24,25,58,30,36,43,23,28,32,39,35,25,44,26,50,34,39,46,39,36,49
25,64,16,27,39,36,50,48,36,29,29,38,40,42,37,67,24,26,61,30,39,45,24,28,36,43,35,25,46,27,52,34,40,48,39,37,51
26,66,18,27,42,37,51,50,36,31,31,40,42,43,39,68,25,27,64,31,41,45,26,28,38,45,37,27,47,30,52,37,41,50,39,39,52
27,68,18,28,42,37,52,53,37,31,32,41,42,47,40,68,27,27,65,31,44,48,26,29,42,47,38,28,49,31,55,38,41,52,41,41,54
28,71,18,29,44,39,53,56,37,33,33,41,43,47,43,72,29,29,67,32,44,49,28,31,45,48,39,28,52,33,57,39,42,54,45,44,56
29,72,18,30,47,43,55,57,37,34,36,43,45,50,44,74,29,29,68,35,45,51,30,31,47,51,40,29,55,34,60,42,43,56,49,44,57
30,74,20,30,50,44,56,58,38,36,37,45,45,51,49,77,29,30,70,36,46,52,31,31,49,53,42,30,56,35,61,43,44,61,50,45,58
31,76,20,30,51,44,58,60,40,36,39,46,47,53,49,79,29,31,71,37,46,52,33,32,50,53,44,30,58,37,61,45,46,63,51,47,58
32,80,20,32,52,45,60,61,40,37,41,47,48,55,51,85,31,33,77,39,47,53,36,32,51,56,45,32,60,38,65,46,47,67,52,47,62
33,81,21,34,55,46,61,62,40,37,42,48,49,56,54,88,32,33,79,41,48,55,38,35,53,57,48,34,60,39,66,47,49,70,53,49,64
