,Vitesse scored,Vitesse received,Utrecht scored,Utrecht received,VVV Venlo scored,VVV Venlo received,Zwolle scored,Zwolle received,PSV Eindhoven scored,PSV Eindhoven received,Feyenoord scored,Feyenoord received,Heracles scored,Heracles received,Excelsior scored,Excelsior received,Groningen scored,Groningen received,Heerenveen scored,Heerenveen received,AZ Alkmaar scored,AZ Alkmaar received,Ajax scored,Ajax received,Twente scored,Twente received,Willem II scored,Willem II received,Roda scored,Roda received,NAC Breda scored,NAC Breda received,Den Haag scored,Den Haag received,Sparta Rotterdam scored,Sparta Rotterdam received
0,4,1,3,0,3,0,4,2,3,2,2,1,2,1,2,1,3,3,3,3,2,3,1,2,1,2,1,2,2,4,1,4,0,3,0,3
1,7,2,5,0,5,1,5,3,7,3,3,1,3,2,2,2,4,6,4,4,4,3,4,3,2,4,1,4,3,7,2,8,0,5,1,4
2,8,4,6,2,5,3,7,3,9,3,8,1,5,4,4,4,6,7,6,5,6,4,6,3,2,6,1,9,3,9,4,10,1,7,3,6
3,11,4,8,2,6,4,7,6,9,5,12,3,7,8,4,7,7,8,8,5,8,5,9,3,2,7,2,11,3,11,5,12,3,8,4,6
4,12,5,8,6,7,5,9,7,10,5,12,4,8,10,5,9,8,10,10,6,10,5,10,4,6,7,5,12,4,14,7,13,4,9,4,8
5,14,6,9,13,8,6,10,8,17,6,12,6,10,11,7,9,9,10,12,7,10,7,11,6,6,8,6,14,5,16,9,13,5,9,4,9
6,15,7,10,14,10,6,13,10,21,6,16,6,11,13,7,11,11,13,12,11,10,11,15,6,8,9,6,18,7,17,9,14,6,9,5,11
7,16,8,13,15,12,11,13,10,26,8,16,6,12,14,9,12,12,14,13,14,11,12,19,6,9,12,9,19,8,17,9,15,7,11,5,15
8,20,8,13,18,12,13,15,10,29,8,17,10,12,17,10,13,12,15,13,18,14,12,23,7,12,12,10,19,8,20,9,17,9,11,6,16
9,22,12,15,20,12,16,17,10,33,10,18,11,15,17,13,14,13,17,14,20,16,13,26,8,13,15,11,22,9,21,11,19,9,13,8,17
10,22,12,17,21,12,16,17,10,37,13,20,13,17,18,14,14,14,19,14,20,19,15,27,10,16,19,13,25,9,22,11,19,11,15,8,17
11,24,16,20,22,13,17,17,11,38,13,21,14,18,22,15,17,18,21,18,20,20,15,35,10,16,23,15,27,9,23,11,27,15,16,10,19
12,26,16,23,23,16,20,19,12,40,14,23,14,20,23,16,19,18,23,19,22,22,15,40,11,16,25,18,30,10,28,12,29,15,18,11,22
13,26,17,24,24,16,22,20,13,41,14,24,14,21,26,17,22,21,23,20,24,24,15,43,14,19,28,21,31,12,29,15,30,15,21,11,23
14,27,17,25,25,18,24,22,14,41,17,25,15,21,31,18,24,23,25,22,26,29,15,46,14,21,31,22,32,14,31,16,31,18,23,11,24
15,29,19,26,25,18,25,23,15,44,20,26,16,24,33,19,27,26,28,23,27,30,16,49,15,23,32,24,34,16,34,17,33,21,25,13,27
16,30,20,27,26,19,25,26,17,47,20,33,16,25,34,21,27,26,30,24,27,31,18,51,16,24,33,26,37,16,35,17,34,21,28,13,34
17,31,22,28,29,22,26,26,21,49,21,38,17,26,37,21,27,30,30,25,30,34,19,54,17,24,33,27,40,17,40,20,35,25,28,13,38
18,32,23,29,30,23,27,27,21,51,22,38,19,27,39,24,29,31,31,26,31,35,20,56,17,25,34,28,41,18,41,20,36,26,29,15,41
19,34,24,29,30,24,27,28,23,53,22,41,20,30,42,25,31,34,34,28,32,37,20,56,17,25,36,28,43,20,42,20,37,27,32,16,43
20,36,24,31,32,25,27,28,27,57,22,41,21,31,43,27,33,34,36,29,32,39,22,59,18,25,37,28,44,22,44,21,40,28,33,17,43
21,36,25,32,32,25,30,31,29,58,22,44,21,32,49,27,34,34,39,31,35,43,22,63,20,25,41,31,44,24,48,27,41,29,33,17,44
22,39,26,34,33,25,30,32,31,60,23,45,24,33,49,27,34,34,39,32,36,43,22,65,21,26,43,31,45,25,49,27,41,29,33,18,46
23,40,28,38,34,26,31,32,32,62,25,46,24,33,50,29,35,35,40,34,38,46,23,66,21,27,44,32,47,26,53,28,44,31,34,19,47
24,42,30,41,35,28,33,33,34,65,26,47,27,35,51,30,35,36,41,34,39,48,24,66,21,28,47,33,47,26,54,29,45,31,34,20,49
25,45,32,41,38,29,34,34,35,68,26,48,29,38,51,31,37,37,42,36,39,50,25,68,24,29,48,33,49,26,57,31,46,32,36,22,50
26,46,37,46,39,31,37,34,37,68,31,50,30,40,52,34,39,39,42,37,43,51,27,72,25,30,50,38,49,26,59,33,46,32,38,24,50
27,46,37,48,41,31,40,37,41,71,31,54,33,40,52,35,41,41,45,39,45,54,29,77,27,32,52,40,51,27,59,33,47,34,39,26,55
28,46,40,50,44,31,40,39,41,76,32,59,33,41,54,35,46,42,47,41,46,57,29,79,28,32,52,43,53,30,59,34,52,34,42,26,57
29,46,41,53,47,33,43,41,44,79,34,62,34,41,55,37,47,43,48,42,47,59,32,80,28,33,55,44,55,33,61,35,52,37,45,29,59
30,53,41,54,50,33,45,42,45,82,34,65,35,41,58,38,48,45,49,44,47,62,32,80,31,34,57,46,56,34,63,36,54,39,46,29,66
31,56,45,55,51,34,49,42,47,84,36,70,36,43,60,40,50,46,50,46,47,66,35,84,32,36,57,47,61,36,65,37,56,39,48,31,67
32,61,45,57,53,35,53,42,48,87,39,73,37,45,62,40,54,50,50,46,50,66,38,87,32,36,62,48,61,40,66,40,56,42,51,32,70
33,63,47,58,53,35,54,42,54,87,39,76,39,50,64,41,56,50,50,48,53,72,38,89,33,37,63,50,63,42,69,41,57,45,53,34,75
