,AZ Alkmaar scored,AZ Alkmaar received,Vitesse scored,Vitesse received,PSV Eindhoven scored,PSV Eindhoven received,Graafschap scored,Graafschap received,Heerenveen scored,Heerenveen received,FC Emmen scored,FC Emmen received,VVV Venlo scored,VVV Venlo received,Ajax scored,Ajax received,For Sittard scored,For Sittard received,Heracles scored,Heracles received,Excelsior scored,Excelsior received,Zwolle scored,Zwolle received,Den Haag scored,Den Haag received,Willem II scored,Willem II received,Feyenoord scored,Feyenoord received,Groningen scored,Groningen received,Utrecht scored,Utrecht received,NAC Breda scored,NAC Breda received
0,5,0,5,1,4,0,2,0,3,2,2,1,1,0,1,1,1,1,1,1,1,1,2,3,1,2,0,1,0,2,1,5,0,4,0,5
1,9,1,6,2,6,1,2,3,4,3,3,5,1,1,2,1,2,3,5,3,1,4,2,5,3,6,1,1,3,2,1,6,2,4,3,5
2,9,1,6,2,8,2,2,4,7,8,3,10,2,2,7,1,3,6,5,8,3,4,3,7,6,7,6,1,8,5,2,6,3,5,3,7
3,11,4,6,6,14,3,3,5,8,9,4,11,3,3,11,1,4,7,8,10,5,8,4,7,10,9,7,7,12,7,2,7,4,6,5,11
4,12,5,8,6,21,3,4,7,11,14,6,12,5,4,14,1,7,9,13,13,7,10,4,9,10,16,9,9,13,8,2,10,5,8,7,14
5,15,6,9,7,24,3,4,11,14,17,6,13,8,4,14,4,11,13,17,13,10,13,5,9,11,17,13,13,14,8,3,13,5,9,7,17
6,17,8,10,9,26,3,6,12,15,18,7,15,8,5,16,4,11,15,19,14,11,13,7,11,12,18,14,15,16,9,4,14,6,10,7,19
7,17,13,14,9,30,3,6,17,20,18,10,18,8,9,21,4,14,18,19,18,11,15,9,11,13,18,15,16,17,10,4,15,8,11,8,21
8,18,15,14,11,36,3,7,20,20,22,10,24,10,9,25,4,17,19,23,19,13,15,9,14,13,20,17,18,20,10,5,19,10,12,10,23
9,20,18,16,12,38,4,11,21,23,24,11,25,11,10,28,4,18,21,24,20,14,19,10,15,14,21,17,19,20,13,6,21,11,12,11,24
10,21,18,16,13,39,4,11,22,24,25,12,26,12,14,30,4,21,21,25,22,16,23,10,18,14,24,17,21,24,14,10,23,14,12,13,25
11,22,18,18,14,43,5,12,26,24,27,14,26,15,16,37,5,23,24,25,24,17,30,12,21,14,25,20,23,26,14,12,23,15,14,13,27
12,24,20,21,15,46,5,12,31,24,30,15,28,17,18,40,5,26,24,25,27,19,31,14,24,17,27,21,26,27,14,12,24,20,14,13,30
13,24,22,22,16,47,7,12,33,27,31,16,29,18,22,45,6,27,27,29,28,22,34,16,24,18,32,23,26,29,15,17,26,23,17,15,35
14,27,22,23,18,53,7,12,33,32,32,17,33,18,22,49,7,27,30,30,31,22,40,17,28,18,32,24,31,33,16,17,26,26,18,17,36
15,29,23,25,19,57,7,12,41,34,35,19,34,19,24,57,7,29,30,30,35,23,42,17,28,21,32,24,34,33,18,18,28,29,20,17,36
16,30,26,27,21,60,8,14,43,36,39,19,36,21,24,60,8,29,30,33,35,23,45,17,30,23,34,26,34,35,20,18,28,30,23,21,38
17,33,26,30,23,62,10,19,44,40,43,21,38,25,26,64,12,30,35,33,38,25,48,20,31,25,38,28,34,36,23,21,28,30,26,21,40
18,35,26,31,25,64,11,19,46,40,45,24,40,27,29,66,18,32,36,33,40,27,48,22,31,26,39,29,34,42,25,22,30,30,27,22,41
19,40,26,33,27,69,11,22,46,42,47,24,45,27,35,72,18,32,41,33,42,29,49,26,34,28,39,30,36,43,27,24,31,33,31,22,44
20,43,26,34,29,71,13,22,50,43,48,27,47,29,36,72,19,36,42,34,42,30,53,27,35,30,42,31,38,47,27,26,32,35,33,22,47
21,46,26,37,31,73,15,22,51,45,50,28,49,29,39,77,19,36,48,40,42,32,54,27,36,31,42,33,41,47,28,27,32,36,33,22,52
22,47,28,40,31,74,16,25,51,49,52,28,52,29,40,82,20,38,52,41,42,32,54,27,39,32,47,35,42,48,29,27,32,36,33,22,52
23,51,30,44,32,76,16,26,52,53,54,28,56,31,43,84,21,40,56,42,47,32,56,28,41,33,48,37,46,52,29,30,34,41,34,23,56
24,51,30,45,33,78,16,28,55,56,56,29,57,32,43,88,21,40,60,43,48,32,57,28,41,35,51,40,48,53,30,30,34,41,34,23,58
25,52,30,47,36,79,16,31,55,56,59,30,60,32,44,88,22,43,61,46,50,32,59,30,41,35,52,43,50,55,33,31,34,45,34,23,62
26,53,30,50,39,80,19,32,57,57,59,30,63,33,45,91,23,45,64,48,51,32,60,33,41,38,55,46,52,57,36,31,35,48,36,24,63
27,55,32,52,41,84,19,32,58,57,62,32,68,35,51,96,25,45,64,51,55,33,62,33,45,38,55,50,55,60,36,32,35,54,38,26,64
28,56,33,55,44,87,22,33,59,57,64,34,68,35,54,100,26,45,69,52,55,33,63,38,45,43,55,51,59,63,36,33,35,54,43,26,65
29,58,36,55,44,89,23,34,61,58,65,35,69,36,55,106,28,46,70,53,57,35,69,38,47,46,57,53,59,65,37,34,36,54,43,27,66
30,59,38,59,45,92,24,35,65,59,67,37,69,40,56,107,28,48,71,55,58,36,70,39,51,47,60,54,60,67,38,34,37,54,45,28,68
31,61,39,61,49,95,24,36,65,61,69,37,70,42,58,111,30,49,73,56,60,37,73,42,53,50,61,54,63,71,38,36,40,56,46,28,72
32,63,43,64,50,98,25,37,69,62,72,38,70,43,61,115,31,50,77,57,63,41,75,42,53,56,63,56,69,75,39,36,41,59,47,28,72
33,64,43,70,51,98,26,38,75,64,73,41,72,47,63,119,32,50,80,61,68,46,79,44,57,58,63,58,72,75,41,39,41,60,51,29,74
