,AZ Alkmaar scored,AZ Alkmaar received,Heerenveen scored,Heerenveen received,Utrecht scored,Utrecht received,VVV Venlo scored,VVV Venlo received,Willem II scored,Willem II received,Groningen scored,Groningen received,Ajax scored,Ajax received,Feyenoord scored,Feyenoord received,Sparta Rotterdam scored,Sparta Rotterdam received,Vitesse scored,Vitesse received,Twente scored,Twente received,PSV Eindhoven scored,PSV Eindhoven received,FC Emmen scored,FC Emmen received,Den Haag scored,Den Haag received,Zwolle scored,Zwolle received,Waalwijk scored,Waalwijk received,For Sittard scored,For Sittard received,Heracles scored,Heracles received
0,4,0,4,0,4,2,3,1,3,1,1,0,2,2,2,2,2,2,2,2,1,1,1,1,0,1,2,4,1,3,1,3,0,4,0,4
1,3,0,2.5,0.5,3.5,1.5,2,2.5,1.5,1.5,1,1.5,3.5,1,1.5,1.5,3,1.5,2,1,2,1,2,1,0,3,1.5,3.5,1,3,0.5,2.5,0.5,2.5,0.5,2.5
2,2,0,1.666666667,1,2.666666667,1.333333333,1.666666667,3,2,1.666666667,0.666666667,1,3.666666667,1,1.333333333,1.333333333,2.666666667,1.333333333,2.333333333,0.666666667,2.333333333,1.666666667,2,0.666666667,0.666666667,2,1.333333333,3,0.666666667,3,1.333333333,2.666666667,1,2.666666667,0.333333333,2.333333333
3,1.666666667,0,0.333333333,1,1.666666667,1.333333333,1.333333333,3,1.666666667,1.666666667,0.666666667,2,4.666666667,0.333333333,0.666666667,1.666666667,2.666666667,1.333333333,2,0.333333333,2,1.333333333,2.666666667,0.666666667,1,2.333333333,1.666666667,1.666666667,1,2.666666667,1,2.666666667,1,3,0.666666667,1.333333333
4,1.333333333,0.666666667,0.333333333,1,1,2,1,2,1.666666667,1.333333333,0.666666667,1.666666667,4.333333333,0.666666667,0.666666667,1.333333333,1.666666667,2.333333333,2,0.666666667,2,1.333333333,2.666666667,0.666666667,1.333333333,1.666666667,1.666666667,0.666666667,1.666666667,2,1.333333333,3,1,3,1,1.333333333
5,3,1,0.666666667,1.666666667,1.666666667,2,1.333333333,1,1,2,1,2.333333333,4.333333333,0.666666667,1.333333333,1.666666667,1.333333333,3.666666667,1,2.333333333,2,1,3.666666667,0.666666667,1,2.666666667,2,1,3.666666667,1.666666667,1,4,1,3,2.333333333,1
6,2.333333333,1,1,2,1.666666667,1.666666667,0.666666667,1,0.666666667,1.666666667,1.333333333,1.333333333,3,1,2.333333333,1.666666667,2,3,2,2.666666667,2.666666667,2,3,0.666666667,1.666666667,3,1,1.333333333,3,1.666666667,1,4.333333333,1.666666667,2.666666667,3,1.333333333
7,2.666666667,0.333333333,1.666666667,1.666666667,2,0.666666667,0.666666667,1.666666667,0.666666667,2,1,1.333333333,2.333333333,0.666666667,3.666666667,2,1.666666667,1.666666667,2,2.666666667,2,3.333333333,3.333333333,0.333333333,2.333333333,2,0.666666667,2.333333333,2,2.666666667,1,4,1.333333333,2.333333333,2.333333333,1.666666667
8,1.333333333,0.333333333,1.666666667,0.333333333,1.333333333,1,0.333333333,2.666666667,0.666666667,1,1.666666667,0.666666667,1.666666667,0.333333333,3.333333333,2.666666667,2,0.333333333,2.666666667,1.333333333,1.333333333,3.333333333,3,0.666666667,2,1.666666667,0,2,0,2.333333333,0.333333333,3,2,2,1.666666667,1.333333333
9,1.666666667,1.666666667,2.666666667,0.666666667,2,0.666666667,0.333333333,3.666666667,0.666666667,1,1.666666667,0.666666667,2,0.333333333,2.666666667,2,0.666666667,1,2.666666667,0.666666667,0.666666667,2.666666667,2.666666667,1.333333333,1.666666667,1,0.333333333,2.666666667,1,2,0.666666667,2.333333333,1.666666667,1.333333333,1,1
10,2.333333333,1.666666667,2,1,2,1,0.666666667,4,1.333333333,0.666666667,2,0.333333333,2.666666667,0.333333333,1,3,1,1.666666667,2,1,1.666666667,1.333333333,1.333333333,2.666666667,1,2.333333333,1,1.666666667,1,2,0.666666667,2.333333333,3,1.666666667,2.333333333,0.333333333
11,3,1.333333333,2,1.333333333,3.666666667,0.333333333,0.333333333,3.666666667,1,1,1.666666667,0.333333333,3.333333333,1,1.333333333,1.666666667,1,2,1.666666667,1.333333333,1.333333333,1.666666667,0.666666667,3,1.666666667,2,1.333333333,1.333333333,1.666666667,3,1.333333333,1.333333333,1.666666667,3,1.666666667,1
12,3.333333333,0,1.333333333,1,2.666666667,1.666666667,0.666666667,4.333333333,1.333333333,1.333333333,1.666666667,0.666666667,4,0.666666667,2,2,1.333333333,2,0.666666667,2,2,1.666666667,1,2.666666667,1,2.666666667,1,0.666666667,1,3.333333333,1.666666667,1.666666667,1.666666667,2.333333333,3.333333333,1
13,3,0,1.333333333,1.333333333,2,2.333333333,1,3.333333333,1.666666667,2,1.666666667,0.666666667,4,1,2.333333333,1,1.666666667,1.333333333,0.666666667,2,1,2,1.666666667,1.666666667,1,1.666666667,1.333333333,1.666666667,2,2.333333333,1.666666667,1.333333333,0.666666667,3,2.333333333,2.333333333
14,2.333333333,0,2,1.666666667,0,2.666666667,1,2.666666667,3,1.333333333,1,1,4.333333333,1,1.666666667,1,1,2,1,2.333333333,1.666666667,2.666666667,1.333333333,1.333333333,0.666666667,1.666666667,1,2.666666667,1.333333333,1.333333333,1.333333333,1.333333333,1,1,3.666666667,1.666666667
15,2.333333333,0,2.333333333,1.666666667,0.333333333,1.333333333,1.333333333,0.666666667,3,1,0.333333333,1,3,1.666666667,0.666666667,0.333333333,0.666666667,1.333333333,0.666666667,1.666666667,1,2.333333333,2.666666667,0.666666667,0.666666667,1.333333333,1,2.333333333,1,1.666666667,1,1.333333333,0.666666667,2.666666667,1.666666667,1.333333333
16,1.666666667,0,2.333333333,1.666666667,1.333333333,0.666666667,1,1,2.666666667,0.333333333,0.333333333,1,1.666666667,1.666666667,1.333333333,0.333333333,0,2,1.666666667,1,0.666666667,2.666666667,2.333333333,1.333333333,1,1,0.333333333,1.666666667,0.666666667,1.666666667,1.333333333,2,1.333333333,2.333333333,1.666666667,1
17,1.333333333,1,1.666666667,1.333333333,1.666666667,1,1,1.666666667,1.333333333,0.333333333,1,0.666666667,2,1.333333333,1.666666667,0.666666667,1,0.666666667,2,0,0,2,3.333333333,1.333333333,0.666666667,1.333333333,0.666666667,2.333333333,1,2.666666667,2,2,1,2.333333333,0.666666667,1.333333333
18,0.666666667,2,1,2,2.333333333,2,0.666666667,2,1.666666667,0.666666667,1,0.333333333,2.666666667,1,2.666666667,1,1.333333333,1.333333333,3,0.333333333,0,2,2,1.666666667,1,0.666666667,1.333333333,2.333333333,2,2.666666667,1.666666667,1.666666667,1.333333333,1.666666667,0.666666667,1.666666667
19,1,2.333333333,1,2,2.666666667,1.666666667,1,1.666666667,1,0.333333333,1.333333333,0.333333333,3,1.333333333,2.666666667,1.333333333,1.666666667,1,2.333333333,0.666666667,0.333333333,1.333333333,2,1,0.666666667,1,1,3.333333333,1.333333333,2.333333333,1.333333333,1.333333333,0.666666667,1.333333333,1,1.666666667
20,2.333333333,1.333333333,1,2.333333333,2.666666667,1.333333333,1.333333333,1,1.333333333,0.333333333,0.666666667,0.666666667,1.333333333,1,3,1,0.666666667,1.666666667,1.333333333,0.666666667,1,0.333333333,0.666666667,1,0.666666667,1.333333333,0.666666667,1.333333333,1.333333333,1,0.333333333,2.666666667,1.333333333,1.666666667,0.666666667,1.666666667
21,2,0.333333333,1,1.666666667,1.666666667,0.333333333,1.333333333,1,0.333333333,1,1,0.666666667,0.666666667,0.666666667,2,0.666666667,1.666666667,1.666666667,0.333333333,0.666666667,1,1,1.333333333,0.666666667,1,1.333333333,0.666666667,2.666666667,0.333333333,0,0.333333333,2,1,1.333333333,1.333333333,1.333333333
