,AZ Alkmaar scored,AZ Alkmaar received,Heerenveen scored,Heerenveen received,Utrecht scored,Utrecht received,VVV Venlo scored,VVV Venlo received,Willem II scored,Willem II received,Groningen scored,Groningen received,Ajax scored,Ajax received,Feyenoord scored,Feyenoord received,Sparta Rotterdam scored,Sparta Rotterdam received,Vitesse scored,Vitesse received,Twente scored,Twente received,PSV Eindhoven scored,PSV Eindhoven received,FC Emmen scored,FC Emmen received,Den Haag scored,Den Haag received,Zwolle scored,Zwolle received,Waalwijk scored,Waalwijk received,For Sittard scored,For Sittard received,Heracles scored,Heracles received
0,4,0,4,0,4,2,3,1,3,1,1,0,2,2,2,2,2,2,2,2,1,1,1,1,0,1,2,4,1,3,1,3,0,4,0,4
1,2,0,1,1,3,1,1,4,0,2,1,3,5,0,1,1,4,1,2,0,3,1,3,1,0,5,1,3,1,3,0,2,1,1,1,1
2,0,0,0,2,1,1,1,4,3,2,0,0,4,1,1,1,2,1,3,0,3,3,2,0,2,0,1,2,0,3,3,3,2,3,0,2
3,3,0,0,0,1,2,2,1,2,1,1,3,5,0,0,3,2,2,1,1,0,0,3,1,1,2,3,0,2,2,0,3,0,5,1,1
4,1,2,1,1,1,3,0,1,0,1,1,2,4,1,1,0,1,4,2,1,3,1,3,1,1,3,1,0,3,1,1,3,1,1,2,1
5,5,1,1,4,3,1,2,1,1,4,1,2,4,1,3,2,1,5,0,5,3,2,5,0,1,3,2,3,6,2,2,6,2,3,4,1
6,1,0,1,1,1,1,0,1,1,0,2,0,1,1,3,3,4,0,4,2,2,3,1,1,3,3,0,1,0,2,0,4,2,4,3,2
7,2,0,3,0,2,0,0,3,0,2,0,2,2,0,5,1,0,0,2,1,1,5,4,0,3,0,0,3,0,4,1,2,0,0,0,2
8,1,1,1,0,1,2,1,4,1,1,3,0,2,0,2,4,2,1,2,1,1,2,4,1,0,2,0,2,0,1,0,3,4,2,2,0
9,2,4,4,2,3,0,0,4,1,0,2,0,2,1,1,1,0,2,4,0,0,1,0,3,2,1,1,3,3,1,1,2,1,2,1,1
10,4,0,1,1,2,1,1,4,2,1,1,1,4,0,0,4,1,2,0,2,4,1,0,4,1,4,2,0,0,4,1,2,4,1,4,0
11,3,0,1,1,6,0,0,3,0,2,2,0,4,2,3,0,2,2,1,2,0,3,2,2,2,1,1,1,2,4,2,0,0,6,0,2
12,3,0,2,1,0,4,1,6,2,1,2,1,4,0,3,2,1,2,1,2,2,1,1,2,0,3,0,1,1,2,2,3,1,0,6,1
13,3,0,1,2,0,3,2,1,3,3,1,1,4,1,1,1,2,0,0,2,1,2,2,1,1,1,3,3,3,1,1,1,1,3,1,4
14,1,0,3,2,0,1,0,1,4,0,0,1,5,2,1,0,0,4,2,3,2,5,1,1,1,1,0,4,0,1,1,0,1,0,4,0
15,3,0,3,1,1,0,2,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,3,1,3,0,5,0,0
16,1,0,1,2,3,1,1,2,2,1,1,1,0,1,3,1,0,2,3,0,0,3,1,3,2,0,1,1,2,1,2,3,3,2,1,3
17,0,3,1,1,1,2,0,3,0,0,2,0,6,1,2,1,3,0,3,0,0,3,4,1,0,2,1,6,1,4,3,0,0,0,1,1
18,1,3,1,3,3,3,1,1,3,1,0,0,2,1,3,1,1,2,3,1,0,0,1,1,1,0,2,0,3,3,0,2,1,3,0,1
19,2,1,1,2,4,0,2,1,0,0,2,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,0,4,0,0,1,2,1,1,2,3
20,4,0,1,2,1,1,1,1,1,0,0,1,1,0,3,0,0,2,0,0,2,0,0,1,0,3,0,0,1,0,0,4,2,1,0,1
21,0,0,1,1,0,0,1,1,0,3,1,0,0,0,0,0,4,2,0,1,0,2,3,0,2,0,2,4,0,0,0,0,0,2,2,0
22,0,2,2,4,1,1,1,0,1,1,2,1,3,0,4,3,1,2,4,2,2,0,3,0,0,0,0,3,3,4,0,3,0,0,0,1
23,2,0,2,2,2,1,1,0,2,4,0,1,0,1,2,1,1,0,1,2,1,2,2,1,4,2,2,2,0,2,0,1,1,2,1,0
24,2,0,3,2,1,2,0,0,3,1,1,3,0,2,1,1,5,1,3,4,2,3,1,1,1,5,0,0,4,3,2,1,0,0,0,0
25,4,0,1,3,5,1,0,3,0,2,0,1,3,1,2,0,1,5,1,0,0,1,1,0,3,0,0,4,1,1,2,4,1,1,4,2
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
