,AZ Alkmaar scored,AZ Alkmaar received,Heerenveen scored,Heerenveen received,Utrecht scored,Utrecht received,VVV Venlo scored,VVV Venlo received,Willem II scored,Willem II received,Groningen scored,Groningen received,Ajax scored,Ajax received,Feyenoord scored,Feyenoord received,Sparta Rotterdam scored,Sparta Rotterdam received,Vitesse scored,Vitesse received,Twente scored,Twente received,PSV Eindhoven scored,PSV Eindhoven received,FC Emmen scored,FC Emmen received,Den Haag scored,Den Haag received,Zwolle scored,Zwolle received,Waalwijk scored,Waalwijk received,For Sittard scored,For Sittard received,Heracles scored,Heracles received
0,4,0,4,0,4,2,3,1,3,1,1,0,2,2,2,2,2,2,2,2,1,1,1,1,0,1,2,4,1,3,1,3,0,4,0,4
1,6,0,5,1,7,3,4,5,3,3,2,3,7,2,3,3,6,3,4,2,4,2,4,2,0,6,3,7,2,6,1,5,1,5,1,5
2,6,0,5,3,8,4,5,9,6,5,2,3,11,3,4,4,8,4,7,2,7,5,6,2,2,6,4,9,2,9,4,8,3,8,1,7
3,9,0,5,3,9,6,7,10,8,6,3,6,16,3,4,7,10,6,8,3,7,5,9,3,3,8,7,9,4,11,4,11,3,13,2,8
4,10,2,6,4,10,9,7,11,8,7,4,8,20,4,5,7,11,10,10,4,10,6,12,4,4,11,8,9,7,12,5,14,4,14,4,9
5,15,3,7,8,13,10,9,12,9,11,5,10,24,5,8,9,12,15,10,9,13,8,17,4,5,14,10,12,13,14,7,20,6,17,8,10
6,16,3,8,9,14,11,9,13,10,11,7,10,25,6,11,12,16,15,14,11,15,11,18,5,8,17,10,13,13,16,7,24,8,21,11,12
7,18,3,11,9,16,11,9,16,10,13,7,12,27,6,16,13,16,15,16,12,16,16,22,5,11,17,10,16,13,20,8,26,8,21,11,14
8,19,4,12,9,17,13,10,20,11,14,10,12,29,6,18,17,18,16,18,13,17,18,26,6,11,19,10,18,13,21,8,29,12,23,13,14
9,21,8,16,11,20,13,10,24,12,14,12,12,31,7,19,18,18,18,22,13,17,19,26,9,13,20,11,21,16,22,9,31,13,25,14,15
10,25,8,17,12,22,14,11,28,14,15,13,13,35,7,19,22,19,20,22,15,21,20,26,13,14,24,13,21,16,26,10,33,17,26,18,15
11,28,8,18,13,28,14,11,31,14,17,15,13,39,9,22,22,21,22,23,17,21,23,28,15,16,25,14,22,18,30,12,33,17,32,18,17
12,31,8,20,14,28,18,12,37,16,18,17,14,43,9,25,24,22,24,24,19,23,24,29,17,16,28,14,23,19,32,14,36,18,32,24,18
13,34,8,21,16,28,21,14,38,19,21,18,15,47,10,26,25,24,24,24,21,24,26,31,18,17,29,17,26,22,33,15,37,19,35,25,22
14,35,8,24,18,28,22,14,39,23,21,18,16,52,12,27,25,24,28,26,24,26,31,32,19,18,30,17,30,22,34,16,37,20,35,29,22
15,38,8,27,19,29,22,16,39,25,21,18,17,52,14,27,25,24,28,26,24,26,31,37,19,18,32,17,30,22,37,17,40,20,40,29,22
16,39,8,28,21,32,23,17,41,27,22,19,18,52,15,30,26,24,30,29,24,26,34,38,22,20,32,18,31,24,38,19,43,23,42,30,25
17,39,11,29,22,33,25,17,44,27,22,21,18,58,16,32,27,27,30,32,24,26,37,42,23,20,34,19,37,25,42,22,43,23,42,31,26
18,40,14,30,25,36,28,18,45,30,23,21,18,60,17,35,28,28,32,35,25,26,37,43,24,21,34,21,37,28,45,22,45,24,45,31,27
19,42,15,31,27,40,28,20,46,30,23,23,19,61,19,38,30,29,33,36,26,27,38,44,25,22,35,21,41,28,45,23,47,25,46,33,30
20,46,15,32,29,41,29,21,47,31,23,23,20,62,19,41,30,29,35,36,26,29,38,44,26,22,38,21,41,29,45,23,51,27,47,33,31
21,46,15,33,30,41,29,22,48,31,26,24,20,62,19,41,30,33,37,36,27,29,40,47,26,24,38,23,45,29,45,23,51,27,49,35,31
22,46,17,35,34,42,30,23,48,32,27,26,21,65,19,45,33,34,39,40,29,31,40,50,26,24,38,23,48,32,49,23,54,27,49,35,32
23,48,17,37,36,44,31,24,48,34,31,26,22,65,20,47,34,35,39,41,31,32,42,52,27,28,40,25,50,32,51,23,55,28,51,36,32
24,50,17,40,38,45,33,24,48,37,32,27,25,65,22,48,35,40,40,44,35,34,45,53,28,29,45,25,50,36,54,25,56,28,51,36,32
25,54,17,41,41,50,34,24,51,37,34,27,26,68,23,50,35,41,45,45,35,34,46,54,28,32,45,25,54,37,55,27,60,29,52,40,34
26,54,17,41,41,50,34,24,51,37,34,27,26,68,23,50,35,41,45,45,35,34,46,54,28,32,45,25,54,37,55,27,60,29,52,40,34
27,54,17,41,41,50,34,24,51,37,34,27,26,68,23,50,35,41,45,45,35,34,46,54,28,32,45,25,54,37,55,27,60,29,52,40,34
28,54,17,41,41,50,34,24,51,37,34,27,26,68,23,50,35,41,45,45,35,34,46,54,28,32,45,25,54,37,55,27,60,29,52,40,34
29,54,17,41,41,50,34,24,51,37,34,27,26,68,23,50,35,41,45,45,35,34,46,54,28,32,45,25,54,37,55,27,60,29,52,40,34
30,54,17,41,41,50,34,24,51,37,34,27,26,68,23,50,35,41,45,45,35,34,46,54,28,32,45,25,54,37,55,27,60,29,52,40,34
31,54,17,41,41,50,34,24,51,37,34,27,26,68,23,50,35,41,45,45,35,34,46,54,28,32,45,25,54,37,55,27,60,29,52,40,34
32,54,17,41,41,50,34,24,51,37,34,27,26,68,23,50,35,41,45,45,35,34,46,54,28,32,45,25,54,37,55,27,60,29,52,40,34
33,54,17,41,41,50,34,24,51,37,34,27,26,68,23,50,35,41,45,45,35,34,46,54,28,32,45,25,54,37,55,27,60,29,52,40,34
