,VVV Venlo scored,VVV Venlo received,PSV Eindhoven scored,PSV Eindhoven received,Twente scored,Twente received,Feyenoord scored,Feyenoord received,Heracles scored,Heracles received,Heerenveen scored,Heerenveen received,Ajax scored,Ajax received,Vitesse scored,Vitesse received,AZ Alkmaar scored,AZ Alkmaar received,Utrecht scored,Utrecht received,Waalwijk scored,Waalwijk received,Sparta Rotterdam scored,Sparta Rotterdam received,FC Emmen scored,FC Emmen received,Groningen scored,Groningen received,Den Haag scored,Den Haag received,For Sittard scored,For Sittard received,Zwolle scored,Zwolle received,Willem II scored,Willem II received
0,5,3,3,1,2,0,2,0,2,0,2,0,1,0,1,0,0,0,0,0,0,1,0,1,3,5,1,3,0,2,0,2,0,2,0,2
1,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
2,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
3,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
4,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
5,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
6,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
7,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
8,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
9,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
10,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
11,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
12,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
13,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
14,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
15,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
16,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
17,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
18,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
19,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
20,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
21,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
22,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
23,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
24,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
25,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
26,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
27,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
28,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
29,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
30,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
31,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
32,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
33,6,4,5,2,3,1,3,1,2,4,5,1,4,0,3,0,1,1,1,1,0,4,0,3,4,7,2,3,0,3,1,5,1,3,4,2
