,homeTeam,awayTeam,Home Team Rank,Away Team Rank,Home Team Scored Goals,Home Team Received Goals,Away Team Scored Goals,Away Team received Goals
0,Heracles,PSV Eindhoven,10,11,1.0,1.0,1.0,1.0
1,Vitesse,Heerenveen,9,8,2.0,2.0,2.0,2.0
2,Willem II,Waalwijk,14,4,1.0,2.0,2.0,1.0
3,Feyenoord,NAC Breda,2,17,2.0,0.0,0.0,2.0
4,Groningen,Roosendaal,5,15,1.0,0.0,0.0,1.0
5,Nijmegen,Utrecht,13,12,0.0,0.0,0.0,0.0
6,NAC Breda,Willem II,17,14,0.0,2.0,1.0,2.0
7,Den Haag,Heracles,6,10,2.0,2.0,1.0,1.0
8,Roosendaal,Ajax,17,4,0.0,1.5,2.0,1.0
9,Twente,Nijmegen,16,8,0.0,1.5,0.5,0.0
10,PSV Eindhoven,Vitesse,7,13,1.5,1.0,1.5,2.0
11,Utrecht,AZ Alkmaar,14,1,0.5,1.0,2.5,0.5
12,Waalwijk,Groningen,3,10,2.0,1.0,1.0,1.0
13,Den Haag,Heerenveen,12,5,1.5,2.0,3.5,3.0
14,Nijmegen,Waalwijk,8,3,0.5,0.0,2.0,1.0
15,Vitesse,AZ Alkmaar,18,1,1.0,3.0,3.333333333333333,0.3333333333333333
16,Ajax,Feyenoord,6,2,1.6666666666666667,1.3333333333333333,2.333333333333333,0.6666666666666666
17,Heracles,Groningen,5,10,1.6666666666666667,1.0,1.0,1.3333333333333333
18,Roosendaal,Willem II,17,15,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333
19,Utrecht,Twente,16,11,0.6666666666666666,1.6666666666666667,1.0,1.3333333333333333
20,AZ Alkmaar,Roosendaal,1,17,3.333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333
21,Heerenveen,Heracles,9,5,2.0,2.333333333333333,2.0,1.0
22,PSV Eindhoven,Utrecht,4,16,2.0,0.3333333333333333,0.6666666666666666,2.0
23,Willem II,Ajax,17,6,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.6666666666666666
24,Feyenoord,Nijmegen,2,11,2.6666666666666665,0.6666666666666666,0.6666666666666666,2.0
25,NAC Breda,Den Haag,7,10,1.6666666666666667,0.6666666666666666,1.0,2.0
26,Twente,Vitesse,14,12,1.0,1.0,0.6666666666666666,2.333333333333333
27,Den Haag,Twente,10,14,1.0,2.0,1.0,1.0
28,Heracles,Waalwijk,5,3,2.0,1.0,2.333333333333333,0.6666666666666666
29,Nijmegen,NAC Breda,11,7,0.6666666666666666,2.333333333333333,1.6666666666666667,1.0
30,AZ Alkmaar,Ajax,1,6,5.333333333333333,0.6666666666666666,1.6666666666666667,2.0
31,Feyenoord,Heerenveen,2,15,3.333333333333333,0.6666666666666666,0.6666666666666666,2.6666666666666665
32,Groningen,PSV Eindhoven,9,4,0.6666666666666666,1.0,1.3333333333333333,0.3333333333333333
33,Utrecht,Vitesse,14,16,0.6666666666666666,1.3333333333333333,0.3333333333333333,2.0
34,Ajax,Den Haag,6,10,1.6666666666666667,2.0,0.6666666666666666,1.3333333333333333
35,Heerenveen,Nijmegen,15,11,0.6666666666666666,2.6666666666666665,0.6666666666666666,2.333333333333333
36,PSV Eindhoven,Roosendaal,4,18,1.0,0.3333333333333333,0.3333333333333333,3.333333333333333
37,Vitesse,Groningen,12,13,1.0,0.3333333333333333,0.3333333333333333,1.0
38,Waalwijk,Utrecht,3,10,2.0,1.0,1.3333333333333333,1.0
39,Willem II,Den Haag,9,14,1.0,0.6666666666666666,0.3333333333333333,1.6666666666666667
40,NAC Breda,AZ Alkmaar,6,2,2.333333333333333,1.0,4.0,1.3333333333333333
41,Twente,Feyenoord,16,1,0.3333333333333333,1.3333333333333333,3.6666666666666665,0.6666666666666666
42,Roosendaal,NAC Breda,18,6,0.3333333333333333,3.333333333333333,2.333333333333333,1.0
43,Den Haag,Waalwijk,11,4,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.6666666666666667
44,AZ Alkmaar,Nijmegen,1,17,2.6666666666666665,2.0,1.3333333333333333,2.0
45,Groningen,Willem II,10,13,1.0,0.6666666666666666,1.0,0.6666666666666666
46,Heerenveen,PSV Eindhoven,14,3,1.6666666666666667,3.0,1.6666666666666667,1.0
47,Heracles,Twente,9,12,0.0,2.6666666666666665,1.6666666666666667,1.0
48,Utrecht,Feyenoord,7,2,2.333333333333333,1.0,3.0,1.6666666666666667
49,Ajax,Heracles,5,9,2.6666666666666665,2.0,0.0,2.6666666666666665
50,NAC Breda,Heerenveen,6,14,1.6666666666666667,1.0,1.6666666666666667,3.0
51,PSV Eindhoven,AZ Alkmaar,3,1,1.6666666666666667,1.0,2.6666666666666665,2.0
52,Twente,Waalwijk,12,4,1.6666666666666667,1.0,1.6666666666666667,1.6666666666666667
53,Feyenoord,Groningen,2,10,3.0,1.6666666666666667,1.0,0.6666666666666666
54,Nijmegen,Roosendaal,17,18,1.3333333333333333,2.0,0.6666666666666666,1.6666666666666667
55,Vitesse,Den Haag,15,11,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666
56,Heracles,Nijmegen,9,17,0.0,2.6666666666666665,1.3333333333333333,2.0
57,NAC Breda,Twente,6,9,1.3333333333333333,1.6666666666666667,2.333333333333333,1.0
58,Roosendaal,Vitesse,18,12,0.6666666666666666,2.333333333333333,2.333333333333333,1.3333333333333333
59,AZ Alkmaar,Willem II,3,15,1.3333333333333333,2.333333333333333,0.3333333333333333,0.6666666666666666
60,Groningen,Den Haag,13,17,1.0,2.0,1.0,1.6666666666666667
61,Heerenveen,Utrecht,11,10,2.333333333333333,1.3333333333333333,2.333333333333333,1.6666666666666667
62,PSV Eindhoven,Ajax,2,5,2.6666666666666665,0.6666666666666666,2.0,0.6666666666666666
63,Waalwijk,Feyenoord,4,1,1.0,2.333333333333333,2.6666666666666665,1.6666666666666667
64,Ajax,Heerenveen,5,11,2.0,0.6666666666666666,2.333333333333333,1.3333333333333333
65,Den Haag,AZ Alkmaar,16,2,1.3333333333333333,2.333333333333333,2.6666666666666665,2.0
66,Twente,PSV Eindhoven,10,1,2.333333333333333,0.3333333333333333,2.333333333333333,0.6666666666666666
67,Vitesse,Heracles,7,15,2.6666666666666665,1.3333333333333333,0.0,2.0
68,Waalwijk,NAC Breda,4,6,1.0,1.6666666666666667,1.0,1.6666666666666667
69,Utrecht,Roosendaal,11,18,1.6666666666666667,1.3333333333333333,0.6666666666666666,2.6666666666666665
