,AZ Alkmaar scored,AZ Alkmaar received,Feyenoord scored,Feyenoord received,Roda JC scored,Roda JC received,Waalwijk scored,Waalwijk received,Groningen scored,Groningen received,Den Haag scored,Den Haag received,Ajax scored,Ajax received,Heerenveen scored,Heerenveen received,Vitesse scored,Vitesse received,Heracles scored,Heracles received,PSV Eindhoven scored,PSV Eindhoven received,Utrecht scored,Utrecht received,Nijmegen scored,Nijmegen received,Willem II scored,Willem II received,Roosendaal scored,Roosendaal received,Twente scored,Twente received,NAC Breda scored,NAC Breda received,Sparta scored,Sparta received
0,3,0,2,0,2,0,2,1,1,0,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,1,2,0,1,0,2,0,2,0,3
1,2,1,3,1,4,5,2,1,1,2,1,2,2,0,5,4,1,2,2,1,2,1,1,2,1,0,0,1,0,2,0,1,1,0,1,3
2,5,0,2,1,0,3,3,1,1,2,1,0,1,2,0,1,0,5,2,1,3,0,1,3,1,3,1,1,1,1,3,1,0,1,1,0
3,7,0,3,0,0,2,2,0,0,1,1,4,2,0,1,2,1,0,2,1,1,0,0,1,0,3,0,2,0,7,0,1,4,1,1,0
4,4,2,5,1,0,2,2,0,1,0,0,0,2,4,1,5,0,1,0,2,0,1,1,0,1,1,2,0,1,1,0,0,1,1,1,1
5,1,2,3,1,1,4,2,3,0,2,0,1,4,1,2,1,2,0,0,2,2,0,3,2,1,2,1,0,0,2,1,3,2,1,2,0
6,3,2,1,3,3,2,1,2,2,0,2,1,2,1,2,3,2,3,0,4,3,2,3,1,2,3,0,2,1,2,4,0,2,1,1,2
7,0,3,4,1,2,1,0,2,1,4,1,3,0,0,3,0,3,1,0,0,3,0,1,2,3,1,0,0,1,3,2,0,0,3,0,0
8,5,1,1,2,3,2,2,1,3,1,1,3,0,1,1,1,3,0,0,2,1,0,1,1,2,0,1,5,0,3,1,1,1,1,2,3
9,2,0,3,1,0,1,4,1,1,0,0,2,0,0,0,0,5,1,1,5,1,0,4,1,0,0,1,3,1,4,0,1,1,4,0,0
