,AZ Alkmaar scored,AZ Alkmaar received,Feyenoord scored,Feyenoord received,Roda JC scored,Roda JC received,Waalwijk scored,Waalwijk received,Groningen scored,Groningen received,Den Haag scored,Den Haag received,Ajax scored,Ajax received,Heerenveen scored,Heerenveen received,Vitesse scored,Vitesse received,Heracles scored,Heracles received,PSV Eindhoven scored,PSV Eindhoven received,Utrecht scored,Utrecht received,Nijmegen scored,Nijmegen received,Willem II scored,Willem II received,Roosendaal scored,Roosendaal received,Twente scored,Twente received,NAC Breda scored,NAC Breda received,Sparta scored,Sparta received
0,3,0,2,0,2,0,2,1,1,0,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,1,2,0,1,0,2,0,2,0,3
1,5,1,5,1,6,5,4,2,2,2,3,4,4,2,7,6,3,4,3,2,3,2,1,2,1,0,1,3,0,3,0,3,1,2,1,6
2,10,1,7,2,6,8,7,3,3,4,4,4,5,4,7,7,3,9,5,3,6,2,2,5,2,3,2,4,1,4,3,4,1,3,2,6
3,17,1,10,2,6,10,9,3,3,5,5,8,7,4,8,9,4,9,7,4,7,2,2,6,2,6,2,6,1,11,3,5,5,4,3,6
4,21,3,15,3,6,12,11,3,4,5,5,8,9,8,9,14,4,10,7,6,7,3,3,6,3,7,4,6,2,12,3,5,6,5,4,7
5,22,5,18,4,7,16,13,6,4,7,5,9,13,9,11,15,6,10,7,8,9,3,6,8,4,9,5,6,2,14,4,8,8,6,6,7
6,25,7,19,7,10,18,14,8,6,7,7,10,15,10,13,18,8,13,7,12,12,5,9,9,6,12,5,8,3,16,8,8,10,7,7,9
7,25,10,23,8,12,19,14,10,7,11,8,13,15,10,16,18,11,14,7,12,15,5,10,11,9,13,5,8,4,19,10,8,10,10,7,9
8,30,11,24,10,15,21,16,11,10,12,9,16,15,11,17,19,14,14,7,14,16,5,11,12,11,13,6,13,4,22,11,9,11,11,9,12
9,32,11,27,11,15,22,20,12,11,12,9,18,15,11,17,19,19,15,8,19,17,5,15,13,11,13,7,16,5,26,11,10,12,15,9,12
10,34,13,27,11,18,25,21,13,11,16,10,19,15,12,21,19,19,15,10,21,20,5,16,14,12,13,8,19,6,27,14,11,15,18,9,15
11,34,13,30,13,20,28,25,17,11,16,10,20,17,12,23,20,23,18,13,21,24,9,17,14,13,13,11,23,6,30,14,13,15,19,10,17
12,36,13,37,14,20,30,27,21,13,18,10,23,17,13,25,20,27,20,14,28,27,9,18,14,15,13,11,25,6,32,15,13,17,21,10,18
13,38,14,39,16,21,30,28,25,14,18,13,25,21,14,26,22,27,21,14,29,30,9,19,14,16,13,11,26,8,34,15,14,17,24,12,21
14,41,15,40,16,21,31,31,27,16,18,16,25,23,14,29,25,27,23,15,31,30,10,19,16,17,13,14,29,8,37,16,17,19,25,14,24
15,44,15,41,18,23,31,31,30,19,18,18,26,25,14,32,26,27,24,16,32,34,11,20,17,17,16,15,33,8,39,17,20,19,27,15,24
