,AZ Alkmaar scored,AZ Alkmaar received,Ajax scored,Ajax received,Groningen scored,Groningen received,Heracles scored,Heracles received,PSV Eindhoven scored,PSV Eindhoven received,Heerenveen scored,Heerenveen received,Vitesse scored,Vitesse received,Willem II scored,Willem II received,Roda scored,Roda received,Den Haag scored,Den Haag received,Utrecht scored,Utrecht received,Sparta Rotterdam scored,Sparta Rotterdam received,Excelsior scored,Excelsior received,Nijmegen scored,Nijmegen received,Twente scored,Twente received,Feyenoord scored,Feyenoord received,Waalwijk scored,Waalwijk received,NAC Breda scored,NAC Breda received
0,8,1,5,0,3,0,3,0,3,1,3,2,2,1,2,1,1,0,2,3,1,2,1,2,0,1,1,3,0,3,0,3,0,5,1,8
1,11,2,7,1,4,1,3,0,3,2,8,2,3,4,2,6,2,0,2,4,3,4,3,4,1,2,2,4,1,3,0,3,1,6,2,10
2,13,2,10,1,6,2,4,2,6,3,9,5,3,7,3,9,4,2,2,6,8,4,4,8,4,3,2,6,3,5,4,4,1,11,4,10
3,15,4,10,3,7,2,7,2,8,4,12,5,3,8,5,12,6,2,2,7,8,7,4,9,7,5,2,9,5,7,5,6,2,11,5,10
4,17,4,12,3,8,3,7,6,10,4,12,6,7,8,5,12,6,4,2,9,9,7,4,11,7,6,2,11,7,7,6,6,3,12,5,10
5,19,6,15,5,12,6,7,8,10,4,12,6,10,12,5,13,7,4,4,11,11,10,5,14,10,7,4,11,11,10,9,8,6,16,7,13
6,21,6,18,7,14,9,8,8,14,5,12,7,11,12,5,14,8,8,5,13,12,10,5,16,10,8,6,11,13,11,11,10,8,18,7,15
7,22,9,22,7,16,13,8,10,17,6,16,9,11,13,7,14,10,9,5,15,14,10,6,18,11,12,7,11,17,12,11,14,8,19,8,15
8,26,9,24,7,18,14,9,11,24,6,19,10,12,16,7,18,10,9,5,17,15,12,6,25,12,14,7,11,18,14,13,15,9,20,10,16
9,31,10,26,7,18,14,9,13,27,6,19,12,14,18,7,19,11,11,7,17,16,17,7,25,14,16,7,15,22,14,15,16,9,23,10,16
10,33,10,29,7,20,15,9,16,30,6,21,12,15,20,9,20,12,13,9,19,16,17,7,27,16,18,8,17,22,14,17,17,9,25,10,19
11,38,10,29,8,21,22,9,21,31,6,22,13,19,22,12,25,13,14,10,21,18,21,9,28,17,19,9,18,29,15,22,20,10,26,11,20
12,40,13,30,9,25,23,11,21,35,6,24,13,22,22,13,29,13,16,10,24,20,21,11,29,17,23,10,20,30,16,25,22,10,28,11,22
13,43,14,30,12,27,28,12,27,40,6,25,16,22,24,16,30,16,18,15,26,20,26,14,29,23,24,14,21,32,16,26,26,11,31,13,25
14,48,14,36,12,27,31,13,28,41,6,28,20,22,25,16,36,17,19,15,28,23,26,15,31,23,29,16,21,32,16,30,29,13,32,13,25
15,50,16,38,14,27,33,15,31,43,6,29,20,25,26,17,39,17,20,16,31,23,28,18,33,24,31,18,21,35,17,33,30,14,35,15,26
16,52,16,41,15,27,35,15,34,46,6,30,25,29,28,18,41,19,24,18,32,25,29,18,36,25,34,19,21,40,18,34,32,14,36,18,26
17,52,16,43,19,28,35,15,35,50,6,32,25,33,30,18,45,21,24,20,34,26,30,20,39,25,36,19,21,40,20,37,34,15,37,20,28
18,52,19,45,19,28,36,15,35,51,7,34,25,34,32,20,46,21,26,21,35,26,30,21,39,26,38,19,23,43,20,38,35,16,38,22,29
19,54,21,47,21,30,36,17,37,53,8,34,25,36,34,20,48,23,28,22,37,26,30,24,39,27,41,21,25,43,23,41,36,16,40,24,29
20,57,22,49,21,32,39,17,37,56,9,35,28,39,36,21,50,25,29,23,40,26,32,26,40,28,43,21,25,45,24,42,40,17,42,28,30
21,60,22,52,23,34,42,18,42,56,11,40,29,39,36,21,50,27,29,24,43,27,32,26,43,28,44,23,26,48,25,45,41,18,45,29,32
22,63,24,56,24,35,43,20,44,58,14,41,30,40,37,23,52,29,31,25,44,28,33,28,45,29,46,24,27,50,26,46,45,19,47,31,33
23,65,24,58,25,37,43,20,46,59,15,41,30,40,37,23,54,30,31,26,46,29,33,29,46,29,48,24,28,53,26,46,48,21,47,31,34
24,66,25,60,27,38,44,20,48,61,15,42,32,40,37,25,55,30,31,27,48,29,35,30,49,31,50,25,28,55,27,48,48,21,48,34,35
25,67,26,61,28,38,45,20,48,62,15,42,33,41,40,25,55,31,31,30,51,32,35,30,49,31,52,25,31,55,27,51,51,24,49,36,35
26,71,26,61,29,41,46,23,49,64,15,43,33,43,43,25,55,32,32,31,54,32,39,30,49,34,54,25,34,58,27,52,52,24,51,37,38
27,71,26,65,30,41,49,24,50,64,15,44,33,45,45,28,55,32,32,33,56,32,39,30,53,34,54,29,34,59,31,52,52,24,52,38,39
28,71,26,70,31,42,50,24,50,65,20,48,35,45,47,28,55,34,35,35,60,34,39,34,55,35,54,29,35,60,32,52,52,27,54,40,43
29,73,26,73,31,43,50,24,53,66,21,50,37,45,48,29,55,34,36,36,63,34,42,36,57,38,55,29,36,63,32,53,52,27,56,41,44
30,77,27,75,33,47,50,25,54,67,23,51,38,48,48,29,58,36,36,37,64,37,42,36,60,38,57,31,37,64,33,53,56,29,58,42,48
