,Ajax scored,Ajax received,AZ Alkmaar scored,AZ Alkmaar received,Groningen scored,Groningen received,Feyenoord scored,Feyenoord received,Twente scored,Twente received,PSV Eindhoven scored,PSV Eindhoven received,Vitesse scored,Vitesse received,Nijmegen scored,Nijmegen received,Roda JC scored,Roda JC received,Heerenveen scored,Heerenveen received,Willem II scored,Willem II received,Sparta scored,Sparta received,Heracles scored,Heracles received,Excelsior scored,Excelsior received,Utrecht scored,Utrecht received,NAC Breda scored,NAC Breda received,VVV Venlo scored,VVV Venlo received,Graafschap scored,Graafschap received
0,8,1,4,0,3,0,3,0,2,0,2,0,2,1,1,1,1,1,0,0,0,0,1,2,0,2,0,2,0,3,0,3,0,4,1,8
1,12,2,4,1,3,2,8,0,4,2,7,0,3,1,1,6,3,2,1,4,2,2,3,4,1,4,1,5,2,5,0,8,3,5,3,8
2,14,4,7,1,5,4,10,0,4,2,7,0,4,1,1,7,8,5,4,7,2,4,6,7,2,8,1,8,4,7,4,9,6,10,5,10
3,15,4,9,3,5,6,13,1,7,3,8,0,4,2,1,8,9,8,9,9,3,7,8,9,2,9,3,13,6,7,5,9,8,13,8,12
4,18,6,11,6,8,7,13,5,10,3,12,0,4,4,1,11,9,9,11,12,4,7,9,10,3,10,4,16,9,9,8,10,9,16,10,12
5,24,7,12,8,9,7,15,5,10,3,13,1,8,6,2,11,12,12,11,14,4,8,9,11,5,11,7,19,11,13,9,11,10,22,10,12
6,26,9,14,10,11,9,16,5,10,4,16,1,8,7,2,13,13,12,20,14,4,11,11,13,5,20,9,19,13,14,10,11,11,24,10,13
7,26,9,14,11,12,9,17,5,10,5,19,2,10,9,2,13,14,13,21,14,4,11,11,17,7,22,9,20,14,15,10,11,12,27,14,13
8,27,9,17,13,13,14,17,7,12,5,23,3,11,9,7,14,15,13,25,14,4,12,12,21,8,23,10,21,14,16,12,14,12,31,14,14
9,31,11,21,13,13,14,19,7,15,5,24,5,11,9,7,18,17,17,27,15,5,14,15,25,8,26,14,24,14,17,13,14,14,32,14,16
10,33,13,22,14,14,19,21,9,16,6,25,6,11,10,10,18,22,18,28,15,6,18,15,27,8,29,15,25,18,18,14,15,16,32,15,17
11,37,14,24,14,17,21,23,12,17,7,29,7,12,14,12,21,22,18,30,18,6,20,16,28,8,29,16,29,21,20,14,15,16,32,18,19
12,38,17,25,16,18,21,29,12,19,8,30,7,14,17,12,22,25,20,31,18,12,20,17,35,8,35,16,35,28,21,17,16,16,33,18,20
13,41,19,27,17,20,25,29,12,21,10,32,11,16,19,12,23,29,22,35,20,14,23,18,35,10,35,16,38,29,23,20,16,16,33,18,22
14,41,21,29,19,21,25,31,14,22,11,34,11,19,19,13,24,31,25,40,21,14,24,21,37,11,38,16,41,32,24,21,21,17,34,19,23
15,42,23,30,20,23,26,33,14,24,12,38,12,19,21,13,26,32,26,41,23,15,26,21,38,12,40,18,42,33,28,22,21,19,34,21,24
16,44,25,32,21,25,27,35,14,26,14,39,14,21,22,15,28,33,26,41,24,15,27,21,40,13,40,19,46,37,29,23,23,21,36,22,26
17,46,27,33,21,28,28,36,15,28,14,41,14,23,24,15,31,35,27,42,25,18,27,22,43,13,41,20,48,39,31,23,25,23,38,22,28
18,52,28,34,27,31,30,36,16,30,16,42,14,26,24,17,33,36,28,44,27,19,28,22,45,15,41,22,51,41,33,23,25,23,38,22,31
19,53,29,34,31,32,33,37,18,33,17,43,15,28,24,18,34,37,31,48,27,19,29,28,46,15,43,24,52,44,34,24,25,24,39,23,37
20,55,29,35,33,37,34,40,19,34,20,46,16,28,28,19,39,38,33,53,28,23,29,29,49,17,43,24,54,44,36,26,26,25,44,25,38
21,57,31,35,36,38,35,41,20,35,22,48,17,30,30,21,39,38,35,56,28,26,29,31,50,22,43,25,56,44,38,28,26,25,49,25,41
22,60,31,35,38,39,36,41,23,35,23,50,17,30,37,23,39,39,36,63,28,26,31,33,50,22,45,26,57,46,38,29,26,25,51,26,42
23,61,33,37,43,40,38,44,24,37,24,51,18,32,38,28,41,41,37,64,29,27,32,33,51,23,47,27,57,46,39,30,26,26,52,27,45
24,67,35,38,45,42,39,45,24,38,27,52,18,32,39,28,42,44,38,66,31,27,33,35,57,25,49,28,57,47,43,31,26,30,53,27,46
25,70,37,38,45,47,41,48,27,38,27,56,19,33,40,31,44,45,39,68,34,27,33,37,58,28,52,28,57,48,45,33,29,32,58,28,50
26,74,37,39,46,48,43,49,30,39,27,57,22,34,43,34,45,46,40,68,35,29,34,37,61,30,53,28,61,51,46,36,29,35,59,29,52
27,74,37,39,47,50,44,50,30,41,27,57,22,36,44,37,46,47,44,71,35,30,36,41,62,32,54,29,63,52,48,36,32,35,61,30,55
28,78,38,41,49,50,45,54,31,45,30,58,23,39,48,41,48,48,45,72,35,31,40,43,66,32,54,29,65,54,50,38,32,36,65,30,55
29,79,40,41,49,50,48,56,34,47,31,61,23,42,51,43,49,51,49,76,38,33,41,46,68,33,56,29,67,56,50,41,35,37,67,30,55
30,83,42,43,50,51,49,57,37,48,31,61,23,43,53,43,49,51,49,78,42,35,43,48,70,33,56,31,68,56,51,44,36,38,69,31,56
31,87,43,46,52,52,51,60,38,49,31,63,23,46,53,45,49,51,51,81,44,37,46,48,73,33,58,31,69,57,54,46,37,40,72,32,60
32,89,44,47,53,53,53,61,41,50,32,64,24,46,54,46,49,55,52,83,48,40,47,52,75,33,59,32,70,58,55,47,37,41,76,33,61
33,94,45,48,53,53,54,64,41,52,32,65,24,46,55,49,50,55,55,88,48,40,49,52,76,34,64,32,75,59,55,48,40,44,76,33,64
