,PSV Eindhoven scored,PSV Eindhoven received,Groningen scored,Groningen received,Den Haag scored,Den Haag received,Heracles scored,Heracles received,Nijmegen scored,Nijmegen received,Heerenveen scored,Heerenveen received,NAC Breda scored,NAC Breda received,Willem II scored,Willem II received,Twente scored,Twente received,Roda scored,Roda received,Volendam scored,Volendam received,Ajax scored,Ajax received,AZ Alkmaar scored,AZ Alkmaar received,Feyenoord scored,Feyenoord received,Graafschap scored,Graafschap received,Sparta Rotterdam scored,Sparta Rotterdam received,Utrecht scored,Utrecht received,Vitesse scored,Vitesse received
0,5,1,4,0,5,2,3,1,2,0,3,2,2,1,2,1,1,1,1,1,2,3,1,2,1,2,1,3,0,2,2,5,1,5,0,4
1,1,0,2,0,3,0,2,2,1,1,2,2,1,3,3,1,1,1,0,1,0,5,1,0,0,3,5,0,1,0,0,1,0,2,0,1
2,0,1,1,1,0,2,1,1,1,2,2,1,3,0,0,1,2,1,0,3,1,2,2,2,1,0,2,2,2,0,1,1,1,0,1,1
3,1,0,3,1,0,0,1,1,1,1,2,4,4,2,2,5,3,0,2,2,0,1,3,0,5,2,1,3,0,3,2,2,0,0,0,3
4,3,0,3,0,0,3,2,0,2,0,5,2,4,2,2,2,0,3,0,2,2,4,2,5,6,0,0,2,0,3,0,6,3,0,2,2
5,1,2,0,1,2,0,0,2,3,1,2,2,2,1,1,0,2,0,2,2,0,2,1,0,2,0,0,1,0,2,1,0,0,1,1,3
6,2,3,3,0,1,3,3,1,0,2,2,2,0,0,1,1,2,0,3,2,0,3,2,0,3,0,2,2,1,1,0,3,0,0,0,2
7,2,0,2,2,0,2,1,3,2,2,0,2,0,1,2,2,1,0,0,2,2,2,3,1,2,0,1,2,0,2,2,1,2,0,2,0
8,2,0,0,1,1,3,0,2,2,0,3,3,1,0,0,2,0,2,0,4,3,1,2,0,3,3,4,0,1,3,0,2,2,0,3,1
9,0,1,5,0,0,1,0,0,1,0,1,0,2,0,2,1,0,3,1,2,0,5,5,2,3,0,5,2,0,2,2,5,2,5,0,0
10,1,4,3,0,0,1,0,3,0,3,3,2,3,0,1,0,1,1,3,0,0,4,4,1,1,1,1,1,0,3,4,0,2,3,1,1
11,4,0,0,3,1,3,0,4,1,1,0,6,1,1,3,0,6,0,1,3,3,1,0,2,2,0,3,1,3,3,3,3,4,0,0,4
12,2,2,0,2,1,2,1,0,6,1,2,2,0,4,0,1,2,1,1,1,1,6,1,1,2,0,1,1,1,1,4,0,1,1,1,1
13,4,2,2,4,4,0,0,2,1,2,3,1,0,4,1,3,6,2,3,0,1,2,2,1,2,0,1,3,3,1,2,6,2,1,0,3
14,1,1,1,4,1,1,2,1,2,1,2,0,0,3,1,2,4,1,1,1,0,0,3,0,1,0,0,1,0,2,1,2,0,0,1,1
15,1,0,5,2,0,0,1,3,0,0,1,4,2,0,0,2,2,0,2,5,3,1,6,0,2,0,0,1,0,6,4,1,0,2,0,2
