,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,PSV Eindhoven,Groningen,Den Haag,Heracles,Nijmegen,Heerenveen,NAC Breda,Willem II,Twente,Roda JC,Volendam,Ajax,AZ Alkmaar,Feyenoord,Graafschap,Sparta,Utrecht,Vitesse
1,Den Haag,Groningen,PSV Eindhoven,Willem II,Heracles,Nijmegen,Heerenveen,Feyenoord,Ajax,NAC Breda,Graafschap,Twente,Roda JC,Sparta,AZ Alkmaar,Vitesse,Volendam,Utrecht
2,Groningen,Heerenveen,Den Haag,PSV Eindhoven,NAC Breda,Willem II,Graafschap,Heracles,Twente,Feyenoord,Nijmegen,Ajax,AZ Alkmaar,Utrecht,Sparta,Roda JC,Vitesse,Volendam
3,Groningen,PSV Eindhoven,NAC Breda,Twente,Den Haag,Ajax,Heerenveen,Heracles,AZ Alkmaar,Willem II,Graafschap,Nijmegen,Feyenoord,Utrecht,Sparta,Roda JC,Vitesse,Volendam
4,Groningen,PSV Eindhoven,NAC Breda,Heerenveen,AZ Alkmaar,Heracles,Nijmegen,Twente,Den Haag,Ajax,Willem II,Utrecht,Graafschap,Feyenoord,Roda JC,Vitesse,Sparta,Volendam
5,NAC Breda,Groningen,AZ Alkmaar,PSV Eindhoven,Nijmegen,Heerenveen,Twente,Den Haag,Ajax,Willem II,Heracles,Utrecht,Graafschap,Sparta,Feyenoord,Roda JC,Vitesse,Volendam
6,Groningen,NAC Breda,AZ Alkmaar,Twente,Ajax,PSV Eindhoven,Heracles,Heerenveen,Nijmegen,Willem II,Den Haag,Utrecht,Graafschap,Roda JC,Feyenoord,Sparta,Vitesse,Volendam
7,AZ Alkmaar,Groningen,Twente,NAC Breda,Ajax,PSV Eindhoven,Nijmegen,Heracles,Heerenveen,Willem II,Utrecht,Den Haag,Sparta,Graafschap,Roda JC,Feyenoord,Vitesse,Volendam
8,AZ Alkmaar,Ajax,NAC Breda,PSV Eindhoven,Groningen,Twente,Nijmegen,Utrecht,Heerenveen,Heracles,Willem II,Den Haag,Feyenoord,Vitesse,Sparta,Graafschap,Roda JC,Volendam
9,AZ Alkmaar,Ajax,NAC Breda,Groningen,PSV Eindhoven,Nijmegen,Twente,Heerenveen,Willem II,Utrecht,Heracles,Feyenoord,Den Haag,Vitesse,Sparta,Graafschap,Roda JC,Volendam
10,Ajax,NAC Breda,Groningen,AZ Alkmaar,Heerenveen,PSV Eindhoven,Nijmegen,Twente,Willem II,Utrecht,Heracles,Feyenoord,Sparta,Den Haag,Vitesse,Roda JC,Graafschap,Volendam
11,AZ Alkmaar,NAC Breda,Ajax,Groningen,PSV Eindhoven,Twente,Willem II,Nijmegen,Heerenveen,Utrecht,Feyenoord,Heracles,Sparta,Den Haag,Vitesse,Roda JC,Graafschap,Volendam
12,AZ Alkmaar,Ajax,NAC Breda,Twente,Groningen,PSV Eindhoven,Nijmegen,Willem II,Heerenveen,Utrecht,Feyenoord,Heracles,Sparta,Vitesse,Den Haag,Roda JC,Graafschap,Volendam
13,AZ Alkmaar,Ajax,Twente,NAC Breda,PSV Eindhoven,Groningen,Heerenveen,Nijmegen,Utrecht,Willem II,Feyenoord,Heracles,Sparta,Den Haag,Roda JC,Graafschap,Vitesse,Volendam
14,AZ Alkmaar,Ajax,Twente,PSV Eindhoven,Heerenveen,NAC Breda,Nijmegen,Groningen,Utrecht,Willem II,Heracles,Feyenoord,Sparta,Den Haag,Roda JC,Vitesse,Graafschap,Volendam
15,AZ Alkmaar,Ajax,Twente,PSV Eindhoven,NAC Breda,Groningen,Nijmegen,Heerenveen,Utrecht,Willem II,Heracles,Sparta,Feyenoord,Den Haag,Roda JC,Vitesse,Graafschap,Volendam
16,AZ Alkmaar,Ajax,Twente,PSV Eindhoven,NAC Breda,Heerenveen,Groningen,Nijmegen,Utrecht,Willem II,Heracles,Feyenoord,Sparta,Den Haag,Vitesse,Roda JC,Graafschap,Volendam
17,AZ Alkmaar,Ajax,Twente,Heerenveen,PSV Eindhoven,NAC Breda,Groningen,Nijmegen,Utrecht,Willem II,Heracles,Feyenoord,Sparta,Den Haag,Graafschap,Roda JC,Vitesse,Volendam
18,AZ Alkmaar,Ajax,Twente,Heerenveen,PSV Eindhoven,NAC Breda,Groningen,Nijmegen,Utrecht,Willem II,Heracles,Feyenoord,Sparta,Den Haag,Vitesse,Graafschap,Roda JC,Volendam
19,AZ Alkmaar,Ajax,Twente,Heerenveen,PSV Eindhoven,Groningen,NAC Breda,Nijmegen,Utrecht,Willem II,Heracles,Feyenoord,Sparta,Den Haag,Vitesse,Roda JC,Graafschap,Volendam
