,PSV Eindhoven scored,PSV Eindhoven received,Groningen scored,Groningen received,Den Haag scored,Den Haag received,Heracles scored,Heracles received,Nijmegen scored,Nijmegen received,Heerenveen scored,Heerenveen received,NAC Breda scored,NAC Breda received,Willem II scored,Willem II received,Twente scored,Twente received,Roda scored,Roda received,Volendam scored,Volendam received,Ajax scored,Ajax received,AZ Alkmaar scored,AZ Alkmaar received,Feyenoord scored,Feyenoord received,Graafschap scored,Graafschap received,Sparta Rotterdam scored,Sparta Rotterdam received,Utrecht scored,Utrecht received,Vitesse scored,Vitesse received
0,5,1,4,0,5,2,3,1,2,0,3,2,2,1,2,1,1,1,1,1,2,3,1,2,1,2,1,3,0,2,2,5,1,5,0,4
1,6,1,6,0,8,2,5,3,3,1,5,4,3,4,5,2,2,2,1,2,2,8,2,2,1,5,6,3,1,2,2,6,1,7,0,5
2,6,2,7,1,8,4,6,4,4,3,7,5,6,4,5,3,4,3,1,5,3,10,4,4,2,5,8,5,3,2,3,7,2,7,1,6
3,7,2,10,2,8,4,7,5,5,4,9,9,10,6,7,8,7,3,3,7,3,11,7,4,7,7,9,8,3,5,5,9,2,7,1,9
4,10,2,13,2,8,7,9,5,7,4,14,11,14,8,9,10,7,6,3,9,5,15,9,9,13,7,9,10,3,8,5,15,5,7,3,11
5,11,4,13,3,10,7,9,7,10,5,16,13,16,9,10,10,9,6,5,11,5,17,10,9,15,7,9,11,3,10,6,15,5,8,4,14
6,13,7,16,3,11,10,12,8,10,7,18,15,16,9,11,11,11,6,8,13,5,20,12,9,18,7,11,13,4,11,6,18,5,8,4,16
7,15,7,18,5,11,12,13,11,12,9,18,17,16,10,13,13,12,6,8,15,7,22,15,10,20,7,12,15,4,13,8,19,7,8,6,16
8,17,7,18,6,12,15,13,13,14,9,21,20,17,10,13,15,12,8,8,19,10,23,17,10,23,10,16,15,5,16,8,21,9,8,9,17
9,17,8,23,6,12,16,13,13,15,9,22,20,19,10,15,16,12,11,9,21,10,28,22,12,26,10,21,17,5,18,10,26,11,13,9,17
10,18,12,26,6,12,17,13,16,15,12,25,22,22,10,16,16,13,12,12,21,10,32,26,13,27,11,22,18,5,21,14,26,13,16,10,18
11,22,12,26,9,13,20,13,20,16,13,25,28,23,11,19,16,19,12,13,24,13,33,26,15,29,11,25,19,8,24,17,29,17,16,10,22
12,24,14,26,11,14,22,14,20,22,14,27,30,23,15,19,17,21,13,14,25,14,39,27,16,31,11,26,20,9,25,21,29,18,17,11,23
13,28,16,28,15,18,22,14,22,23,16,30,31,23,19,20,20,27,15,17,25,15,41,29,17,33,11,27,23,12,26,23,35,20,18,11,26
14,29,17,29,19,19,23,16,23,25,17,32,31,23,22,21,22,31,16,18,26,15,41,32,17,34,11,27,24,12,28,24,37,20,18,12,27
15,30,17,34,21,19,23,17,26,25,17,33,35,25,22,21,24,33,16,20,31,18,42,38,17,36,11,27,25,12,34,28,38,20,20,12,29
16,30,17,36,24,19,26,17,26,25,18,36,37,26,25,24,26,33,16,21,34,19,45,41,17,37,11,30,26,12,34,30,41,23,21,15,30
17,31,18,37,25,21,28,19,28,27,22,39,38,27,26,24,27,35,17,22,35,19,47,45,19,39,11,31,29,13,34,31,42,24,22,16,32
18,33,20,38,25,22,28,20,30,27,22,41,38,29,28,25,28,37,18,22,37,19,48,45,20,41,11,32,30,13,36,34,45,27,25,16,32
19,36,20,39,25,22,29,21,33,28,22,42,38,30,29,25,30,37,18,25,38,20,49,45,21,43,11,32,31,13,39,34,47,27,25,18,32
20,42,20,41,25,22,35,23,35,28,24,42,39,31,33,26,32,41,19,25,39,22,50,47,23,44,11,33,31,13,42,34,48,30,25,19,32
21,47,23,41,25,23,38,24,36,29,25,45,40,32,36,27,35,43,21,25,40,25,55,48,27,47,12,33,31,15,44,35,48,33,26,23,33
22,49,25,43,25,24,38,24,38,30,26,46,41,33,36,27,37,45,22,25,41,26,57,50,27,49,14,33,33,15,45,35,48,35,26,23,33
23,50,25,43,26,25,39,24,40,32,26,49,42,34,37,28,40,47,23,25,44,27,59,52,28,51,14,35,33,15,47,36,50,35,28,26,33
