,Game Date,Home Team,Away Team,Home ATT,Away ATT,Home DEF,Away DEF,Home MID,Away MID,Home Win Odds,Draw Odds,Away Win Odds,Winner,Home win Odds not normal,Draw Odds not normal,Away win Odds not normal,Home Team Rank,Away Team Rank,Home Team Scored Goals,Home Team Received Goals,Away Team Scored Goals,Away Team received Goals
0,26/07/13,Club Brugge,Charleroi,72,64,70,64,70,64,0.26589063763792137,0.4752172744599853,0.2588920879020935,1,7.953333333333332,4.45,8.168333333333335,2,15,2.0,0.0,0.0,2.0
1,27/07/13,Bergen,Cercle Brugge,65,63,65,66,66,65,0.18196427737601967,0.4302745304398794,0.3877611921841009,X,7.728333333333333,3.268333333333333,3.6266666666666665,9,7,1.0,1.0,1.0,1.0
2,27/07/13,Genk,Oostende,75,64,71,64,70,67,0.2457902121176473,0.4594945098455527,0.29471527803680003,1,7.590000000000002,4.06,6.329999999999999,1,14,3.0,0.0,0.0,3.0
3,27/07/13,Kortrijk,Oud-Heverlee Leuven,67,64,66,66,67,66,0.18222616680450146,0.4381564789572411,0.37961735423825743,1,7.718333333333334,3.2099999999999995,3.705,6,13,1.0,0.0,0.0,1.0
4,27/07/13,Lierse,Waregem,62,68,62,68,65,69,0.14145187016241714,0.3670513234444717,0.4914968063931111,2,8.455,3.2583333333333333,2.433333333333333,12,5,1.0,2.0,2.0,1.0
5,27/07/13,Waasland-Beveren,Gent,65,69,65,67,65,67,0.13373347711281847,0.3297369875650611,0.5365295353221203,X,8.966666666666667,3.6366666666666663,2.235,10,8,1.0,1.0,1.0,1.0
6,28/07/13,Anderlecht,Lokeren,73,72,71,69,70,70,0.2679770028498855,0.4597856285951432,0.2722373685549712,2,7.455000000000001,4.345,7.338333333333334,11,4,2.0,3.0,3.0,2.0
7,28/07/13,Mechelen,Standard,68,74,66,71,67,71,0.14351250527868947,0.356521223743516,0.4999662709777945,2,8.413333333333332,3.3866666666666663,2.415,16,3,0.0,2.0,2.0,0.0
8,02/08/13,Cercle Brugge,Anderlecht,63,73,66,71,65,70,0.12572732703173092,0.3150872109753459,0.5591854619929231,2,9.903333333333334,3.951666666666666,2.2266666666666666,7,11,1.0,1.0,2.0,3.0
9,03/08/13,Charleroi,Waasland-Beveren,64,65,64,65,64,65,0.17547936183979218,0.4184936607137447,0.4060269774464632,X,7.508333333333333,3.148333333333333,3.245,12,9,0.5,1.5,1.0,1.0
10,03/08/13,Lokeren,Bergen,72,65,69,65,70,66,0.2081776153124072,0.4546300388212658,0.3371923458663269,1,7.3050000000000015,3.345,4.510000000000002,4,10,2.5,1.5,1.0,1.5
11,03/08/13,Oud-Heverlee Leuven,Genk,64,75,66,71,66,70,0.1356849259052641,0.31874438841306285,0.545570685681673,2,8.993333333333334,3.828333333333333,2.236666666666667,14,1,0.5,2.5,3.5,0.5
12,03/08/13,Waregem,Kortrijk,68,67,68,66,69,67,0.19531835494843394,0.43246960039864396,0.3722120446529221,1,7.34,3.315,3.8516666666666666,5,8,1.5,0.5,0.5,0.5
13,04/08/13,Gent,Mechelen,69,68,67,66,67,67,0.2394402093843221,0.4675809931572493,0.2929787974584285,1,7.241666666666667,3.7083333333333335,5.918333333333332,6,16,1.5,1.0,0.5,2.0
14,04/08/13,Oostende,Club Brugge,64,72,64,70,67,70,0.12718960760460638,0.2894862578766299,0.5833241345187637,2,10.678333333333333,4.691666666666666,2.3283333333333336,15,3,0.5,2.5,2.0,0.5
15,04/08/13,Standard,Lierse,74,62,71,62,71,65,0.2762878453909792,0.479295043617326,0.24441711099169486,1,7.260000000000002,4.185,8.206666666666667,2,13,2.5,0.0,0.5,2.5
16,09/08/13,Kortrijk,Lokeren,67,72,66,69,67,70,0.1575225452304935,0.382554752702627,0.4599227020668796,X,7.82,3.22,2.678333333333333,8,4,0.5,0.5,2.5,1.5
17,10/08/13,Bergen,Charleroi,65,64,65,64,66,64,0.20130885119238032,0.4208260320277297,0.3778651167798899,2,6.8950000000000005,3.2983333333333333,3.673333333333333,12,9,1.0,1.6666666666666667,1.0,1.3333333333333333
18,10/08/13,Lierse,Cercle Brugge,62,63,62,66,65,65,0.1846319032978665,0.390996520213086,0.4243715764890475,X,6.776666666666667,3.2,2.9483333333333337,13,11,0.6666666666666666,2.0,0.6666666666666666,2.0
19,10/08/13,Oostende,Oud-Heverlee Leuven,64,64,64,66,67,66,0.1870950694176003,0.4020390724416056,0.4108658581407941,X,7.001666666666668,3.2583333333333333,3.188333333333333,15,14,0.6666666666666666,2.0,0.6666666666666666,2.0
20,10/08/13,Waasland-Beveren,Mechelen,65,68,65,66,65,67,0.16182819263909592,0.3648906669213185,0.4732811404395856,X,7.4333333333333345,3.296666666666667,2.5416666666666665,10,16,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.3333333333333333
21,11/08/13,Anderlecht,Gent,73,69,71,67,70,67,0.2459627127285544,0.4388876437366658,0.31514964353478003,1,6.62,3.71,5.166666666666667,5,8,3.333333333333333,1.3333333333333333,1.3333333333333333,2.0
22,11/08/13,Club Brugge,Waregem,72,68,70,68,70,69,0.23482788556089684,0.4088165852742975,0.3563555291648056,X,5.991666666666667,3.4416666666666664,3.9483333333333333,2,4,1.6666666666666667,0.6666666666666666,1.3333333333333333,0.6666666666666666
23,11/08/13,Genk,Standard,75,74,71,71,70,71,0.1834253226542724,0.3851931775739718,0.4313814997717559,2,6.93,3.3000000000000003,2.9466666666666668,6,1,2.333333333333333,1.0,2.333333333333333,0.0
24,17/08/13,Cercle Brugge,Oostende,63,64,66,64,65,67,0.19546794332944895,0.4187155685274243,0.3858164881431265,1,6.908333333333332,3.225,3.5,11,15,0.6666666666666666,2.0,0.6666666666666666,2.0
25,17/08/13,Charleroi,Kortrijk,64,67,64,66,64,67,0.16844395832616246,0.3866232117159971,0.4449328299578405,2,7.268333333333333,3.1666666666666665,2.7516666666666665,10,6,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667
26,17/08/13,Gent,Lierse,69,62,67,62,67,65,0.2801584622603333,0.4668537509253636,0.2529877868143032,1,6.7349999999999985,4.041666666666667,7.458333333333332,7,13,1.6666666666666667,2.0,0.6666666666666666,2.0
27,17/08/13,Lokeren,Genk,72,75,69,71,70,70,0.1680469311220788,0.36916469045195777,0.4627883784259634,1,7.311666666666666,3.3283333333333336,2.655,2,8,2.6666666666666665,1.6666666666666667,1.6666666666666667,2.0
28,17/08/13,Mechelen,Club Brugge,68,72,66,70,67,70,0.1586195250011514,0.3556350461335339,0.4857454288653147,2,7.533333333333334,3.36,2.4599999999999995,16,3,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.0
29,17/08/13,Waregem,Bergen,68,65,68,65,69,66,0.2290580586531327,0.4428383049139649,0.3281036364329024,1,6.763333333333333,3.498333333333333,4.721666666666667,4,12,1.3333333333333333,0.3333333333333333,0.6666666666666666,2.0
30,18/08/13,Standard,Oud-Heverlee Leuven,74,64,71,66,71,66,0.32119339157667204,0.4472368064037829,0.23156980201954494,1,6.86,4.926666666666667,9.515,1,14,2.0,0.0,0.6666666666666666,2.0
31,18/08/13,Waasland-Beveren,Anderlecht,65,73,65,71,65,70,0.132214982370938,0.2757600668939122,0.5920249507351498,2,10.06,4.823333333333333,2.2466666666666666,11,5,0.3333333333333333,1.3333333333333333,3.6666666666666665,0.3333333333333333
32,24/08/13,Kortrijk,Mechelen,67,68,66,66,67,67,0.1876544762325242,0.4255909791350536,0.3867545446324223,2,7.2650000000000015,3.2033333333333336,3.525,6,16,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.3333333333333333
33,24/08/13,Lierse,Waasland-Beveren,62,65,62,65,65,65,0.18099972977494114,0.40262236691415854,0.4163779033109003,1,7.07,3.178333333333333,3.0733333333333337,10,14,1.0,1.0,0.0,1.3333333333333333
