,Anderlecht scored,Anderlecht received,Mechelen scored,Mechelen received,Genk scored,Genk received,Gent scored,Gent received,Kortrijk scored,Kortrijk received,St Truiden scored,St Truiden received,Cercle Brugge scored,Cercle Brugge received,Charleroi scored,Charleroi received,Standard scored,Standard received,Waregem scored,Waregem received,Germinal scored,Germinal received,Club Brugge scored,Club Brugge received,Westerlo scored,Westerlo received,Lierse scored,Lierse received,Lokeren scored,Lokeren received,Eupen scored,Eupen received
0,4,1,2,0,2,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,2,0,1,0,1,0,1,0,2,1,4
1,0,0,2,1,4,0,0,4,1,1,1,4,0,0,0,0,4,1,1,2,0,0,4,1,1,0,1,4,1,1,0,1
2,4,0,1,0,5,0,2,1,2,0,0,2,3,1,0,5,3,3,1,1,0,4,1,3,1,1,0,1,3,3,1,2
3,3,0,2,1,4,1,3,1,2,1,1,0,0,4,1,3,0,1,4,0,0,0,1,2,0,0,1,2,0,3,1,4
4,0,0,0,0,4,1,1,0,0,1,0,0,1,1,2,0,1,0,0,0,0,1,2,1,1,2,1,4,1,1,0,2
5,2,0,0,1,2,2,2,2,1,0,0,2,0,2,0,1,2,0,0,0,1,0,2,2,1,3,2,2,3,1,0,0
6,3,0,1,0,3,1,5,3,0,3,2,4,4,2,0,5,0,1,3,5,1,0,5,0,2,0,0,2,1,3,0,1
7,1,1,2,2,2,0,2,3,1,2,0,2,2,2,1,2,2,1,4,3,3,4,4,0,2,1,1,1,3,2,0,4
8,5,0,0,5,3,0,2,0,1,2,0,2,2,1,0,1,2,1,0,3,2,1,1,2,1,2,1,0,1,0,0,1
9,1,5,2,2,2,2,2,3,3,1,1,2,1,0,1,1,5,1,1,1,0,1,3,2,2,1,0,1,1,0,1,3
10,0,1,1,1,4,2,2,0,0,2,0,6,1,0,1,2,2,4,2,3,1,1,3,2,1,1,1,1,2,1,6,0
11,2,0,5,1,0,1,1,2,1,0,3,2,2,1,2,3,2,1,0,0,1,5,0,1,0,2,0,0,1,0,1,2
12,2,1,1,3,1,2,3,1,0,0,0,0,1,2,0,0,2,2,1,1,0,0,2,2,2,1,2,2,1,1,2,2
13,2,2,2,0,1,1,1,0,4,0,0,3,0,1,0,2,1,3,3,0,0,4,2,2,1,1,2,2,2,2,3,1
14,2,1,1,0,3,0,1,2,1,1,0,3,0,3,0,1,1,0,1,1,0,1,2,0,1,0,0,2,3,0,0,1
15,1,0,1,3,3,1,4,4,1,3,2,1,1,0,1,3,0,2,2,0,0,1,0,1,4,4,1,2,3,1,3,1
16,4,1,0,0,1,2,2,1,0,0,2,1,1,1,1,4,7,0,0,0,1,1,1,2,1,1,0,7,0,0,1,1
17,2,1,1,2,1,0,3,0,0,1,1,0,3,0,0,3,1,2,1,2,0,1,4,3,3,4,2,1,2,1,0,3
18,0,0,0,1,5,1,2,1,3,1,0,1,1,3,1,2,1,0,3,1,1,1,1,0,1,1,1,3,0,0,1,5
19,2,0,1,0,1,1,2,2,2,1,0,1,1,2,0,1,1,2,2,0,2,2,0,2,0,2,1,1,2,1,1,0
20,6,0,1,0,1,1,0,2,0,1,1,1,1,0,2,0,0,1,2,0,0,2,2,0,1,2,0,6,2,1,0,2
21,2,0,0,3,2,2,2,2,0,2,0,3,3,0,0,5,3,0,2,2,0,0,5,0,1,2,2,1,2,2,0,0
22,2,0,0,0,3,2,2,1,2,3,0,3,3,0,0,0,0,2,0,3,3,0,4,1,3,0,0,3,1,2,1,4
23,0,0,0,0,1,0,1,1,2,1,1,1,1,2,0,1,2,1,0,1,0,1,1,0,1,2,1,0,0,2,2,0
24,2,0,1,0,1,0,4,1,1,2,0,2,0,1,2,0,1,0,0,2,1,1,0,1,2,1,1,4,1,1,0,1
25,1,0,3,1,2,0,1,0,0,1,1,1,0,1,1,1,0,2,0,2,2,2,2,0,1,3,2,2,1,1,1,1
26,0,2,0,1,1,0,4,1,1,3,0,1,0,0,1,0,1,4,1,1,3,1,2,1,2,0,1,1,1,2,0,0
27,1,1,1,1,1,1,1,1,3,0,1,0,0,1,0,3,2,2,1,2,0,1,2,2,1,0,1,1,2,1,1,1
28,1,1,1,1,0,2,1,0,1,4,2,1,0,1,0,2,2,0,1,2,1,1,4,1,2,0,1,1,1,1,1,1
29,3,2,2,0,1,0,2,3,2,2,0,2,0,1,2,2,1,0,2,2,0,1,0,0,2,2,0,0,2,0,0,2
