,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
3,Mechelen,Club Brugge,Gent,Standard,Anderlecht,Cercle Brugge,Bergen,Waregem,Genk,Germinal,Kortrijk,Lokeren,Lierse,Oud-Heverlee Leuven,St Truiden,Westerlo
4,Gent,Cercle Brugge,Mechelen,Club Brugge,Bergen,Kortrijk,Standard,Anderlecht,Genk,Germinal,Waregem,Oud-Heverlee Leuven,Lokeren,Lierse,St Truiden,Westerlo
5,Gent,Cercle Brugge,Club Brugge,Anderlecht,Standard,Mechelen,Bergen,Genk,Oud-Heverlee Leuven,Kortrijk,Germinal,Waregem,Lokeren,Lierse,St Truiden,Westerlo
6,Club Brugge,Anderlecht,Cercle Brugge,Gent,Bergen,Genk,Kortrijk,Standard,Mechelen,Germinal,Oud-Heverlee Leuven,Waregem,Lierse,Lokeren,Westerlo,St Truiden
7,Club Brugge,Anderlecht,Gent,Cercle Brugge,Genk,Bergen,Standard,Kortrijk,Oud-Heverlee Leuven,Mechelen,Germinal,Waregem,Lokeren,Lierse,Westerlo,St Truiden
8,Anderlecht,Gent,Club Brugge,Cercle Brugge,Standard,Kortrijk,Bergen,Genk,Germinal,Waregem,Oud-Heverlee Leuven,Mechelen,Lokeren,Lierse,Westerlo,St Truiden
9,Anderlecht,Club Brugge,Gent,Cercle Brugge,Bergen,Standard,Kortrijk,Germinal,Genk,Lokeren,Oud-Heverlee Leuven,Waregem,Mechelen,Lierse,Westerlo,St Truiden
10,Anderlecht,Gent,Club Brugge,Cercle Brugge,Standard,Kortrijk,Bergen,Genk,Germinal,Lokeren,Mechelen,Oud-Heverlee Leuven,Waregem,Lierse,Westerlo,St Truiden
11,Anderlecht,Gent,Cercle Brugge,Club Brugge,Kortrijk,Genk,Standard,Bergen,Germinal,Oud-Heverlee Leuven,Mechelen,Lokeren,Waregem,Lierse,Westerlo,St Truiden
12,Anderlecht,Gent,Cercle Brugge,Club Brugge,Standard,Kortrijk,Genk,Bergen,Germinal,Lokeren,Oud-Heverlee Leuven,Mechelen,Waregem,Lierse,St Truiden,Westerlo
13,Anderlecht,Gent,Cercle Brugge,Club Brugge,Standard,Genk,Kortrijk,Bergen,Germinal,Lokeren,Mechelen,Oud-Heverlee Leuven,Waregem,Lierse,St Truiden,Westerlo
14,Anderlecht,Gent,Club Brugge,Standard,Cercle Brugge,Kortrijk,Genk,Bergen,Germinal,Lokeren,Mechelen,Oud-Heverlee Leuven,Waregem,Lierse,St Truiden,Westerlo
15,Anderlecht,Gent,Club Brugge,Standard,Cercle Brugge,Kortrijk,Bergen,Genk,Germinal,Lokeren,Mechelen,Oud-Heverlee Leuven,Waregem,Lierse,St Truiden,Westerlo
