,Club Brugge scored,Club Brugge received,Genk scored,Genk received,Mechelen scored,Mechelen received,Oud-Heverlee Leuven scored,Oud-Heverlee Leuven received,Cercle Brugge scored,Cercle Brugge received,Kortrijk scored,Kortrijk received,Lierse scored,Lierse received,Bergen scored,Bergen received,Standard scored,Standard received,Lokeren scored,Lokeren received,Waregem scored,Waregem received,Anderlecht scored,Anderlecht received,St Truiden scored,St Truiden received,Gent scored,Gent received,Germinal scored,Germinal received,Westerlo scored,Westerlo received
0,5,0,3,1,2,1,2,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,2,1,2,0,1,1,3,0,5
1,8,3,3,1,3,4,3,3,2,1,1,1,1,1,2,2,4,2,1,3,2,1,4,3,4,5,2,3,3,5,0,5
2,9,3,5,3,5,5,3,4,2,3,3,1,2,3,6,4,5,5,1,4,4,3,5,3,6,9,5,4,6,6,1,8
3,10,4,7,6,7,6,4,6,5,5,4,4,3,4,8,6,8,6,3,4,5,4,7,5,6,11,8,6,7,7,3,11
4,11,5,7,6,7,6,5,6,8,6,8,4,3,5,11,7,9,7,3,5,6,7,8,6,6,15,9,6,8,8,4,14
5,13,6,11,9,8,8,8,7,10,7,8,6,4,6,12,10,10,7,4,6,7,10,10,6,9,19,12,7,9,10,4,15
6,15,7,14,9,9,13,8,9,10,7,10,6,4,6,17,11,10,10,5,8,7,12,11,6,9,21,12,8,11,10,6,15
7,17,8,15,10,9,15,9,10,10,7,10,7,4,6,18,13,10,10,7,8,8,12,14,8,12,25,16,11,13,13,6,15
8,18,9,15,11,9,16,10,16,12,9,11,7,4,8,21,16,12,10,10,11,9,13,15,8,14,27,22,12,14,14,7,16
9,20,9,16,14,10,18,11,17,14,10,12,10,6,9,24,17,12,15,13,12,10,15,20,8,16,31,22,14,18,16,8,17
10,21,11,18,14,12,20,11,19,16,10,14,11,6,11,24,19,13,15,14,15,10,16,22,9,18,31,25,15,20,18,9,19
11,25,16,23,18,13,20,14,21,17,11,18,12,6,15,25,20,14,16,15,19,11,17,26,9,19,32,26,16,22,21,9,20
12,26,18,25,20,15,26,15,24,18,11,20,14,9,16,25,22,16,17,19,21,11,17,26,10,19,32,32,18,24,21,11,24
13,27,18,28,20,16,27,16,27,18,12,20,18,10,18,27,23,19,18,20,22,12,18,29,11,20,35,36,18,25,22,11,27
14,28,18,28,22,18,30,17,29,19,13,21,18,10,19,28,25,22,20,21,23,14,21,32,13,22,36,38,18,25,23,13,28
15,29,18,28,24,20,32,17,29,20,15,23,19,12,21,31,27,22,20,22,24,15,22,32,13,24,39,38,18,27,23,13,29
16,30,18,32,24,22,33,19,31,22,15,24,19,12,25,31,29,23,21,23,25,17,24,33,15,24,40,38,19,28,23,13,30
17,31,21,32,24,22,33,22,32,22,16,24,21,14,25,34,31,23,21,25,28,19,27,36,17,24,40,39,19,29,26,16,31
18,32,21,36,26,24,35,24,34,24,20,26,21,14,25,35,32,23,23,25,28,19,28,37,18,24,40,42,20,29,26,17,34
19,32,24,37,27,28,36,25,35,27,21,26,21,16,26,36,36,29,24,26,29,20,29,40,18,24,40,43,22,30,32,18,37
20,32,25,39,28,29,36,27,37,27,25,26,22,16,28,38,38,29,24,28,29,20,29,41,18,25,42,43,22,34,32,18,37
21,35,25,41,31,32,38,27,39,29,27,28,22,18,30,39,40,31,25,28,32,21,29,44,19,25,45,44,25,34,33,21,37
22,37,25,46,31,34,41,27,44,29,28,28,22,20,30,39,42,32,25,31,34,21,29,44,19,25,51,50,25,34,33,21,39
23,42,26,48,35,34,41,29,47,30,28,28,22,20,32,40,45,34,25,34,35,24,30,48,21,25,52,53,27,35,38,22,42
24,45,27,48,36,34,42,32,48,31,28,30,24,22,33,42,47,35,27,35,35,25,32,50,22,27,55,54,30,38,40,23,45
25,47,28,50,37,36,43,34,51,34,30,31,26,23,34,43,49,37,31,36,36,29,34,53,23,28,56,55,31,39,42,24,48
26,47,31,53,37,39,44,35,53,35,30,33,31,23,34,43,51,37,31,41,38,29,35,53,23,28,56,57,31,41,43,25,51
27,48,31,55,40,39,46,35,53,35,34,36,33,23,34,47,53,37,32,45,38,29,36,57,23,29,56,59,31,43,47,25,55
28,50,32,57,43,39,48,35,57,36,36,37,36,24,35,48,54,41,32,47,40,31,36,59,25,31,58,62,32,45,49,28,57
29,51,32,60,44,40,50,38,58,36,37,39,36,24,36,50,55,43,33,48,40,32,38,61,26,32,61,63,35,45,51,29,59
