,homeTeam,awayTeam,Home Team Rank,Away Team Rank,Home Team Scored Goals,Home Team Received Goals,Away Team Scored Goals,Away Team received Goals
0,Bergen,Oud-Heverlee Leuven,1,15,2.333333333333333,1.3333333333333333,1.0,1.6666666666666667
1,Club Brugge,Waasland-Beveren,4,13,1.3333333333333333,0.3333333333333333,,
2,Germinal,Lokeren,12,3,1.3333333333333333,2.6666666666666665,2.333333333333333,0.6666666666666666
3,Kortrijk,Anderlecht,9,10,2.0,1.6666666666666667,2.6666666666666665,1.0
4,Mechelen,Charleroi,2,16,0.3333333333333333,2.0,,
5,Genk,Cercle Brugge,8,7,2.333333333333333,2.333333333333333,0.3333333333333333,2.333333333333333
6,Gent,Lierse,6,14,2.0,1.3333333333333333,0.3333333333333333,0.6666666666666666
7,Standard,Waregem,11,5,2.0,0.6666666666666666,1.0,1.0
8,Lierse,Standard,14,11,0.3333333333333333,0.6666666666666666,2.0,0.6666666666666666
9,Anderlecht,Germinal,7,15,1.6666666666666667,1.0,0.6666666666666666,1.6666666666666667
10,Cercle Brugge,Kortrijk,10,6,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.3333333333333333
11,Charleroi,Club Brugge,16,1,,,1.3333333333333333,0.3333333333333333
12,Lokeren,Bergen,4,3,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.3333333333333333
13,Waasland-Beveren,Mechelen,12,5,,,0.3333333333333333,1.3333333333333333
14,Oud-Heverlee Leuven,Genk,14,9,1.6666666666666667,2.333333333333333,2.333333333333333,2.0
15,Waregem,Gent,2,8,2.0,1.0,1.6666666666666667,2.333333333333333
16,Standard,Waasland-Beveren,11,12,2.0,0.3333333333333333,,
17,Bergen,Lierse,4,12,1.6666666666666667,1.3333333333333333,0.3333333333333333,0.6666666666666666
18,Germinal,Waregem,14,3,0.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333
19,Kortrijk,Charleroi,9,11,1.3333333333333333,0.6666666666666666,,
20,Mechelen,Club Brugge,5,2,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.0
21,Cercle Brugge,Anderlecht,15,1,0.3333333333333333,2.0,2.0,0.3333333333333333
22,Genk,Lokeren,6,7,2.0,1.0,1.0,1.0
23,Gent,Oud-Heverlee Leuven,10,13,1.0,2.333333333333333,2.0,1.3333333333333333
24,Anderlecht,Bergen,1,4,2.0,0.3333333333333333,1.6666666666666667,1.3333333333333333
25,Club Brugge,Germinal,1,15,2.333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667
26,Lierse,Genk,12,7,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.0
27,Lokeren,Mechelen,5,9,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667
28,Oud-Heverlee Leuven,Cercle Brugge,10,14,2.0,1.6666666666666667,1.0,2.6666666666666665
29,Waasland-Beveren,Gent,16,6,0.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333
30,Waregem,Kortrijk,3,11,2.0,0.6666666666666666,0.6666666666666666,1.3333333333333333
31,Charleroi,Standard,13,4,1.0,2.333333333333333,3.0,1.0
32,Bergen,Club Brugge,8,1,1.3333333333333333,1.6666666666666667,2.333333333333333,1.3333333333333333
33,Cercle Brugge,Lierse,16,9,0.6666666666666666,3.0,1.6666666666666667,0.6666666666666666
34,Genk,Waregem,6,4,1.3333333333333333,0.3333333333333333,1.0,1.0
35,Germinal,Charleroi,13,14,1.3333333333333333,1.3333333333333333,1.0,2.6666666666666665
36,Kortrijk,Waasland-Beveren,8,15,0.6666666666666666,1.3333333333333333,0.6666666666666666,2.333333333333333
37,Oud-Heverlee Leuven,Anderlecht,10,2,1.6666666666666667,1.3333333333333333,2.0,0.6666666666666666
38,Standard,Mechelen,3,11,4.0,1.6666666666666667,2.0,2.6666666666666665
39,Gent,Lokeren,5,7,1.6666666666666667,0.6666666666666666,1.0,1.3333333333333333
40,Charleroi,Gent,14,5,1.0,2.6666666666666665,1.6666666666666667,0.6666666666666666
41,Lierse,Oud-Heverlee Leuven,9,12,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.3333333333333333
42,Mechelen,Germinal,13,11,1.0,2.333333333333333,1.6666666666666667,1.0
43,Waasland-Beveren,Cercle Brugge,14,16,1.0,1.3333333333333333,0.6666666666666666,2.6666666666666665
44,Waregem,Bergen,6,8,1.3333333333333333,2.0,2.0,2.333333333333333
45,Anderlecht,Genk,2,5,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.0
46,Club Brugge,Standard,1,4,3.333333333333333,1.3333333333333333,3.6666666666666665,2.6666666666666665
47,Lokeren,Kortrijk,10,7,1.0,1.3333333333333333,1.0,1.0
48,Kortrijk,Club Brugge,7,1,1.0,1.0,3.333333333333333,1.3333333333333333
49,Bergen,Charleroi,10,14,2.333333333333333,2.6666666666666665,1.3333333333333333,1.6666666666666667
50,Cercle Brugge,Lokeren,16,8,0.0,2.0,0.6666666666666666,1.0
51,Genk,Waasland-Beveren,4,15,1.6666666666666667,1.0,1.3333333333333333,1.0
52,Gent,Mechelen,6,12,1.0,1.3333333333333333,1.3333333333333333,1.6666666666666667
53,Lierse,Anderlecht,11,2,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.3333333333333333
54,Oud-Heverlee Leuven,Waregem,13,3,0.6666666666666666,1.0,1.0,2.0
55,Germinal,Standard,9,7,2.333333333333333,0.6666666666666666,2.333333333333333,3.0
56,Standard,Gent,7,6,2.333333333333333,3.0,1.0,1.3333333333333333
57,Germinal,Kortrijk,5,9,2.333333333333333,1.0,1.0,1.0
58,Lokeren,Oud-Heverlee Leuven,8,13,1.0,1.0,1.0,1.3333333333333333
59,Mechelen,Bergen,7,12,1.6666666666666667,0.6666666666666666,2.0,2.6666666666666665
60,Waasland-Beveren,Lierse,15,11,1.3333333333333333,0.6666666666666666,1.0,1.0
61,Waregem,Anderlecht,6,2,1.6666666666666667,2.333333333333333,2.0,1.6666666666666667
62,Charleroi,Genk,14,3,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.3333333333333333
63,Club Brugge,Cercle Brugge,1,16,3.0,1.0,0.0,2.333333333333333
64,Anderlecht,Lokeren,2,8,2.0,1.6666666666666667,1.0,1.0
65,Bergen,Germinal,10,7,1.0,2.0,1.6666666666666667,1.3333333333333333
66,Cercle Brugge,Charleroi,16,14,0.3333333333333333,1.6666666666666667,1.3333333333333333,1.6666666666666667
67,Genk,Mechelen,3,8,1.6666666666666667,1.0,2.0,0.6666666666666666
68,Lierse,Waregem,13,4,1.0,2.0,2.333333333333333,1.3333333333333333
69,Oud-Heverlee Leuven,Waasland-Beveren,9,15,2.333333333333333,1.6666666666666667,1.3333333333333333,2.333333333333333
70,Gent,Club Brugge,5,1,1.3333333333333333,1.6666666666666667,2.333333333333333,1.0
71,Kortrijk,Standard,6,12,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.333333333333333
72,Germinal,Gent,7,5,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.6666666666666667
73,Charleroi,Oud-Heverlee Leuven,15,7,0.3333333333333333,2.333333333333333,3.6666666666666665,1.3333333333333333
74,Lokeren,Lierse,11,13,1.3333333333333333,2.333333333333333,1.3333333333333333,2.333333333333333
75,Mechelen,Kortrijk,12,5,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.0
76,Waasland-Beveren,Bergen,14,10,1.6666666666666667,2.6666666666666665,1.0,1.6666666666666667
77,Waregem,Cercle Brugge,3,16,3.0,1.6666666666666667,0.6666666666666666,2.333333333333333
78,Club Brugge,Genk,1,4,2.333333333333333,1.0,1.6666666666666667,1.0
79,Standard,Anderlecht,9,2,1.3333333333333333,1.6666666666666667,2.333333333333333,1.3333333333333333
80,Anderlecht,Waasland-Beveren,2,14,2.333333333333333,1.3333333333333333,1.6666666666666667,2.6666666666666665
81,Cercle Brugge,Mechelen,16,10,1.0,1.6666666666666667,1.0,1.6666666666666667
82,Genk,Germinal,3,11,2.0,0.6666666666666666,0.6666666666666666,2.0
83,Gent,Kortrijk,7,4,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.3333333333333333
84,Lierse,Charleroi,13,14,1.0,2.333333333333333,0.3333333333333333,1.6666666666666667
85,Oud-Heverlee Leuven,Club Brugge,6,1,4.333333333333333,1.0,1.3333333333333333,2.333333333333333
86,Waregem,Lokeren,5,9,2.333333333333333,1.6666666666666667,1.6666666666666667,1.6666666666666667
87,Bergen,Standard,8,12,2.0,1.0,1.3333333333333333,2.0
88,Standard,Cercle Brugge,12,16,1.3333333333333333,2.0,1.0,1.6666666666666667
89,Charleroi,Anderlecht,13,3,1.0,1.3333333333333333,1.0,1.3333333333333333
90,Gent,Bergen,7,11,1.3333333333333333,1.0,1.6666666666666667,1.6666666666666667
91,Germinal,Oud-Heverlee Leuven,12,6,1.0,2.6666666666666665,3.6666666666666665,0.6666666666666666
92,Mechelen,Lierse,9,14,1.6666666666666667,1.0,0.6666666666666666,2.0
