,Bergen scored,Bergen received,Mechelen scored,Mechelen received,Lokeren scored,Lokeren received,Club Brugge scored,Club Brugge received,Waregem scored,Waregem received,Gent scored,Gent received,Cercle Brugge scored,Cercle Brugge received,Genk scored,Genk received,Kortrijk scored,Kortrijk received,Anderlecht scored,Anderlecht received,Standard scored,Standard received,Germinal scored,Germinal received,Waasland-Beveren scored,Waasland-Beveren received,Lierse scored,Lierse received,Oud-Heverlee Leuven scored,Oud-Heverlee Leuven received,Charleroi scored,Charleroi received
0,5,2,4,2,4,2,3,1,1,0,2,0,3,3,3,3,1,1,1,1,0,1,2,4,1,3,0,2,2,5,2,4
1,2,2,0,0,2,2,1,0,3,1,1,3,1,2,2,2,2,1,1,0,0,0,0,1,0,0,0,0,2,2,0,1
2,1,1,3,3,0,1,3,3,1,1,1,1,0,3,1,0,0,1,3,0,3,1,1,1,1,3,1,1,1,1,1,0
3,1,2,1,2,2,1,3,1,2,0,2,0,2,3,1,1,0,2,2,1,6,2,1,3,0,2,1,1,3,2,2,6
4,1,3,2,3,1,2,3,1,0,2,2,1,0,3,2,0,2,1,1,1,3,2,2,0,1,2,3,0,1,1,0,2
5,4,2,0,2,0,1,4,2,2,4,1,1,0,2,2,2,1,0,2,2,2,4,2,0,2,0,1,1,1,1,1,1
6,2,3,2,0,1,0,1,1,1,0,0,2,0,1,1,1,1,1,1,1,2,3,3,2,1,1,1,1,0,1,3,2
7,0,3,3,0,2,2,4,0,2,3,2,1,0,4,2,1,1,2,3,2,1,2,2,1,1,1,1,1,2,2,1,2
8,1,0,1,2,0,3,2,2,4,1,2,2,1,0,2,1,2,1,3,0,1,2,0,1,2,5,1,4,5,2,0,1
9,2,2,0,2,2,2,1,1,3,1,2,2,1,3,1,1,2,0,1,2,2,1,2,2,2,2,2,2,4,0,0,4
10,3,1,2,1,3,0,1,4,0,3,0,1,1,2,3,0,1,0,2,0,1,3,0,3,0,2,0,1,4,1,1,0
11,0,2,3,0,3,2,2,3,2,0,2,0,1,2,1,1,1,1,0,2,2,1,1,3,0,2,0,3,3,1,2,0
12,1,0,1,3,2,0,2,3,4,1,0,5,3,1,0,2,0,1,5,0,2,0,1,3,0,2,3,2,3,1,1,4
13,3,2,1,4,2,0,0,1,1,0,1,2,2,3,2,1,4,1,4,1,2,0,1,2,2,1,1,4,0,2,0,2
14,1,5,1,1,2,1,1,6,1,1,2,2,2,2,5,1,0,0,6,1,1,2,3,1,0,0,1,3,0,0,0,0
15,3,1,1,1,1,0,6,2,0,0,0,2,3,1,1,3,0,1,1,0,0,0,0,1,2,6,2,0,1,3,1,1
16,1,2,0,1,2,1,1,0,1,0,0,1,1,3,1,1,3,1,4,1,3,0,1,4,1,0,0,3,1,1,0,1
17,3,0,1,1,3,4,1,1,0,0,1,1,1,2,4,3,0,2,2,1,2,0,0,0,0,2,0,3,1,1,2,0
18,0,5,2,1,1,2,7,1,2,1,0,2,1,1,4,1,1,2,5,0,6,1,1,7,2,0,1,4,1,1,1,6
19,0,2,0,2,2,2,2,0,3,2,2,2,1,1,2,3,0,1,2,1,2,0,0,1,1,0,1,1,1,2,1,0
20,1,1,2,0,3,2,3,1,1,1,1,2,2,2,2,4,2,3,4,2,1,3,0,2,2,2,2,2,2,2,2,1
21,2,1,1,0,3,0,0,0,2,1,0,1,0,3,1,1,0,0,4,1,3,0,0,3,1,1,1,4,1,2,1,2
22,2,3,3,2,6,2,3,0,1,0,0,0,0,3,3,1,4,0,0,1,0,0,0,4,0,0,0,0,2,6,1,3
23,0,0,2,1,0,2,0,0,2,0,0,0,1,2,1,2,0,2,2,0,2,0,0,0,2,0,0,2,0,2,2,1
24,3,0,1,2,1,1,1,4,2,1,2,1,1,2,4,1,2,1,2,2,2,2,1,2,0,3,1,1,1,0,0,1
25,1,0,2,0,1,1,3,1,1,1,0,1,0,2,2,0,1,0,2,1,0,1,0,2,1,2,0,1,1,3,1,0
26,0,2,2,0,1,1,1,1,2,0,2,0,0,1,2,0,0,2,2,0,1,0,1,1,0,2,0,2,1,1,0,2
27,1,0,1,2,0,0,2,2,1,0,2,0,0,2,0,0,0,1,2,2,0,0,1,3,0,0,3,1,2,1,0,1
28,3,1,0,1,1,1,2,1,1,2,2,3,1,3,3,2,0,1,1,0,4,0,2,3,3,2,1,0,0,4,1,1
29,1,5,2,3,2,0,3,0,3,2,1,1,1,3,5,1,0,0,1,1,0,2,3,1,0,3,0,3,0,0,3,0
