,Bergen scored,Bergen received,Mechelen scored,Mechelen received,Lokeren scored,Lokeren received,Club Brugge scored,Club Brugge received,Waregem scored,Waregem received,Gent scored,Gent received,Cercle Brugge scored,Cercle Brugge received,Genk scored,Genk received,Kortrijk scored,Kortrijk received,Anderlecht scored,Anderlecht received,Standard scored,Standard received,Germinal scored,Germinal received,Waasland-Beveren scored,Waasland-Beveren received,Lierse scored,Lierse received,Oud-Heverlee Leuven scored,Oud-Heverlee Leuven received,Charleroi scored,Charleroi received
0,5,2,4,2,4,2,3,1,1,0,2,0,3,3,3,3,1,1,1,1,0,1,2,4,1,3,0,2,2,5,2,4
1,7,4,4,2,6,4,4,1,4,1,3,3,4,5,5,5,3,2,2,1,0,1,2,5,1,3,0,2,4,7,2,5
2,8,5,7,5,6,5,7,4,5,2,4,4,4,8,6,5,3,3,5,1,3,2,3,6,2,6,1,3,5,8,3,5
3,9,7,8,7,8,6,10,5,7,2,6,4,6,11,7,6,3,5,7,2,9,4,4,9,2,8,2,4,8,10,5,11
4,10,10,10,10,9,8,13,6,7,4,8,5,6,14,9,6,5,6,8,3,12,6,6,9,3,10,5,4,9,11,5,13
5,14,12,10,12,9,9,17,8,9,8,9,6,6,16,11,8,6,6,10,5,14,10,8,9,5,10,6,5,10,12,6,14
6,16,15,12,12,10,9,18,9,10,8,9,8,6,17,12,9,7,7,11,6,16,13,11,11,6,11,7,6,10,13,9,16
7,16,18,15,12,12,11,22,9,12,11,11,9,6,21,14,10,8,9,14,8,17,15,13,12,7,12,8,7,12,15,10,18
8,17,18,16,14,12,14,24,11,16,12,13,11,7,21,16,11,10,10,17,8,18,17,13,13,9,17,9,11,17,17,10,19
9,19,20,16,16,14,16,25,12,19,13,15,13,8,24,17,12,12,10,18,10,20,18,15,15,11,19,11,13,21,17,10,23
10,22,21,18,17,17,16,26,16,19,16,15,14,9,26,20,12,13,10,20,10,21,21,15,18,11,21,11,14,25,18,11,23
11,22,23,21,17,20,18,28,19,21,16,17,14,10,28,21,13,14,11,20,12,23,22,16,21,11,23,11,17,28,19,13,23
12,23,23,22,20,22,18,30,22,25,17,17,19,13,29,21,15,14,12,25,12,25,22,17,24,11,25,14,19,31,20,14,27
13,26,25,23,24,24,18,30,23,26,17,18,21,15,32,23,16,18,13,29,13,27,22,18,26,13,26,15,23,31,22,14,29
14,27,30,24,25,26,19,31,29,27,18,20,23,17,34,28,17,18,13,35,14,28,24,21,27,13,26,16,26,31,22,14,29
15,30,31,25,26,27,19,37,31,27,18,20,25,20,35,29,20,18,14,36,14,28,24,21,28,15,32,18,26,32,25,15,30
16,31,33,25,27,29,20,38,31,28,18,20,26,21,38,30,21,21,15,40,15,31,24,22,32,16,32,18,29,33,26,15,31
17,34,33,26,28,32,24,39,32,28,18,21,27,22,40,34,24,21,17,42,16,33,24,22,32,16,34,18,32,34,27,17,31
18,34,38,28,29,33,26,46,33,30,19,21,29,23,41,38,25,22,19,47,16,39,25,23,39,18,34,19,36,35,28,18,37
19,34,40,28,31,35,28,48,33,33,21,23,31,24,42,40,28,22,20,49,17,41,25,23,40,19,34,20,37,36,30,19,37
20,35,41,30,31,38,30,51,34,34,22,24,33,26,44,42,32,24,23,53,19,42,28,23,42,21,36,22,39,38,32,21,38
21,37,42,31,31,41,30,51,34,36,23,24,34,26,47,43,33,24,23,57,20,45,28,23,45,22,37,23,43,39,34,22,40
22,39,45,34,33,47,32,54,34,37,23,24,34,26,50,46,34,28,23,57,21,45,28,23,49,22,37,23,43,41,40,23,43
23,39,45,36,34,47,34,54,34,39,23,24,34,27,52,47,36,28,25,59,21,47,28,23,49,24,37,23,45,41,42,25,44
24,42,45,37,36,48,35,55,38,41,24,26,35,28,54,51,37,30,26,61,23,49,30,24,51,24,40,24,46,42,42,25,45
25,43,45,39,36,49,36,58,39,42,25,26,36,28,56,53,37,31,26,63,24,49,31,24,53,25,42,24,47,43,45,26,45
26,43,47,41,36,50,37,59,40,44,25,28,36,28,57,55,37,31,28,65,24,50,31,25,54,25,44,24,49,44,46,26,47
27,44,47,42,38,50,37,61,42,45,25,30,36,28,59,55,37,31,29,67,26,50,31,26,57,25,44,27,50,46,47,26,48
28,47,48,42,39,51,38,63,43,46,27,32,39,29,62,58,39,31,30,68,26,54,31,28,60,28,46,28,50,46,51,27,49
29,48,53,44,42,53,38,66,43,49,29,33,40,30,65,63,40,31,30,69,27,54,33,31,61,28,49,28,53,46,51,30,49
