,Genk scored,Genk received,Club Brugge scored,Club Brugge received,Standard scored,Standard received,Lokeren scored,Lokeren received,Waregem scored,Waregem received,Kortrijk scored,Kortrijk received,Cercle Brugge scored,Cercle Brugge received,Gent scored,Gent received,Bergen scored,Bergen received,Waasland-Beveren scored,Waasland-Beveren received,Anderlecht scored,Anderlecht received,Lierse scored,Lierse received,Oud-Heverlee Leuven scored,Oud-Heverlee Leuven received,Oostende scored,Oostende received,Charleroi scored,Charleroi received,Mechelen scored,Mechelen received
0,3,0,2,0,2,0,3,2,2,1,1,0,1,1,1,1,1,1,1,1,2,3,1,2,0,1,0,3,0,2,0,2
1,4,1,2,1,3,0,2,1,1,0,0,1,0,4,2,1,1,2,1,1,4,0,0,3,1,4,1,2,1,1,1,2
2,0,2,1,1,2,0,3,3,1,1,3,3,1,1,1,4,1,2,0,0,4,1,1,1,1,1,1,1,2,1,0,0
3,1,3,2,1,1,0,3,1,2,0,2,1,2,0,2,1,0,2,0,3,3,0,1,2,0,1,0,2,1,2,1,2
4,1,0,1,1,2,0,1,2,1,1,1,2,0,1,1,1,0,2,0,1,5,2,1,0,2,1,1,1,2,5,2,1
5,1,1,2,1,2,0,1,0,4,3,0,2,1,1,1,0,0,1,1,2,3,4,0,0,1,1,0,1,1,1,0,0
6,5,2,4,1,4,2,3,0,2,5,3,0,0,3,0,3,1,1,1,1,5,0,1,4,0,0,2,4,0,0,0,5
7,0,0,4,0,2,1,1,2,4,2,0,2,0,2,1,1,2,4,0,0,0,4,2,0,2,4,1,1,2,0,4,2
8,1,0,1,0,5,0,2,4,4,2,2,1,0,5,1,1,0,1,1,2,2,0,0,2,1,1,1,0,0,1,0,1
9,2,1,1,0,0,1,1,2,1,0,1,0,2,1,1,2,1,2,2,0,0,1,2,1,0,1,0,2,2,1,1,2
10,4,0,1,4,2,2,2,2,1,1,4,1,1,1,2,2,0,2,2,4,2,0,0,4,4,2,0,3,2,2,3,0
11,2,0,0,2,1,1,2,0,1,1,1,0,1,1,1,1,0,1,0,2,1,1,0,2,2,4,2,0,1,1,4,2
12,1,0,0,2,2,2,1,0,3,2,0,1,2,0,2,3,2,2,2,2,3,0,0,1,2,2,0,3,2,2,2,2
13,3,2,1,0,1,0,0,1,2,2,2,0,1,0,0,1,2,3,0,1,3,1,2,1,1,3,0,2,1,2,2,2
14,0,1,0,0,0,0,4,0,2,0,1,3,3,1,1,0,0,2,0,2,1,0,0,2,2,0,2,0,0,1,0,4
15,0,4,3,0,1,0,0,3,3,1,1,1,2,4,2,0,0,1,0,2,1,2,4,2,1,1,4,0,2,1,1,3
16,3,0,2,0,5,0,0,1,1,1,1,1,1,2,1,0,1,0,0,0,2,1,0,5,0,3,0,2,0,0,0,1
17,0,2,3,0,0,0,2,0,1,1,1,1,0,2,3,1,1,1,0,2,2,0,1,3,0,0,2,0,1,1,0,3
18,1,3,2,2,3,1,0,0,3,0,0,0,2,1,1,2,1,2,0,0,2,1,0,3,1,2,2,1,2,2,0,0
19,0,1,3,1,1,1,2,0,2,2,2,5,1,0,1,3,2,0,3,1,1,1,1,3,0,2,2,2,0,2,5,2
20,0,3,1,2,5,1,3,0,0,1,1,5,0,3,0,1,1,0,2,1,1,0,3,0,3,0,0,3,3,0,0,3
21,0,1,1,1,2,0,3,0,1,0,1,0,0,3,0,1,1,4,4,1,1,2,1,1,0,2,0,2,2,0,2,1
22,1,2,0,2,1,0,0,1,0,1,3,4,3,0,2,1,0,2,1,2,2,0,4,3,1,0,2,1,0,3,2,0
23,2,0,2,1,4,0,1,1,1,1,1,1,0,4,2,0,1,2,1,1,0,2,2,0,0,2,1,0,0,1,0,2
24,1,3,3,1,2,0,3,1,0,2,2,2,0,0,0,0,1,5,0,0,2,2,5,1,0,0,0,0,1,3,0,0
25,1,0,3,1,1,0,1,1,2,1,1,3,1,2,1,1,0,2,1,0,2,0,0,1,0,1,1,1,0,1,1,1
26,0,2,5,2,2,3,2,1,2,3,1,2,3,2,3,2,2,1,2,0,1,2,2,3,2,5,3,2,3,2,2,3
27,0,2,1,0,0,1,0,1,2,2,4,0,0,4,2,1,3,0,2,2,2,0,0,0,0,0,0,3,1,2,1,0
28,3,1,1,1,2,0,0,0,1,1,0,0,1,4,4,1,1,3,0,0,0,1,1,1,1,0,0,0,1,1,0,2
29,2,2,2,0,1,1,2,1,1,0,2,2,0,2,0,1,3,2,1,1,4,0,1,2,2,3,0,4,3,0,0,3
