,Genk scored,Genk received,Club Brugge scored,Club Brugge received,Standard scored,Standard received,Lokeren scored,Lokeren received,Waregem scored,Waregem received,Kortrijk scored,Kortrijk received,Cercle Brugge scored,Cercle Brugge received,Gent scored,Gent received,Bergen scored,Bergen received,Waasland-Beveren scored,Waasland-Beveren received,Anderlecht scored,Anderlecht received,Lierse scored,Lierse received,Oud-Heverlee Leuven scored,Oud-Heverlee Leuven received,Oostende scored,Oostende received,Charleroi scored,Charleroi received,Mechelen scored,Mechelen received
0,3,0,2,0,2,0,3,2,2,1,1,0,1,1,1,1,1,1,1,1,2,3,1,2,0,1,0,3,0,2,0,2
1,7,1,4,1,5,0,5,3,3,1,1,1,1,5,3,2,2,3,2,2,6,3,1,5,1,5,1,5,1,3,1,4
2,7,3,5,2,7,0,8,6,4,2,4,4,2,6,4,6,3,5,2,2,10,4,2,6,2,6,2,6,3,4,1,4
3,8,6,7,3,8,0,11,7,6,2,6,5,4,6,6,7,3,7,2,5,13,4,3,8,2,7,2,8,4,6,2,6
4,9,6,8,4,10,0,12,9,7,3,7,7,4,7,7,8,3,9,2,6,18,6,4,8,4,8,3,9,6,11,4,7
5,10,7,10,5,12,0,13,9,11,6,7,9,5,8,8,8,3,10,3,8,21,10,4,8,5,9,3,10,7,12,4,7
6,15,9,14,6,16,2,16,9,13,11,10,9,5,11,8,11,4,11,4,9,26,10,5,12,5,9,5,14,7,12,4,12
7,15,9,18,6,18,3,17,11,17,13,10,11,5,13,9,12,6,15,4,9,26,14,7,12,7,13,6,15,9,12,8,14
8,16,9,19,6,23,3,19,15,21,15,12,12,5,18,10,13,6,16,5,11,28,14,7,14,8,14,7,15,9,13,8,15
9,18,10,20,6,23,4,20,17,22,15,13,12,7,19,11,15,7,18,7,11,28,15,9,15,8,15,7,17,11,14,9,17
10,22,10,21,10,25,6,22,19,23,16,17,13,8,20,13,17,7,20,9,15,30,15,9,19,12,17,7,20,13,16,12,17
11,24,10,21,12,26,7,24,19,24,17,18,13,9,21,14,18,7,21,9,17,31,16,9,21,14,21,9,20,14,17,16,19
12,25,10,21,14,28,9,25,19,27,19,18,14,11,21,16,21,9,23,11,19,34,16,9,22,16,23,9,23,16,19,18,21
13,28,12,22,14,29,9,25,20,29,21,20,14,12,21,16,22,11,26,11,20,37,17,11,23,17,26,9,25,17,21,20,23
14,28,13,22,14,29,9,29,20,31,21,21,17,15,22,17,22,11,28,11,22,38,17,11,25,19,26,11,25,17,22,20,27
15,28,17,25,14,30,9,29,23,34,22,22,18,17,26,19,22,11,29,11,24,39,19,15,27,20,27,15,25,19,23,21,30
16,31,17,27,14,35,9,29,24,35,23,23,19,18,28,20,22,12,29,11,24,41,20,15,32,20,30,15,27,19,23,21,31
17,31,19,30,14,35,9,31,24,36,24,24,20,18,30,23,23,13,30,11,26,43,20,16,35,20,30,17,27,20,24,21,34
18,32,22,32,16,38,10,31,24,39,24,24,20,20,31,24,25,14,32,11,26,45,21,16,38,21,32,19,28,22,26,21,34
19,32,23,35,17,39,11,33,24,41,26,26,25,21,31,25,28,16,32,14,27,46,22,17,41,21,34,21,30,22,28,26,36
20,32,26,36,19,44,12,36,24,41,27,27,30,21,34,25,29,17,32,16,28,47,22,20,41,24,34,21,33,25,28,26,39
21,32,27,37,20,46,12,39,24,42,27,28,30,21,37,25,30,18,36,20,29,48,24,21,42,24,36,21,35,27,28,28,40
22,33,29,37,22,47,12,39,25,42,28,31,34,24,37,27,31,18,38,21,31,50,24,25,45,25,36,23,36,27,31,30,40
23,35,29,39,23,51,12,40,26,43,29,32,35,24,41,29,31,19,40,22,32,50,26,27,45,25,38,24,36,27,32,30,42
24,36,32,42,24,53,12,43,27,43,31,34,37,24,41,29,31,20,45,22,32,52,28,32,46,25,38,24,36,28,35,30,42
25,37,32,45,25,54,12,44,28,45,32,35,40,25,43,30,32,20,47,23,32,54,28,32,47,25,39,25,37,28,36,31,43
26,37,34,50,27,56,15,46,29,47,35,36,42,28,45,33,34,22,48,25,32,55,30,34,50,27,44,28,39,31,38,33,46
27,37,36,51,27,56,16,46,30,49,37,40,42,28,49,35,35,25,48,27,34,57,30,34,50,27,44,28,42,32,40,34,46
28,40,37,52,28,58,16,46,30,50,38,40,42,29,53,39,36,26,51,27,34,57,31,35,51,28,44,28,42,33,41,34,48
29,42,39,54,28,59,17,48,31,51,38,42,44,29,55,39,37,29,53,28,35,61,31,36,53,30,47,28,46,36,41,34,51
