,Waregem scored,Waregem received,Club Brugge scored,Club Brugge received,Genk scored,Genk received,Anderlecht scored,Anderlecht received,St Truiden scored,St Truiden received,Charleroi scored,Charleroi received,Westerlo scored,Westerlo received,Gent scored,Gent received,Kortrijk scored,Kortrijk received,Oostende scored,Oostende received,Mouscron scored,Mouscron received,Waasland-Beveren scored,Waasland-Beveren received,Mechelen scored,Mechelen received,Eupen scored,Eupen received,Lokeren scored,Lokeren received,Standard scored,Standard received
0,3,0,2,0,2,1,2,1,1,0,1,0,2,2,1,1,1,1,1,2,1,2,0,1,0,2,0,3,0,1,2,2
1,2,0,0,1,0,1,5,1,0,2,1,0,0,3,1,0,1,5,1,0,0,1,0,2,2,0,0,2,3,0,2,0
2,1,0,1,0,2,2,0,0,0,0,1,1,1,2,1,1,0,0,2,1,1,2,2,2,0,0,2,1,0,1,0,1
3,1,1,1,2,3,0,2,2,1,2,0,0,2,4,4,2,2,1,1,1,2,1,2,2,2,2,2,2,0,3,0,0
4,0,1,2,2,1,0,2,2,1,2,3,2,1,2,2,2,2,1,2,1,1,2,1,2,2,1,2,3,2,1,2,2
5,5,1,0,1,0,2,3,2,0,2,2,3,1,4,3,0,4,1,1,2,1,5,1,0,2,0,2,1,0,3,2,0
6,2,1,3,2,0,2,2,0,4,1,0,0,1,3,0,1,1,2,1,0,3,1,1,4,0,0,2,3,0,1,1,0
7,3,2,3,0,1,4,1,2,1,2,2,1,2,1,2,1,4,1,1,2,0,3,1,1,2,3,0,3,1,1,3,0
8,1,1,1,0,2,1,1,0,2,2,1,1,1,0,0,1,1,2,2,2,4,1,0,1,1,2,1,4,2,1,0,1
9,0,3,0,1,2,2,1,0,2,2,1,0,2,2,3,0,3,3,3,2,2,2,4,2,2,3,2,4,0,1,3,3
10,2,0,2,1,1,0,1,2,0,1,0,0,0,0,2,3,2,2,2,2,0,2,0,5,2,0,3,2,0,2,5,0
11,2,0,4,0,1,2,2,0,0,2,2,1,0,4,1,0,1,1,2,1,0,0,0,0,0,2,1,1,1,2,0,1
12,0,0,0,0,2,1,1,2,2,2,2,2,1,2,0,2,1,0,3,1,0,1,2,1,2,0,2,2,2,2,1,3
13,2,1,1,1,1,1,1,1,2,4,1,2,1,2,2,0,2,1,1,1,1,2,0,2,0,0,4,2,0,0,2,1
14,3,2,1,0,2,0,2,3,0,1,2,1,0,5,2,0,1,1,5,0,0,2,1,1,2,1,0,2,1,2,1,2
15,1,4,6,1,0,6,7,0,0,1,1,0,3,3,3,0,0,3,6,0,0,7,0,1,1,6,3,3,1,0,4,1
16,1,1,2,0,1,2,3,1,1,0,1,3,0,0,0,0,1,3,0,2,0,1,1,1,1,0,0,1,2,1,3,1
17,1,1,0,0,0,0,0,0,1,0,2,2,1,3,1,1,0,1,1,1,1,4,0,0,4,1,2,2,1,1,3,1
18,1,1,5,1,2,2,4,0,3,1,2,0,1,3,1,3,1,5,1,1,0,2,0,2,2,0,0,4,3,1,2,2
19,1,0,4,1,0,1,3,2,1,3,0,1,0,0,2,3,0,2,2,0,0,0,3,1,1,0,1,4,1,1,1,1
20,0,0,2,1,2,0,2,0,2,2,0,2,4,1,0,2,1,4,1,3,1,2,0,0,0,0,3,1,0,0,2,2
21,3,2,3,0,1,0,3,1,1,3,0,1,2,1,1,0,2,3,1,0,2,1,0,1,1,2,0,1,1,2,0,3
22,1,0,2,1,3,0,4,2,2,1,2,1,2,4,0,0,0,3,1,2,0,1,1,2,1,2,2,2,0,0,2,2
23,1,2,0,2,0,1,0,0,3,0,2,1,0,0,2,0,2,1,0,3,3,0,0,0,1,0,0,3,1,2,0,0
24,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,3,0,2,0,0,1,2,0,0,2,0,2,0,0,0,3
25,2,4,0,1,3,0,4,2,0,3,2,1,1,2,0,1,0,2,2,1,1,2,0,1,2,0,1,0,1,0,1,0
26,4,1,2,1,1,1,4,1,1,4,1,1,1,2,1,1,0,1,1,4,1,2,2,1,3,0,1,0,0,3,1,1
27,0,5,5,0,0,2,2,0,0,1,1,0,0,4,3,1,1,2,4,0,1,3,2,1,2,2,2,1,1,2,2,2
28,2,2,1,2,2,1,2,3,2,1,1,1,2,2,3,2,1,1,0,0,1,0,2,3,3,2,1,2,0,0,0,1
29,3,1,2,2,4,0,3,0,2,2,0,0,0,4,3,0,0,2,2,2,2,0,0,3,0,3,1,3,0,0,2,2
