,Waregem scored,Waregem received,Club Brugge scored,Club Brugge received,Genk scored,Genk received,Anderlecht scored,Anderlecht received,St Truiden scored,St Truiden received,Charleroi scored,Charleroi received,Westerlo scored,Westerlo received,Gent scored,Gent received,Kortrijk scored,Kortrijk received,Oostende scored,Oostende received,Mouscron scored,Mouscron received,Waasland-Beveren scored,Waasland-Beveren received,Mechelen scored,Mechelen received,Eupen scored,Eupen received,Lokeren scored,Lokeren received,Standard scored,Standard received
0,3,0,2,0,2,1,2,1,1,0,1,0,2,2,1,1,1,1,1,2,1,2,0,1,0,2,0,3,0,1,2,2
1,5,0,2,1,2,2,7,2,1,2,2,0,2,5,2,1,2,6,2,2,1,3,0,3,2,2,0,5,3,1,4,2
2,6,0,3,1,4,4,7,2,1,2,3,1,3,7,3,2,2,6,4,3,2,5,2,5,2,2,2,6,3,2,4,3
3,7,1,4,3,7,4,9,4,2,4,3,1,5,11,7,4,4,7,5,4,4,6,4,7,4,4,4,8,3,5,4,3
4,7,2,6,5,8,4,11,6,3,6,6,3,6,13,9,6,6,8,7,5,5,8,5,9,6,5,6,11,5,6,6,5
5,12,3,6,6,8,6,14,8,3,8,8,6,7,17,12,6,10,9,8,7,6,13,6,9,8,5,8,12,5,9,8,5
6,14,4,9,8,8,8,16,8,7,9,8,6,8,20,12,7,11,11,9,7,9,14,7,13,8,5,10,15,5,10,9,5
7,17,6,12,8,9,12,17,10,8,11,10,7,10,21,14,8,15,12,10,9,9,17,8,14,10,8,10,18,6,11,12,5
8,18,7,13,8,11,13,18,10,10,13,11,8,11,21,14,9,16,14,12,11,13,18,8,15,11,10,11,22,8,12,12,6
9,18,10,13,9,13,15,19,10,12,15,12,8,13,23,17,9,19,17,15,13,15,20,12,17,13,13,13,26,8,13,15,9
10,20,10,15,10,14,15,20,12,12,16,12,8,13,23,19,12,21,19,17,15,15,22,12,22,15,13,16,28,8,15,20,9
11,22,10,19,10,15,17,22,12,12,18,14,9,13,27,20,12,22,20,19,16,15,22,12,22,15,15,17,29,9,17,20,10
12,22,10,19,10,17,18,23,14,14,20,16,11,14,29,20,14,23,20,22,17,15,23,14,23,17,15,19,31,11,19,21,13
13,24,11,20,11,18,19,24,15,16,24,17,13,15,31,22,14,25,21,23,18,16,25,14,25,17,15,23,33,11,19,23,14
14,27,13,21,11,20,19,26,18,16,25,19,14,15,36,24,14,26,22,28,18,16,27,15,26,19,16,23,35,12,21,24,16
15,28,17,27,12,20,25,33,18,16,26,20,14,18,39,27,14,26,25,34,18,16,34,15,27,20,22,26,38,13,21,28,17
16,29,18,29,12,21,27,36,19,17,26,21,17,18,39,27,14,27,28,34,20,16,35,16,28,21,22,26,39,15,22,31,18
17,30,19,29,12,21,27,36,19,18,26,23,19,19,42,28,15,27,29,35,21,17,39,16,28,25,23,28,41,16,23,34,19
18,31,20,34,13,23,29,40,19,21,27,25,19,20,45,29,18,28,34,36,22,17,41,16,30,27,23,28,45,19,24,36,21
19,32,20,38,14,23,30,43,21,22,30,25,20,20,45,31,21,28,36,38,22,17,41,19,31,28,23,29,49,20,25,37,22
20,32,20,40,15,25,30,45,21,24,32,25,22,24,46,31,23,29,40,39,25,18,43,19,31,28,23,32,50,20,25,39,24
21,35,22,43,15,26,30,48,22,25,35,25,23,26,47,32,23,31,43,40,25,20,44,19,32,29,25,32,51,21,27,39,27
22,36,22,45,16,29,30,52,24,27,36,27,24,28,51,32,23,31,46,41,27,20,45,20,34,30,27,34,53,21,27,41,29
23,37,24,45,18,29,31,52,24,30,36,29,25,28,51,34,23,33,47,41,30,23,45,20,34,31,27,34,56,22,29,41,29
24,38,25,46,18,30,31,52,24,30,37,29,26,29,51,35,24,36,47,43,30,23,46,22,34,31,29,34,58,22,29,41,32
25,40,29,46,19,33,31,56,26,30,40,31,27,30,53,35,25,36,49,45,31,24,48,22,35,33,29,35,58,23,29,42,32
26,44,30,48,20,34,32,60,27,31,44,32,28,31,55,36,26,36,50,46,35,25,50,24,36,36,29,36,58,23,32,43,33
27,44,35,53,20,34,34,62,27,31,45,33,28,31,59,39,27,37,52,50,35,26,53,26,37,38,31,38,59,24,34,45,35
28,46,37,54,22,36,35,64,30,33,46,34,29,33,61,42,29,38,53,50,35,27,53,28,40,41,33,39,61,24,34,45,36
29,49,38,56,24,40,35,67,30,35,48,34,29,33,65,45,29,38,55,52,37,29,53,28,43,41,36,40,64,24,34,47,38
