,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Waasland-Beveren,Beerschot VA,Genk,St Truiden,Charleroi,Standard,Mechelen,Anderlecht,Eupen,Oud-Heverlee Leuven,Antwerp,Mouscron,Gent,Oostende,Waregem,Cercle Brugge,Club Brugge,Kortrijk
1,Beerschot VA,Standard,Charleroi,Anderlecht,Genk,Mechelen,Club Brugge,Waasland-Beveren,Cercle Brugge,Kortrijk,St Truiden,Oud-Heverlee Leuven,Antwerp,Mouscron,Eupen,Gent,Oostende,Waregem
2,Beerschot VA,Charleroi,Standard,Cercle Brugge,Anderlecht,Genk,Mechelen,Antwerp,Kortrijk,St Truiden,Club Brugge,Waregem,Waasland-Beveren,Mouscron,Oud-Heverlee Leuven,Eupen,Oostende,Gent
3,Charleroi,Standard,Beerschot VA,Kortrijk,Club Brugge,Anderlecht,Waregem,Cercle Brugge,Oud-Heverlee Leuven,Genk,St Truiden,Mechelen,Antwerp,Gent,Waasland-Beveren,Eupen,Oostende,Mouscron
4,Charleroi,Standard,Beerschot VA,Kortrijk,Club Brugge,Anderlecht,Waregem,Cercle Brugge,Oud-Heverlee Leuven,Genk,St Truiden,Mechelen,Antwerp,Gent,Waasland-Beveren,Eupen,Oostende,Mouscron
5,Charleroi,Standard,Beerschot VA,Kortrijk,Club Brugge,Anderlecht,Waregem,Cercle Brugge,Oud-Heverlee Leuven,Genk,St Truiden,Mechelen,Antwerp,Gent,Waasland-Beveren,Eupen,Oostende,Mouscron
6,Charleroi,Standard,Beerschot VA,Kortrijk,Club Brugge,Anderlecht,Waregem,Cercle Brugge,Oud-Heverlee Leuven,Genk,St Truiden,Mechelen,Antwerp,Gent,Waasland-Beveren,Eupen,Oostende,Mouscron
7,Charleroi,Standard,Beerschot VA,Kortrijk,Club Brugge,Anderlecht,Waregem,Cercle Brugge,Oud-Heverlee Leuven,Genk,St Truiden,Mechelen,Antwerp,Gent,Waasland-Beveren,Eupen,Oostende,Mouscron
8,Charleroi,Standard,Beerschot VA,Kortrijk,Club Brugge,Anderlecht,Waregem,Cercle Brugge,Oud-Heverlee Leuven,Genk,St Truiden,Mechelen,Antwerp,Gent,Waasland-Beveren,Eupen,Oostende,Mouscron
9,Charleroi,Standard,Beerschot VA,Kortrijk,Club Brugge,Anderlecht,Waregem,Cercle Brugge,Oud-Heverlee Leuven,Genk,St Truiden,Mechelen,Antwerp,Gent,Waasland-Beveren,Eupen,Oostende,Mouscron
10,Charleroi,Standard,Beerschot VA,Kortrijk,Club Brugge,Anderlecht,Waregem,Cercle Brugge,Oud-Heverlee Leuven,Genk,St Truiden,Mechelen,Antwerp,Gent,Waasland-Beveren,Eupen,Oostende,Mouscron
11,Charleroi,Standard,Beerschot VA,Kortrijk,Club Brugge,Anderlecht,Waregem,Cercle Brugge,Oud-Heverlee Leuven,Genk,St Truiden,Mechelen,Antwerp,Gent,Waasland-Beveren,Eupen,Oostende,Mouscron
12,Charleroi,Standard,Beerschot VA,Kortrijk,Club Brugge,Anderlecht,Waregem,Cercle Brugge,Oud-Heverlee Leuven,Genk,St Truiden,Mechelen,Antwerp,Gent,Waasland-Beveren,Eupen,Oostende,Mouscron
13,Charleroi,Standard,Beerschot VA,Kortrijk,Club Brugge,Anderlecht,Waregem,Cercle Brugge,Oud-Heverlee Leuven,Genk,St Truiden,Mechelen,Antwerp,Gent,Waasland-Beveren,Eupen,Oostende,Mouscron
14,Charleroi,Standard,Beerschot VA,Kortrijk,Club Brugge,Anderlecht,Waregem,Cercle Brugge,Oud-Heverlee Leuven,Genk,St Truiden,Mechelen,Antwerp,Gent,Waasland-Beveren,Eupen,Oostende,Mouscron
15,Charleroi,Standard,Beerschot VA,Kortrijk,Club Brugge,Anderlecht,Waregem,Cercle Brugge,Oud-Heverlee Leuven,Genk,St Truiden,Mechelen,Antwerp,Gent,Waasland-Beveren,Eupen,Oostende,Mouscron
16,Charleroi,Standard,Beerschot VA,Kortrijk,Club Brugge,Anderlecht,Waregem,Cercle Brugge,Oud-Heverlee Leuven,Genk,St Truiden,Mechelen,Antwerp,Gent,Waasland-Beveren,Eupen,Oostende,Mouscron
17,Charleroi,Standard,Beerschot VA,Kortrijk,Club Brugge,Anderlecht,Waregem,Cercle Brugge,Oud-Heverlee Leuven,Genk,St Truiden,Mechelen,Antwerp,Gent,Waasland-Beveren,Eupen,Oostende,Mouscron
18,Charleroi,Standard,Beerschot VA,Kortrijk,Club Brugge,Anderlecht,Waregem,Cercle Brugge,Oud-Heverlee Leuven,Genk,St Truiden,Mechelen,Antwerp,Gent,Waasland-Beveren,Eupen,Oostende,Mouscron
19,Charleroi,Standard,Beerschot VA,Kortrijk,Club Brugge,Anderlecht,Waregem,Cercle Brugge,Oud-Heverlee Leuven,Genk,St Truiden,Mechelen,Antwerp,Gent,Waasland-Beveren,Eupen,Oostende,Mouscron
20,Charleroi,Standard,Beerschot VA,Kortrijk,Club Brugge,Anderlecht,Waregem,Cercle Brugge,Oud-Heverlee Leuven,Genk,St Truiden,Mechelen,Antwerp,Gent,Waasland-Beveren,Eupen,Oostende,Mouscron
21,Charleroi,Standard,Beerschot VA,Kortrijk,Club Brugge,Anderlecht,Waregem,Cercle Brugge,Oud-Heverlee Leuven,Genk,St Truiden,Mechelen,Antwerp,Gent,Waasland-Beveren,Eupen,Oostende,Mouscron
22,Charleroi,Standard,Beerschot VA,Kortrijk,Club Brugge,Anderlecht,Waregem,Cercle Brugge,Oud-Heverlee Leuven,Genk,St Truiden,Mechelen,Antwerp,Gent,Waasland-Beveren,Eupen,Oostende,Mouscron
23,Charleroi,Standard,Beerschot VA,Kortrijk,Club Brugge,Anderlecht,Waregem,Cercle Brugge,Oud-Heverlee Leuven,Genk,St Truiden,Mechelen,Antwerp,Gent,Waasland-Beveren,Eupen,Oostende,Mouscron
24,Charleroi,Standard,Beerschot VA,Kortrijk,Club Brugge,Anderlecht,Waregem,Cercle Brugge,Oud-Heverlee Leuven,Genk,St Truiden,Mechelen,Antwerp,Gent,Waasland-Beveren,Eupen,Oostende,Mouscron
25,Charleroi,Standard,Beerschot VA,Kortrijk,Club Brugge,Anderlecht,Waregem,Cercle Brugge,Oud-Heverlee Leuven,Genk,St Truiden,Mechelen,Antwerp,Gent,Waasland-Beveren,Eupen,Oostende,Mouscron
26,Charleroi,Standard,Beerschot VA,Kortrijk,Club Brugge,Anderlecht,Waregem,Cercle Brugge,Oud-Heverlee Leuven,Genk,St Truiden,Mechelen,Antwerp,Gent,Waasland-Beveren,Eupen,Oostende,Mouscron
27,Charleroi,Standard,Beerschot VA,Kortrijk,Club Brugge,Anderlecht,Waregem,Cercle Brugge,Oud-Heverlee Leuven,Genk,St Truiden,Mechelen,Antwerp,Gent,Waasland-Beveren,Eupen,Oostende,Mouscron
28,Charleroi,Standard,Beerschot VA,Kortrijk,Club Brugge,Anderlecht,Waregem,Cercle Brugge,Oud-Heverlee Leuven,Genk,St Truiden,Mechelen,Antwerp,Gent,Waasland-Beveren,Eupen,Oostende,Mouscron
29,Charleroi,Standard,Beerschot VA,Kortrijk,Club Brugge,Anderlecht,Waregem,Cercle Brugge,Oud-Heverlee Leuven,Genk,St Truiden,Mechelen,Antwerp,Gent,Waasland-Beveren,Eupen,Oostende,Mouscron
30,Charleroi,Standard,Beerschot VA,Kortrijk,Club Brugge,Anderlecht,Waregem,Cercle Brugge,Oud-Heverlee Leuven,Genk,St Truiden,Mechelen,Antwerp,Gent,Waasland-Beveren,Eupen,Oostende,Mouscron
31,Charleroi,Standard,Beerschot VA,Kortrijk,Club Brugge,Anderlecht,Waregem,Cercle Brugge,Oud-Heverlee Leuven,Genk,St Truiden,Mechelen,Antwerp,Gent,Waasland-Beveren,Eupen,Oostende,Mouscron
32,Charleroi,Standard,Beerschot VA,Kortrijk,Club Brugge,Anderlecht,Waregem,Cercle Brugge,Oud-Heverlee Leuven,Genk,St Truiden,Mechelen,Antwerp,Gent,Waasland-Beveren,Eupen,Oostende,Mouscron
