,Waasland-Beveren scored,Waasland-Beveren received,Beerschot scored,Beerschot received,Genk scored,Genk received,St Truiden scored,St Truiden received,Charleroi scored,Charleroi received,Standard scored,Standard received,Mechelen scored,Mechelen received,Anderlecht scored,Anderlecht received,Eupen scored,Eupen received,Oud-Heverlee Leuven scored,Oud-Heverlee Leuven received,Antwerp scored,Antwerp received,Mouscron scored,Mouscron received,Gent scored,Gent received,Oostende scored,Oostende received,Waregem scored,Waregem received,Cercle Brugge scored,Cercle Brugge received,Club Brugge scored,Club Brugge received,Kortrijk scored,Kortrijk received
0,3,1,2,1,2,1,2,1,1,0,1,0,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,0,1,0,1,1,3
1,4,3,5,2,3,2,3,4,2,0,3,1,3,2,5,3,1,5,2,2,2,3,1,2,2,4,1,3,2,5,2,2,4,1,3,4
2,5,7,6,2,3,2,3,4,5,1,3,1,5,5,6,4,1,5,3,5,3,3,2,3,2,5,1,3,6,6,5,4,4,2,3,4
3,6,10,6,5,4,4,4,5,7,1,6,1,5,6,8,6,2,6,6,6,3,5,2,4,3,5,3,5,7,6,5,5,6,3,4,4
4,7,14,11,7,6,9,6,8,9,1,6,2,5,7,10,6,4,7,7,6,6,7,2,7,4,7,4,5,7,8,5,7,10,4,7,4
5,9,18,12,10,9,10,6,11,12,2,8,3,6,10,14,8,6,9,8,9,8,9,2,8,5,7,7,6,7,14,8,7,16,4,8,6
6,9,18,12,10,9,10,6,11,12,2,8,3,6,10,14,8,6,9,8,9,8,9,2,8,5,7,7,6,7,14,8,7,16,4,8,6
7,9,18,12,10,9,10,6,11,12,2,8,3,6,10,14,8,6,9,8,9,8,9,2,8,5,7,7,6,7,14,8,7,16,4,8,6
8,9,18,12,10,9,10,6,11,12,2,8,3,6,10,14,8,6,9,8,9,8,9,2,8,5,7,7,6,7,14,8,7,16,4,8,6
9,9,18,12,10,9,10,6,11,12,2,8,3,6,10,14,8,6,9,8,9,8,9,2,8,5,7,7,6,7,14,8,7,16,4,8,6
10,9,18,12,10,9,10,6,11,12,2,8,3,6,10,14,8,6,9,8,9,8,9,2,8,5,7,7,6,7,14,8,7,16,4,8,6
11,9,18,12,10,9,10,6,11,12,2,8,3,6,10,14,8,6,9,8,9,8,9,2,8,5,7,7,6,7,14,8,7,16,4,8,6
12,9,18,12,10,9,10,6,11,12,2,8,3,6,10,14,8,6,9,8,9,8,9,2,8,5,7,7,6,7,14,8,7,16,4,8,6
13,9,18,12,10,9,10,6,11,12,2,8,3,6,10,14,8,6,9,8,9,8,9,2,8,5,7,7,6,7,14,8,7,16,4,8,6
14,9,18,12,10,9,10,6,11,12,2,8,3,6,10,14,8,6,9,8,9,8,9,2,8,5,7,7,6,7,14,8,7,16,4,8,6
15,9,18,12,10,9,10,6,11,12,2,8,3,6,10,14,8,6,9,8,9,8,9,2,8,5,7,7,6,7,14,8,7,16,4,8,6
16,9,18,12,10,9,10,6,11,12,2,8,3,6,10,14,8,6,9,8,9,8,9,2,8,5,7,7,6,7,14,8,7,16,4,8,6
17,9,18,12,10,9,10,6,11,12,2,8,3,6,10,14,8,6,9,8,9,8,9,2,8,5,7,7,6,7,14,8,7,16,4,8,6
18,9,18,12,10,9,10,6,11,12,2,8,3,6,10,14,8,6,9,8,9,8,9,2,8,5,7,7,6,7,14,8,7,16,4,8,6
19,9,18,12,10,9,10,6,11,12,2,8,3,6,10,14,8,6,9,8,9,8,9,2,8,5,7,7,6,7,14,8,7,16,4,8,6
20,9,18,12,10,9,10,6,11,12,2,8,3,6,10,14,8,6,9,8,9,8,9,2,8,5,7,7,6,7,14,8,7,16,4,8,6
21,9,18,12,10,9,10,6,11,12,2,8,3,6,10,14,8,6,9,8,9,8,9,2,8,5,7,7,6,7,14,8,7,16,4,8,6
22,9,18,12,10,9,10,6,11,12,2,8,3,6,10,14,8,6,9,8,9,8,9,2,8,5,7,7,6,7,14,8,7,16,4,8,6
23,9,18,12,10,9,10,6,11,12,2,8,3,6,10,14,8,6,9,8,9,8,9,2,8,5,7,7,6,7,14,8,7,16,4,8,6
24,9,18,12,10,9,10,6,11,12,2,8,3,6,10,14,8,6,9,8,9,8,9,2,8,5,7,7,6,7,14,8,7,16,4,8,6
25,9,18,12,10,9,10,6,11,12,2,8,3,6,10,14,8,6,9,8,9,8,9,2,8,5,7,7,6,7,14,8,7,16,4,8,6
26,9,18,12,10,9,10,6,11,12,2,8,3,6,10,14,8,6,9,8,9,8,9,2,8,5,7,7,6,7,14,8,7,16,4,8,6
