,Anderlecht scored,Anderlecht received,Standard scored,Standard received,Waregem scored,Waregem received,Club Brugge scored,Club Brugge received,FC Brussels scored,FC Brussels received,Westerlo scored,Westerlo received,Charleroi scored,Charleroi received,St Truiden scored,St Truiden received,Genk scored,Genk received,Lokeren scored,Lokeren received,Roeselare scored,Roeselare received,Gent scored,Gent received,Lierse scored,Lierse received,Cercle Brugge scored,Cercle Brugge received,Mouscron scored,Mouscron received,Germinal scored,Germinal received,Beveren scored,Beveren received,Louvieroise scored,Louvieroise received
0,6,0,3,1,3,1,2,0,2,0,2,0,2,0,1,0,1,1,1,1,0,1,1,3,1,3,0,2,0,2,0,2,0,2,0,6
1,8,0,5,2,4,3,3,1,3,1,3,0,2,0,1,1,1,1,3,1,1,1,2,4,2,3,0,4,0,4,0,3,0,3,1,7
2,11,1,7,2,4,3,4,1,3,2,4,1,3,0,1,3,2,2,4,1,1,2,3,4,3,7,0,5,0,5,1,6,4,4,1,7
3,14,4,10,4,8,5,5,2,5,4,4,2,5,2,2,3,5,5,4,5,5,2,4,6,4,8,2,9,1,5,3,7,4,5,3,10
4,17,5,11,7,10,6,7,3,5,7,7,2,6,3,3,5,5,7,5,5,6,3,6,6,4,9,2,9,2,8,4,9,7,6,3,10
5,18,6,14,7,11,9,8,3,6,8,9,2,6,3,4,7,8,8,7,6,6,5,8,7,4,9,2,12,3,10,5,10,7,7,4,11
6,23,7,16,7,15,10,8,5,7,10,9,2,6,4,5,7,11,10,8,8,7,10,10,8,4,9,5,12,4,14,5,13,9,8,6,14
7,23,7,18,9,16,11,8,6,8,11,10,2,7,5,5,8,14,11,9,8,8,11,11,9,4,9,6,15,6,15,7,15,10,9,7,16
8,26,7,20,10,18,12,11,9,11,11,14,3,10,8,5,11,16,13,10,10,9,13,12,10,5,10,7,15,6,16,9,17,11,13,7,19
9,27,7,21,10,20,12,13,10,12,13,15,5,12,12,6,12,16,14,14,12,13,14,13,11,5,12,9,16,10,17,10,21,11,14,8,23
10,29,9,22,10,21,17,15,12,13,13,16,6,12,13,11,13,17,14,15,13,15,16,16,11,5,13,11,18,10,18,10,22,11,17,9,23
11,31,11,23,12,22,19,17,13,14,13,17,8,14,14,12,16,17,15,17,15,20,17,17,13,5,17,15,18,12,19,11,27,13,18,12,24
12,34,12,24,12,24,20,18,15,15,14,17,9,15,17,13,18,21,16,19,16,21,21,18,15,5,21,17,19,13,20,15,27,13,20,14,24
13,35,14,25,15,27,22,22,15,18,15,19,10,17,17,14,20,23,17,21,19,26,21,18,17,6,23,18,24,13,25,17,28,18,21,14,28
14,35,16,27,15,30,22,23,15,19,15,20,10,17,20,14,22,25,17,22,20,26,22,18,18,6,28,18,25,18,25,20,29,19,24,15,29
15,38,16,27,15,32,24,25,15,20,16,22,12,17,22,17,28,27,17,24,21,26,22,18,21,7,29,19,27,24,28,20,31,19,26,17,29
16,40,17,28,17,33,26,27,17,20,16,25,12,17,24,17,28,29,19,25,23,28,22,20,22,7,31,21,27,25,31,22,32,22,27,17,32
17,40,17,30,17,34,28,28,17,23,17,27,14,18,24,18,29,31,21,27,25,29,23,22,23,7,33,23,29,25,32,22,33,23,30,17,32
18,42,19,31,19,36,29,31,17,23,20,28,17,20,25,19,30,32,23,28,26,30,24,25,23,8,34,25,31,26,33,25,34,24,31,17,35
19,42,21,31,19,38,31,32,18,24,21,28,19,21,25,19,30,34,23,29,27,31,25,27,24,10,34,26,33,26,34,27,34,24,33,19,37
20,46,22,32,20,41,32,35,19,24,22,28,24,22,25,20,31,35,27,31,29,33,27,29,25,11,37,27,36,31,34,28,36,25,34,20,38
21,47,22,34,20,41,34,37,21,25,22,28,25,22,27,22,33,37,28,31,31,35,27,30,27,13,37,28,36,31,35,30,36,25,36,20,39
22,49,22,41,21,42,34,38,21,25,24,31,27,22,28,24,34,37,29,32,33,37,30,30,27,14,37,29,43,31,35,31,37,25,37,21,40
23,51,22,42,22,43,34,39,22,25,25,32,29,23,29,25,35,42,29,35,34,37,32,31,27,16,38,29,48,31,36,36,37,26,40,21,45
24,54,22,45,23,43,34,39,24,25,25,34,30,27,29,26,37,43,30,37,34,39,33,32,29,16,41,30,49,31,36,37,40,26,44,21,45
25,54,25,45,23,46,34,41,25,25,25,35,34,28,31,29,37,44,30,37,34,39,36,35,30,17,44,30,55,37,36,37,41,30,45,21,45
26,58,25,46,23,46,35,41,25,26,25,35,34,31,32,29,38,44,31,38,37,39,36,36,30,18,44,30,56,37,37,38,41,30,49,21,45
27,60,25,46,23,46,37,41,27,26,26,37,37,31,32,31,38,44,32,41,39,40,36,37,30,18,44,30,57,38,37,39,41,30,50,21,45
28,61,26,48,24,48,39,42,31,26,27,38,38,32,33,33,38,45,32,42,40,42,38,41,31,18,47,33,57,39,39,41,43,32,52,21,47
29,62,27,50,24,49,41,44,32,26,28,38,40,33,34,34,39,47,33,43,42,43,40,43,32,18,49,34,58,40,39,43,43,33,52,21,48
30,67,27,51,24,50,42,45,32,26,29,38,45,35,36,34,43,48,33,44,43,44,40,45,34,18,50,35,59,40,40,47,43,34,53,21,49
31,69,27,51,26,50,44,47,32,27,29,38,46,37,36,36,45,50,35,47,45,44,41,46,34,20,50,35,61,40,42,47,43,34,53,23,52
32,69,27,51,26,51,46,48,33,29,30,40,47,39,38,36,48,52,35,47,47,44,41,46,34,21,52,37,61,43,42,48,44,34,55,25,54
33,72,27,51,28,51,49,51,33,30,30,42,48,39,39,36,49,52,38,48,49,44,42,48,34,22,52,38,61,43,43,50,45,35,55,26,56
