,Anderlecht scored,Anderlecht received,Standard scored,Standard received,Mouscron scored,Mouscron received,Westerlo scored,Westerlo received,Gent scored,Gent received,Roeselare scored,Roeselare received,Kortrijk scored,Kortrijk received,Germinal scored,Germinal received,Genk scored,Genk received,Mechelen scored,Mechelen received,Lokeren scored,Lokeren received,Waregem scored,Waregem received,Club Brugge scored,Club Brugge received,Tubize scored,Tubize received,Charleroi scored,Charleroi received,Dender scored,Dender received,Cercle Brugge scored,Cercle Brugge received,Bergen scored,Bergen received
0,3,0,3,1,2,1,1,0,5,0,2,2,2,2,1,1,1,1,1,1,0,0,0,0,1,1,1,2,0,1,1,3,0,3,0,5
1,2,2,3,0,3,1,0,3,2,2,0,1,2,1,1,1,1,3,1,3,4,1,0,2,2,0,1,4,1,0,1,1,1,2,3,1
2,4,0,1,1,2,1,1,0,2,0,1,1,0,4,0,1,1,0,0,2,0,1,2,0,4,1,1,4,0,2,1,2,2,1,1,2
3,2,1,2,0,4,2,1,1,2,4,0,3,0,2,3,0,3,1,0,0,1,1,1,3,1,1,0,0,3,2,1,1,2,3,1,2
4,2,0,1,0,0,0,0,0,1,2,0,1,1,0,0,1,0,1,2,1,1,0,0,2,1,0,0,1,0,2,2,0,1,0,0,1
5,1,2,2,1,1,2,0,2,2,2,0,2,2,1,2,2,2,1,4,1,1,1,1,0,2,0,0,1,1,2,1,4,1,1,2,0
6,2,1,1,4,1,2,3,2,1,1,0,1,0,0,0,0,2,1,1,2,1,1,2,3,1,0,2,1,1,1,1,2,4,1,1,1
7,0,4,2,1,2,0,3,1,1,0,0,2,0,2,1,2,4,2,1,3,2,0,4,0,3,1,0,1,2,1,2,4,1,3,1,2
8,7,1,0,0,2,2,4,1,3,0,0,3,2,2,0,0,0,0,1,7,1,1,3,0,0,3,1,4,1,1,2,1,1,2,0,0
9,3,1,1,2,0,1,2,2,2,0,2,1,1,4,1,3,3,1,1,2,0,0,0,2,4,1,1,3,2,1,2,2,1,0,0,0
10,2,3,3,1,0,0,1,0,1,1,1,2,0,0,1,3,0,1,0,0,3,2,0,2,2,2,2,1,2,2,1,1,2,0,0,0
11,1,1,1,1,2,1,3,2,2,3,1,1,0,1,2,2,1,1,0,0,1,1,2,2,1,1,3,0,1,2,1,0,0,3,0,0
12,2,0,3,1,1,3,0,2,2,3,2,2,1,0,0,2,3,2,1,2,2,0,0,1,2,1,2,3,3,2,2,2,2,1,1,2
13,2,0,0,0,2,0,2,1,4,0,0,4,3,3,0,3,3,2,0,0,0,2,4,2,3,0,3,3,2,4,0,2,2,3,1,2
14,5,1,1,2,0,3,0,1,1,3,1,0,3,1,3,0,1,3,2,1,2,0,2,1,0,2,1,5,1,2,2,5,3,1,5,2
15,3,0,4,1,1,2,1,2,1,1,0,3,1,1,1,2,1,0,2,1,1,1,2,1,1,4,2,1,0,1,1,1,2,1,1,2
16,2,0,2,1,5,1,0,0,1,2,3,4,0,0,2,0,0,2,2,2,2,2,2,2,1,5,0,2,2,0,0,2,4,3,2,2
17,1,2,3,2,1,1,2,1,2,1,1,2,2,1,4,1,1,4,0,3,2,1,1,2,3,0,1,1,1,2,2,3,2,1,1,2
18,2,1,1,0,2,2,0,1,1,2,3,1,1,0,1,0,2,0,2,2,1,2,3,1,1,3,2,1,1,3,0,1,0,1,0,2
19,3,1,3,0,0,2,1,2,5,2,0,3,1,3,2,1,2,1,1,1,1,2,1,1,3,1,1,3,2,5,2,0,1,1,1,1
20,3,2,2,0,0,2,1,0,2,0,2,2,0,2,2,2,1,2,5,1,0,1,2,1,2,0,1,5,2,2,0,2,2,2,2,3
21,1,0,4,0,0,0,0,0,3,3,1,2,1,1,1,1,2,0,3,3,2,1,1,0,0,2,0,4,0,1,0,1,1,1,1,1
22,4,2,2,4,1,1,1,1,1,3,3,2,1,1,3,1,1,1,2,1,0,0,6,0,1,1,0,6,1,1,1,2,0,0,2,3
23,1,1,4,0,1,1,1,1,1,0,1,2,0,3,3,0,1,2,2,1,0,1,1,1,2,1,0,4,3,0,4,0,0,4,0,3
24,2,0,1,0,0,2,0,1,2,0,2,0,2,3,0,0,4,3,1,0,3,2,0,2,3,1,0,2,0,0,3,4,1,3,0,1
25,1,2,2,0,1,0,2,1,4,1,0,0,0,1,2,0,0,2,2,1,0,0,0,0,1,4,1,2,0,0,1,0,0,1,0,2
26,2,0,0,1,1,0,3,1,1,0,1,0,2,3,0,2,3,0,0,1,2,0,0,1,3,2,0,3,1,0,1,3,0,1,0,2
27,0,0,3,1,3,2,4,1,1,1,1,0,1,1,1,3,1,4,1,1,0,0,3,1,2,1,0,1,1,2,1,1,1,3,2,3
28,1,0,1,0,0,1,0,2,2,0,1,0,1,2,1,2,0,1,1,0,0,1,2,1,0,1,1,4,1,0,2,1,4,1,0,1
29,1,0,3,0,0,3,0,1,2,2,1,3,1,5,0,1,2,2,0,1,1,0,5,1,3,2,3,1,1,3,3,1,1,0,2,3
30,4,0,4,1,0,3,2,0,3,1,1,3,2,2,2,0,2,1,1,4,3,0,0,1,0,2,2,2,1,0,0,4,1,2,0,2
31,1,1,0,0,3,1,1,0,2,1,0,1,1,0,1,3,0,1,2,1,3,2,0,0,2,3,1,1,1,2,0,0,1,2,0,0
32,3,1,2,0,0,2,1,2,2,0,1,3,0,2,3,1,0,3,1,3,0,2,2,0,0,2,1,1,3,0,2,0,2,1,1,1
33,2,0,1,0,1,4,1,3,0,1,1,2,3,1,0,1,0,2,3,0,0,3,3,0,4,1,1,0,2,1,1,2,2,1,0,3
