,Anderlecht scored,Anderlecht received,Standard scored,Standard received,Mouscron scored,Mouscron received,Westerlo scored,Westerlo received,Gent scored,Gent received,Roeselare scored,Roeselare received,Kortrijk scored,Kortrijk received,Germinal scored,Germinal received,Genk scored,Genk received,Mechelen scored,Mechelen received,Lokeren scored,Lokeren received,Waregem scored,Waregem received,Club Brugge scored,Club Brugge received,Tubize scored,Tubize received,Charleroi scored,Charleroi received,Dender scored,Dender received,Cercle Brugge scored,Cercle Brugge received,Bergen scored,Bergen received
0,3,0,3,1,2,1,1,0,5,0,2,2,2,2,1,1,1,1,1,1,0,0,0,0,1,1,1,2,0,1,1,3,0,3,0,5
1,5,2,6,1,5,2,1,3,7,2,2,3,4,3,2,2,2,4,2,4,4,1,0,2,3,1,2,6,1,1,2,4,1,5,3,6
2,9,2,7,2,7,3,2,3,9,2,3,4,4,7,2,3,3,4,2,6,4,2,2,2,7,2,3,10,1,3,3,6,3,6,4,8
3,11,3,9,2,11,5,3,4,11,6,3,7,4,9,5,3,6,5,2,6,5,3,3,5,8,3,3,10,4,5,4,7,5,9,5,10
4,13,3,10,2,11,5,3,4,12,8,3,8,5,9,5,4,6,6,4,7,6,3,3,7,9,3,3,11,4,7,6,7,6,9,5,11
5,14,5,12,3,12,7,3,6,14,10,3,10,7,10,7,6,8,7,8,8,7,4,4,7,11,3,3,12,5,9,7,11,7,10,7,11
6,16,6,13,7,13,9,6,8,15,11,3,11,7,10,7,6,10,8,9,10,8,5,6,10,12,3,5,13,6,10,8,13,11,11,8,12
7,16,10,15,8,15,9,9,9,16,11,3,13,7,12,8,8,14,10,10,13,10,5,10,10,15,4,5,14,8,11,10,17,12,14,9,14
8,23,11,15,8,17,11,13,10,19,11,3,16,9,14,8,8,14,10,11,20,11,6,13,10,15,7,6,18,9,12,12,18,13,16,9,14
9,26,12,16,10,17,12,15,12,21,11,5,17,10,18,9,11,17,11,12,22,11,6,13,12,19,8,7,21,11,13,14,20,14,16,9,14
10,28,15,19,11,17,12,16,12,22,12,6,19,10,18,10,14,17,12,12,22,14,8,13,14,21,10,9,22,13,15,15,21,16,16,9,14
11,29,16,20,12,19,13,19,14,24,15,7,20,10,19,12,16,18,13,12,22,15,9,15,16,22,11,12,22,14,17,16,21,16,19,9,14
12,31,16,23,13,20,16,19,16,26,18,9,22,11,19,12,18,21,15,13,24,17,9,15,17,24,12,14,25,17,19,18,23,18,20,10,16
13,33,16,23,13,22,16,21,17,30,18,9,26,14,22,12,21,24,17,13,24,17,11,19,19,27,12,17,28,19,23,18,25,20,23,11,18
14,38,17,24,15,22,19,21,18,31,21,10,26,17,23,15,21,25,20,15,25,19,11,21,20,27,14,18,33,20,25,20,30,23,24,16,20
15,41,17,28,16,23,21,22,20,32,22,10,29,18,24,16,23,26,20,17,26,20,12,23,21,28,18,20,34,20,26,21,31,25,25,17,22
16,43,17,30,17,28,22,22,20,33,24,13,33,18,24,18,23,26,22,19,28,22,14,25,23,29,23,20,36,22,26,21,33,29,28,19,24
17,44,19,33,19,29,23,24,21,35,25,14,35,20,25,22,24,27,26,19,31,24,15,26,25,32,23,21,37,23,28,23,36,31,29,20,26
18,46,20,34,19,31,25,24,22,36,27,17,36,21,25,23,24,29,26,21,33,25,17,29,26,33,26,23,38,24,31,23,37,31,30,20,28
19,49,21,37,19,31,27,25,24,41,29,17,39,22,28,25,25,31,27,22,34,26,19,30,27,36,27,24,41,26,36,25,37,32,31,21,29
20,52,23,39,19,31,29,26,24,43,29,19,41,22,30,27,27,32,29,27,35,26,20,32,28,38,27,25,46,28,38,25,39,34,33,23,32
21,53,23,43,19,31,29,26,24,46,32,20,43,23,31,28,28,34,29,30,38,28,21,33,28,38,29,25,50,28,39,25,40,35,34,24,33
22,57,25,45,23,32,30,27,25,47,35,23,45,24,32,31,29,35,30,32,39,28,21,39,28,39,30,25,56,29,40,26,42,35,34,26,36
23,58,26,49,23,33,31,28,26,48,35,24,47,24,35,34,29,36,32,34,40,28,22,40,29,41,31,25,60,32,40,30,42,35,38,26,39
24,60,26,50,23,33,33,28,27,50,35,26,47,26,38,34,29,40,35,35,40,31,24,40,31,44,32,25,62,32,40,33,46,36,41,26,40
25,61,28,52,23,34,33,30,28,54,36,26,47,26,39,36,29,40,37,37,41,31,24,40,31,45,36,26,64,32,40,34,46,36,42,26,42
26,63,28,52,24,35,33,33,29,55,36,27,47,28,42,36,31,43,37,37,42,33,24,40,32,48,38,26,67,33,40,35,49,36,43,26,44
27,63,28,55,25,38,35,37,30,56,37,28,47,29,43,37,34,44,41,38,43,33,24,43,33,50,39,26,68,34,42,36,50,37,46,28,47
28,64,28,56,25,38,36,37,32,58,37,29,47,30,45,38,36,44,42,39,43,33,25,45,34,50,40,27,72,35,42,38,51,41,47,28,48
29,65,28,59,25,38,39,37,33,60,39,30,50,31,50,38,37,46,44,39,44,34,25,50,35,53,42,30,73,36,45,41,52,42,47,30,51
30,69,28,63,26,38,42,39,33,63,40,31,53,33,52,40,37,48,45,40,48,37,25,50,36,53,44,32,75,37,45,41,56,43,49,30,53
31,70,29,63,26,41,43,40,33,65,41,31,54,34,52,41,40,48,46,42,49,40,27,50,36,55,47,33,76,38,47,41,56,44,51,30,53
32,73,30,65,26,41,45,41,35,67,41,32,57,34,54,44,41,48,49,43,52,40,29,52,36,55,49,34,77,41,47,43,56,46,52,31,54
33,75,30,66,26,42,49,42,38,67,42,33,59,37,55,44,42,48,51,46,52,40,32,55,36,59,50,35,77,43,48,44,58,48,53,31,57
