,Gent scored,Gent received,Anderlecht scored,Anderlecht received,Club Brugge scored,Club Brugge received,Mechelen scored,Mechelen received,St Truiden scored,St Truiden received,Germinal scored,Germinal received,Waregem scored,Waregem received,Lokeren scored,Lokeren received,Roeselare scored,Roeselare received,Standard scored,Standard received,Mouscron scored,Mouscron received,Genk scored,Genk received,Charleroi scored,Charleroi received,Cercle Brugge scored,Cercle Brugge received,Kortrijk scored,Kortrijk received,Westerlo scored,Westerlo received
0,3,1,2,0,2,1,4,1,2,2,1,1,1,1,1,1,1,1,2,2,0,0,0,0,1,2,1,3,0,2,1,4
1,5,2,5,2,4,1,5,3,2,2,2,2,3,3,1,3,1,1,3,3,0,0,2,2,1,2,3,6,1,3,2,5
2,6,3,8,2,5,3,7,4,4,3,2,3,5,5,2,5,2,6,8,4,0,0,3,3,2,2,5,8,1,3,2,8
3,10,4,10,2,7,5,10,5,6,4,3,6,5,7,3,9,3,8,9,5,0,0,4,3,3,3,5,8,3,5,2,9
4,10,5,11,3,10,7,10,7,8,4,4,7,7,8,3,9,4,11,10,6,0,0,5,4,6,4,7,11,4,5,3,11
5,15,6,12,5,11,8,10,10,10,5,6,8,7,10,4,11,5,16,13,6,0,0,6,5,6,8,11,11,6,5,3,11
6,16,7,13,6,15,9,13,12,11,5,8,9,7,10,5,14,7,19,16,7,0,0,7,7,8,9,12,13,6,6,4,15
7,17,9,13,6,18,10,15,13,13,9,9,9,8,13,7,15,8,21,17,8,0,0,11,9,9,11,13,14,6,7,6,16
8,18,12,14,6,18,10,15,14,13,11,9,10,11,14,11,16,9,22,19,8,0,0,12,10,10,15,14,14,6,9,8,16
9,18,12,16,10,22,12,17,14,14,13,12,11,13,15,11,18,12,24,20,8,0,0,12,11,13,18,16,17,9,12,9,19
10,18,13,18,10,23,12,19,15,14,13,12,15,17,15,12,19,12,26,20,10,0,0,13,13,13,20,17,18,11,12,11,19
11,20,14,20,10,26,14,19,17,15,15,12,15,18,16,12,21,14,29,21,11,0,0,15,13,14,21,18,19,12,13,12,20
12,20,15,22,10,27,14,19,19,15,16,13,15,20,18,12,23,16,31,21,11,0,0,17,13,16,23,18,21,14,13,14,22
13,22,15,24,10,28,17,19,19,16,20,17,16,20,20,12,23,18,31,24,12,0,0,17,15,16,25,20,22,14,13,15,24
14,24,16,27,11,29,19,20,23,17,21,19,17,24,21,12,24,19,34,25,14,0,0,18,17,16,25,21,23,16,14,16,24
15,27,17,28,11,30,19,20,25,19,21,22,17,25,21,12,25,19,37,25,16,0,0,18,17,16,26,22,26,16,15,18,24
16,32,19,31,12,31,19,22,30,19,21,24,19,25,22,12,26,19,37,27,18,0,0,18,17,16,26,23,29,17,15,18,24
17,34,20,33,12,32,20,23,31,19,23,24,19,26,22,12,26,20,37,27,19,0,0,19,19,16,26,23,30,19,15,18,26
18,35,20,36,14,34,23,24,31,21,24,24,20,28,24,12,27,21,39,30,21,0,0,21,21,18,29,23,30,20,16,19,27
19,37,22,38,16,36,24,26,36,26,26,25,20,29,24,12,29,21,42,32,21,0,0,21,22,21,29,24,32,20,16,19,28
20,41,22,40,17,40,25,27,36,26,26,25,22,30,26,14,29,21,46,32,23,0,0,21,22,21,30,26,32,21,20,19,28
21,43,24,44,17,42,26,29,37,28,27,26,26,30,26,15,31,22,48,32,27,0,0,24,23,22,33,30,33,23,22,20,30
22,43,24,44,17,42,28,29,37,28,29,26,29,32,26,16,35,26,49,32,27,0,0,26,23,22,34,31,33,26,22,20,30
23,43,26,49,17,42,28,30,39,28,30,26,34,34,26,17,39,27,50,35,28,0,0,27,24,26,35,33,34,27,25,21,30
24,43,26,50,19,43,29,31,41,30,31,27,35,35,27,19,40,27,52,35,29,0,0,28,24,27,37,35,34,29,26,22,31
25,44,27,52,19,44,30,33,42,30,31,28,36,36,28,19,44,27,54,36,29,0,0,29,26,27,39,39,34,31,26,22,32
26,44,28,54,19,46,31,33,44,31,31,28,36,37,29,20,47,28,55,37,31,0,0,32,27,27,43,40,37,34,27,26,32
27,45,29,56,20,47,32,34,45,32,32,29,37,37,29,21,47,29,57,37,31,0,0,32,28,27,43,41,37,35,28,26,33
28,47,30,58,20,48,32,34,45,34,32,29,39,38,30,22,50,29,58,38,32,0,0,32,30,28,45,42,39,38,29,28,34
29,49,30,62,20,52,33,36,46,35,35,30,43,39,32,22,54,29,58,38,34,0,0,33,31,28,45,45,40,39,30,28,34
