,Ath Madrid scored,Ath Madrid received,Barcelona scored,Barcelona received,Real Madrid scored,Real Madrid received,Espanol scored,Espanol received,Villarreal scored,Villarreal received,Mallorca scored,Mallorca received,Getafe scored,Getafe received,Osasuna scored,Osasuna received,Sevilla scored,Sevilla received,Valencia scored,Valencia received,Levante scored,Levante received,Zaragoza scored,Zaragoza received,Betis scored,Betis received,Santander scored,Santander received,Vallecano scored,Vallecano received,Ath Bilbao scored,Ath Bilbao received,Malaga scored,Malaga received,Granada scored,Granada received,Sp Gijon scored,Sp Gijon received,Sociedad scored,Sociedad received
0,4,0,4,1,4,1,3,0,3,0,1,0,2,1,1,1,1,1,1,1,0,0,0,0,1,1,1,2,0,1,1,4,1,4,0,3,0,3,0,4
1,0,0,5,0,6,0,0,1,0,5,1,0,1,1,0,0,2,1,4,3,1,1,0,6,1,0,3,4,1,1,1,1,1,2,0,1,1,2,2,1
2,0,1,2,2,4,2,2,1,2,2,0,1,2,4,2,1,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,2,4,0,0,4,1,2,2,2
3,4,0,8,0,0,1,1,2,0,1,0,1,0,1,0,8,1,0,1,0,1,0,2,1,3,2,0,4,1,0,2,3,1,0,1,0,0,1,0,1
4,4,0,2,2,0,0,1,0,2,0,0,2,0,1,0,0,0,0,2,2,2,1,3,4,4,3,0,0,1,2,0,1,1,0,0,1,0,4,1,0
5,0,5,5,0,6,2,1,3,1,1,2,1,1,0,1,1,1,0,0,1,3,1,0,0,0,1,0,0,2,6,1,1,0,0,1,1,0,0,1,2
6,0,0,1,0,4,0,0,4,2,2,2,2,2,3,2,2,0,0,1,0,1,0,2,2,0,1,1,1,1,1,2,1,3,2,0,1,0,1,1,2
7,0,0,3,0,4,1,1,0,0,0,1,1,0,0,1,3,2,1,1,1,3,0,2,0,1,4,0,3,0,1,3,1,0,3,0,0,1,2,0,2
8,1,1,0,0,4,0,1,0,0,3,1,1,0,0,3,0,0,0,1,1,3,0,0,3,0,2,0,1,2,0,1,1,0,4,0,2,2,0,0,0
9,0,3,1,0,3,0,1,0,0,3,1,2,2,2,2,2,2,2,1,0,3,2,0,1,0,1,2,2,2,0,3,0,0,2,0,1,2,1,2,3
