,Ath Madrid scored,Ath Madrid received,Barcelona scored,Barcelona received,Real Madrid scored,Real Madrid received,Espanol scored,Espanol received,Villarreal scored,Villarreal received,Mallorca scored,Mallorca received,Getafe scored,Getafe received,Osasuna scored,Osasuna received,Sevilla scored,Sevilla received,Valencia scored,Valencia received,Levante scored,Levante received,Zaragoza scored,Zaragoza received,Betis scored,Betis received,Santander scored,Santander received,Vallecano scored,Vallecano received,Ath Bilbao scored,Ath Bilbao received,Malaga scored,Malaga received,Granada scored,Granada received,Sp Gijon scored,Sp Gijon received,Sociedad scored,Sociedad received
0,4,0,4,1,4,1,3,0,3,0,1,0,2,1,1,1,1,1,1,1,0,0,0,0,1,1,1,2,0,1,1,4,1,4,0,3,0,3,0,4
1,4,0,9,1,10,1,3,1,3,5,2,0,3,2,1,1,3,2,5,4,1,1,0,6,2,1,4,6,1,2,2,5,2,6,0,4,1,5,2,5
2,4,1,11,3,14,3,5,2,5,7,2,1,5,6,3,2,5,4,6,4,1,1,0,6,3,1,4,6,1,2,3,7,6,6,0,8,2,7,4,7
3,8,1,19,3,14,4,6,4,5,8,2,2,5,7,3,10,6,4,7,4,2,1,2,7,6,3,4,10,2,2,5,10,7,6,1,8,2,8,4,8
4,12,1,21,5,14,4,7,4,7,8,2,4,5,8,3,10,6,4,9,6,4,2,5,11,10,6,4,10,3,4,5,11,8,6,1,9,2,12,5,8
5,12,6,26,5,20,6,8,7,8,9,4,5,6,8,4,11,7,4,9,7,7,3,5,11,10,7,4,10,5,10,6,12,8,6,2,10,2,12,6,10
6,12,6,27,5,24,6,8,11,10,11,6,7,8,11,6,13,7,4,10,7,8,3,7,13,10,8,5,11,6,11,8,13,11,8,2,11,2,13,7,12
7,12,6,30,5,28,7,9,11,10,11,7,8,8,11,7,16,9,5,11,8,11,3,9,13,11,12,5,14,6,12,11,14,11,11,2,11,3,15,7,14
8,13,7,30,5,32,7,10,11,10,14,8,9,8,11,10,16,9,5,12,9,14,3,9,16,11,14,5,15,8,12,12,15,11,15,2,13,5,15,7,14
9,13,10,31,5,35,7,11,11,10,17,9,11,10,13,12,18,11,7,13,9,17,5,9,17,11,15,7,17,10,12,15,15,11,17,2,14,7,16,9,17
10,16,11,36,5,36,7,12,13,12,17,9,16,11,16,14,18,12,9,16,10,17,7,10,20,11,16,8,17,10,14,16,16,13,18,4,15,8,17,9,18
11,18,14,38,7,43,8,12,13,12,17,9,16,14,18,15,25,12,9,18,10,17,9,12,22,11,16,8,17,14,14,18,18,13,18,4,15,10,19,9,22
12,21,16,42,7,46,10,12,13,13,17,11,18,15,20,15,25,13,11,20,13,19,12,12,26,11,17,9,20,14,14,20,19,16,19,6,17,12,20,9,22
13,22,20,42,8,50,11,13,15,14,19,13,19,16,20,17,26,14,11,22,14,23,12,12,27,13,20,10,22,15,16,20,20,18,20,7,17,12,24,12,24
14,25,21,47,8,53,11,14,17,14,20,14,20,16,23,19,27,17,11,24,15,23,17,12,28,14,22,11,22,16,19,21,21,20,23,8,17,12,27,15,26
15,27,25,50,9,54,14,18,19,15,21,15,20,17,23,20,28,17,12,25,17,24,17,12,29,16,23,12,23,17,22,22,22,21,24,8,18,15,28,16,27
16,27,27,54,9,60,16,20,20,16,23,16,22,19,24,22,29,19,18,27,17,25,19,13,31,18,23,12,23,17,26,24,23,21,26,10,19,16,30,16,27
17,27,27,55,10,65,17,21,21,18,25,16,22,19,24,22,29,20,20,29,19,25,19,13,32,20,23,13,23,19,27,24,23,21,26,11,24,16,32,16,27
18,30,27,59,12,67,18,21,21,18,28,17,24,20,25,22,31,20,20,29,20,25,22,14,33,22,27,15,23,21,28,27,23,22,28,12,26,18,33,17,27
19,31,28,63,13,70,18,22,23,21,30,18,24,21,26,22,35,21,22,33,20,25,23,15,33,24,28,16,24,21,29,27,26,23,32,14,27,20,36,18,28
20,32,28,63,13,73,19,23,23,21,30,18,25,23,27,22,36,22,24,35,22,26,25,16,36,25,30,18,26,23,32,30,28,25,33,16,28,21,41,23,29
21,32,28,65,14,74,19,26,26,23,31,19,25,23,28,23,37,23,26,35,22,27,26,17,38,25,31,19,27,25,33,33,31,26,35,18,29,22,42,24,31
22,32,28,67,17,78,21,26,28,26,32,20,28,23,30,26,39,23,28,39,22,29,30,19,38,27,32,19,27,27,33,34,33,29,36,19,32,22,46,26,31
23,33,29,72,18,82,21,27,29,26,36,24,28,24,31,26,41,25,28,40,27,32,35,19,40,29,32,19,31,32,36,37,33,29,39,23,33,23,47,27,35
24,34,31,74,19,83,21,28,31,28,38,24,29,25,32,28,42,27,29,41,29,34,36,20,45,30,33,20,32,32,37,39,35,34,40,24,35,24,48,28,35
25,35,32,77,20,88,21,28,36,29,40,25,30,26,35,29,43,28,30,42,29,37,37,22,46,31,36,22,36,36,39,41,35,37,41,24,36,25,51,28,37
26,37,32,79,20,91,23,33,37,30,42,27,32,28,36,31,44,28,31,44,31,37,38,22,49,33,39,22,38,37,44,42,37,38,41,24,38,26,51,31,37
27,38,34,81,20,92,24,36,38,30,43,29,33,29,36,32,45,28,33,47,31,38,38,23,50,33,42,23,41,40,44,42,40,39,42,26,39,27,53,31,38
28,40,35,86,23,93,25,37,39,31,44,32,35,29,36,32,45,31,33,48,33,41,39,25,51,34,43,23,44,42,48,43,42,43,44,29,44,29,56,32,41
29,40,36,88,23,98,26,38,41,33,44,32,37,32,37,34,45,34,33,49,36,41,41,26,51,35,44,24,45,42,50,44,43,45,45,29,47,30,57,33,46
30,43,36,90,23,103,27,38,41,33,44,33,40,32,40,35,50,37,34,50,37,42,42,28,52,37,44,24,46,42,54,44,45,45,47,30,47,31,59,37,46
31,43,38,94,24,103,27,40,43,34,47,33,40,34,40,35,56,37,35,50,37,44,42,29,56,40,45,24,49,48,54,45,45,48,47,30,47,31,61,39,48
32,44,42,98,24,107,28,40,45,36,48,36,40,34,44,37,56,40,35,54,38,46,45,29,59,41,46,24,52,49,58,47,47,49,49,32,49,34,63,40,49
33,45,42,100,25,110,29,44,45,37,49,36,41,39,45,37,57,41,40,54,42,47,47,30,59,42,46,25,53,49,59,48,47,50,50,32,50,35,66,41,50
34,48,43,101,27,112,30,45,48,38,50,37,41,39,46,38,58,42,41,58,42,48,48,30,60,42,50,25,54,50,61,49,47,51,51,33,50,37,67,42,51
35,50,45,108,27,115,30,45,51,39,51,40,42,40,49,39,59,42,44,58,43,51,49,32,60,44,52,25,57,50,68,49,49,52,51,34,53,40,67,45,51
36,52,46,112,27,117,31,45,55,39,52,41,42,40,49,40,59,47,46,59,43,51,50,34,61,45,54,26,59,52,73,49,49,53,53,35,55,42,68,45,52
37,53,46,114,29,121,32,46,56,39,53,42,46,40,51,44,61,48,47,59,44,54,50,36,61,47,56,28,63,53,73,49,52,54,53,35,56,42,69,46,52
