,Game Date,Home Team,Away Team,Home ATT,Away ATT,Home DEF,Away DEF,Home MID,Away MID,Home Win Odds,Draw Odds,Away Win Odds,Winner,Home win Odds not normal,Draw Odds not normal,Away win Odds not normal
0,18/08/12,Celta,Malaga,71,76,71,77,73,79,0.4102322069930669,0.28631435929319454,0.30345343371373856,2,2.306666666666667,3.3049999999999997,3.1183333333333327
1,18/08/12,Mallorca,Espanol,72,75,71,74,73,73,0.46491872929683165,0.2848823956514991,0.2501988750516694,1,2.033333333333333,3.318333333333333,3.7783333333333338
2,18/08/12,Sevilla,Getafe,78,74,74,74,74,75,0.5695940785824131,0.25221595135075897,0.17818997006682785,1,1.6450000000000002,3.7150000000000003,5.258333333333333
3,19/08/12,Ath Bilbao,Betis,79,75,76,74,75,76,0.50876792095279,0.2660397205926965,0.22519235845451357,2,1.845,3.528333333333333,4.168333333333333
4,19/08/12,Barcelona,Sociedad,86,77,84,75,84,74,0.857002546795948,0.10085083541759463,0.04214661778645746,1,1.0983333333333336,9.333333333333334,22.333333333333332
5,19/08/12,Levante,Ath Madrid,72,83,74,80,74,79,0.31120746294973556,0.28239482576275166,0.40639771128751284,X,3.0383333333333336,3.348333333333333,2.3266666666666667
6,19/08/12,Real Madrid,Valencia,84,80,82,78,85,79,0.7456312776696998,0.16286384222565287,0.0915048801046474,X,1.2566666666666666,5.753333333333333,10.24
7,20/08/12,La Coruna,Osasuna,73,70,72,74,72,71,0.46077730431549735,0.28003546200703516,0.2591872336774673,1,2.0400000000000005,3.356666666666667,3.6266666666666665
8,20/08/12,Vallecano,Granada,74,73,72,72,74,73,0.4303152410368609,0.28426489873249394,0.28541986023064525,1,2.1766666666666667,3.2949999999999995,3.2816666666666663
9,20/08/12,Zaragoza,Valladolid,76,73,72,73,71,74,0.45022144863597974,0.28093818394885145,0.2688403674151688,2,2.08,3.3333333333333326,3.483333333333333
10,25/08/12,Betis,Vallecano,75,74,74,72,76,74,0.5439476954440452,0.25974322035575637,0.19630908420019852,2,1.7166666666666668,3.595,4.756666666666667
11,25/08/12,Espanol,Zaragoza,75,76,74,72,73,71,0.5490920956557932,0.26293242482333246,0.1879754795208744,2,1.698,3.5460000000000003,4.96
12,25/08/12,Malaga,Mallorca,76,72,77,71,79,73,0.4911506382680559,0.27251556623551804,0.23633379549642605,X,1.8966666666666665,3.4183333333333334,3.9416666666666664
13,25/08/12,Sociedad,Celta,77,71,75,71,74,73,0.4612032967345443,0.2821288703972338,0.25666783286822176,1,2.0349999999999997,3.3266666666666667,3.6566666666666663
14,26/08/12,Getafe,Real Madrid,74,84,74,82,75,85,0.09533997513581899,0.17648548749567253,0.7281745373685086,1,9.801666666666668,5.295,1.2833333333333332
15,26/08/12,Granada,Sevilla,73,78,72,74,73,74,0.3229210209639623,0.28702261067832036,0.3900563683577174,X,2.905,3.268333333333333,2.405
16,26/08/12,Osasuna,Barcelona,70,86,74,84,71,84,0.07993553059062147,0.16139179939725268,0.758672670012126,2,11.674,5.782,1.23
17,26/08/12,Valencia,La Coruna,80,73,78,72,79,72,0.6478405687315062,0.22362958093712565,0.12852985033136818,X,1.436,4.16,7.2379999999999995
18,27/08/12,Ath Madrid,Ath Bilbao,83,79,80,76,79,75,0.5725653223950897,0.24761623929360896,0.17981843831130134,1,1.6383333333333336,3.7883333333333336,5.216666666666667
19,27/08/12,Valladolid,Levante,73,72,73,74,74,74,0.441478757298747,0.2847526773841588,0.27376856531709415,1,2.1166666666666667,3.2816666666666667,3.4133333333333327
20,01/09/12,Celta,Osasuna,71,70,71,74,73,71,0.46042648724243956,0.28654449231316637,0.25302902044439424,1,2.0516666666666663,3.2966666666666664,3.733333333333333
21,01/09/12,La Coruna,Getafe,73,74,72,74,72,75,0.4336366417871856,0.28762734214744967,0.2787360160653646,X,2.183333333333333,3.2916666666666665,3.396666666666667
22,01/09/12,Mallorca,Sociedad,72,77,71,75,73,74,0.4620327473799262,0.2856879223477086,0.2522793302723652,1,2.0466666666666664,3.31,3.7483333333333335
23,01/09/12,Zaragoza,Malaga,76,76,72,77,71,79,0.34961050006942673,0.291221942325873,0.35916755760470037,2,2.693333333333334,3.233333333333334,2.6216666666666666
24,02/09/12,Ath Bilbao,Valladolid,79,73,76,73,75,74,0.4634636938438038,0.276440053029073,0.2600962531271232,1,2.025,3.3949999999999996,3.608333333333333
25,02/09/12,Barcelona,Valencia,86,80,84,78,84,79,0.772129507925433,0.15312061112955597,0.07474988094501096,1,1.22,6.151999999999999,12.602
26,02/09/12,Levante,Espanol,72,75,74,74,74,73,0.42843617988832244,0.29029060523875855,0.28127321487291895,1,2.1979999999999995,3.2439999999999998,3.348
27,02/09/12,Real Madrid,Granada,84,73,82,72,85,73,0.8550053437833987,0.09796936230851444,0.04702529390808693,1,1.1,9.6,20.0
28,02/09/12,Vallecano,Sevilla,74,78,72,74,74,74,0.3441872629639521,0.28586227776356643,0.3699504592724816,X,2.728333333333333,3.285,2.5383333333333336
29,15/09/12,Getafe,Barcelona,74,86,74,84,75,84,0.093363300596787,0.17052657643248767,0.7361101229707253,2,10.0,5.4750000000000005,1.2683333333333333
30,15/09/12,Malaga,Levante,76,72,77,74,79,74,0.5568456278165209,0.25542211590853653,0.1877322562749425,1,1.675,3.651666666666667,4.968333333333333
31,15/09/12,Sevilla,Real Madrid,78,84,74,82,74,85,0.17063140721698136,0.22681491934940204,0.6025536734336165,1,5.45,4.1000000000000005,1.5433333333333337
32,15/09/12,Valencia,Celta,80,71,78,71,79,73,0.6395285234692379,0.22198090925818673,0.13849056727257536,1,1.4566666666666668,4.196666666666666,6.726666666666667
33,16/09/12,Ath Madrid,Vallecano,83,74,80,72,79,74,0.6861360153206936,0.19804490491613527,0.11581907976317113,1,1.3633333333333333,4.723333333333333,8.076666666666666
34,16/09/12,Espanol,Ath Bilbao,75,79,74,76,73,75,0.42721106088158445,0.2743977476812516,0.29839119143716397,X,2.1966666666666668,3.42,3.1449999999999996
35,16/09/12,Granada,La Coruna,73,73,72,72,73,72,0.4133197143278129,0.28773002221072413,0.29895026346146286,X,2.2566666666666664,3.241666666666667,3.1200000000000006
36,16/09/12,Osasuna,Mallorca,70,72,74,71,71,73,0.41848200942800123,0.2840992369348365,0.29741875363716236,X,2.2233333333333336,3.275,3.1283333333333334
37,16/09/12,Sociedad,Zaragoza,77,76,75,72,74,71,0.5145317064201402,0.26627137503483134,0.2191969185450286,1,1.8233333333333335,3.5233333333333334,4.28
38,17/09/12,Valladolid,Betis,73,75,73,74,74,76,0.44181922857742095,0.278675895039441,0.2795048763831379,2,2.1266666666666665,3.3716666666666666,3.3616666666666664
39,22/09/12,Barcelona,Granada,86,73,84,72,84,73,0.8864652524032881,0.08044910462670701,0.0330856429700048,1,1.0550000000000002,11.625,28.266666666666666
40,22/09/12,Betis,Espanol,75,75,74,74,76,73,0.4738355659642736,0.26673012554995573,0.25943430848577054,1,1.968333333333333,3.496666666666666,3.595
41,22/09/12,Celta,Getafe,71,74,71,74,73,75,0.47082977330670867,0.2740926635189128,0.2550775631743785,1,1.9783333333333335,3.3983333333333334,3.651666666666666
42,22/09/12,Zaragoza,Osasuna,76,70,72,74,71,71,0.41611062583108066,0.28820864904133126,0.295680725127588,1,2.2383333333333333,3.231666666666667,3.15
43,23/09/12,Ath Bilbao,Malaga,79,76,76,77,75,79,0.4255476891762492,0.2794830291469571,0.29496928167679376,X,2.21,3.3649999999999998,3.188333333333333
