,Barcelona scored,Barcelona received,Betis scored,Betis received,La Coruna scored,La Coruna received,Mallorca scored,Mallorca received,Sevilla scored,Sevilla received,Malaga scored,Malaga received,Vallecano scored,Vallecano received,Valladolid scored,Valladolid received,Ath Madrid scored,Ath Madrid received,Levante scored,Levante received,Real Madrid scored,Real Madrid received,Valencia scored,Valencia received,Espanol scored,Espanol received,Getafe scored,Getafe received,Celta scored,Celta received,Granada scored,Granada received,Zaragoza scored,Zaragoza received,Ath Bilbao scored,Ath Bilbao received,Osasuna scored,Osasuna received,Sociedad scored,Sociedad received
0,5,1,5,3,2,0,2,1,2,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,2,1,2,0,1,0,1,0,1,3,5,0,2,1,5
1,2,1,1,2,3,3,1,1,1,1,1,1,2,1,2,0,4,0,0,2,1,2,3,3,1,2,2,1,1,2,1,1,2,1,0,4,1,2,2,1
2,1,0,2,4,1,1,1,0,0,0,1,0,0,0,0,2,4,2,3,2,3,0,0,1,2,3,1,1,2,0,0,3,0,1,2,0,0,2,0,1
3,4,1,1,0,1,1,1,1,1,0,3,1,3,4,0,1,4,3,1,3,0,1,2,1,3,3,1,4,1,2,1,1,0,2,3,3,1,1,2,0
4,2,0,1,0,0,2,2,0,2,0,0,0,0,2,1,2,2,1,2,1,2,0,0,2,0,1,1,2,2,1,0,2,3,1,0,0,1,3,1,2
5,3,2,0,4,1,5,0,1,2,3,4,0,1,6,6,1,1,0,0,4,5,1,2,0,0,1,1,0,1,2,2,1,0,2,0,2,4,0,2,0
6,2,2,2,0,1,2,1,2,0,2,1,2,2,1,1,1,2,1,1,0,2,2,0,1,1,1,1,0,2,0,2,1,0,1,1,0,0,1,0,2
7,5,4,0,0,4,5,2,3,3,2,2,1,2,3,1,2,1,0,1,0,2,0,3,2,3,2,0,1,0,2,1,2,2,1,2,3,0,0,0,1
8,5,0,1,0,1,1,0,5,1,2,0,0,0,5,2,2,3,1,3,1,5,0,0,1,0,0,2,1,1,1,1,3,2,1,1,2,1,3,2,2
9,3,1,4,2,1,0,0,1,0,0,1,2,2,1,1,0,0,2,0,0,4,0,2,0,1,0,2,4,1,3,1,2,0,4,2,1,0,1,0,1
10,4,2,1,2,3,5,2,4,1,2,1,2,3,2,1,1,2,0,1,2,2,1,1,1,0,3,0,2,2,3,2,1,5,3,2,1,3,0,2,1
11,3,1,1,5,0,2,1,1,5,1,0,0,0,4,1,2,1,0,2,0,5,1,2,1,1,2,2,1,1,1,0,1,1,3,1,5,0,0,4,0
12,4,0,1,0,1,1,0,2,0,4,4,0,2,0,1,0,4,0,0,4,0,1,0,4,0,2,2,0,1,0,0,1,0,1,1,1,0,0,0,0
13,5,1,3,2,2,3,1,1,1,2,0,1,0,1,2,1,0,2,1,1,2,0,2,5,0,0,1,0,1,1,0,0,1,1,1,5,1,0,5,2
14,2,1,1,2,0,6,0,4,2,2,4,0,0,2,2,3,6,0,4,0,3,2,1,0,2,2,1,1,0,1,0,4,2,0,1,0,0,1,1,1
15,4,1,1,0,0,0,0,1,0,2,2,0,1,0,0,0,1,4,1,0,2,2,0,1,2,2,1,1,0,1,0,0,0,1,1,0,1,1,0,0
16,3,1,1,2,0,2,2,1,1,2,3,2,3,0,1,3,1,0,0,3,2,3,4,2,2,0,2,4,0,1,2,1,2,0,0,2,1,2,2,1
17,4,0,2,1,1,0,1,1,1,0,0,1,3,1,1,3,1,1,3,1,4,3,2,1,0,4,1,3,3,1,1,2,1,2,1,3,0,1,3,4
18,3,1,2,0,1,1,1,3,0,2,1,3,2,1,3,1,2,0,0,2,0,0,2,0,1,0,2,2,0,1,2,2,0,2,1,2,0,0,1,1
19,2,3,1,1,1,2,2,3,1,1,1,1,0,2,2,0,2,0,0,2,5,0,0,5,3,2,1,1,1,1,2,0,0,2,1,1,2,1,3,2
20,5,1,0,3,2,3,2,3,3,0,3,2,3,0,1,2,0,3,2,1,4,0,3,2,0,0,0,4,1,1,0,3,0,0,3,0,1,5,1,1
21,1,1,0,1,1,3,0,3,2,1,1,1,1,2,2,2,1,0,2,3,0,1,1,1,3,2,3,1,0,1,1,0,1,1,2,2,1,0,3,0
22,6,1,0,0,0,3,1,1,1,4,2,1,2,1,0,0,1,2,1,2,4,1,1,0,4,0,1,6,0,1,3,0,1,2,0,4,1,1,2,1
23,2,1,0,1,1,3,0,2,3,1,1,0,0,2,0,3,3,0,1,1,2,0,2,0,1,0,3,1,1,3,1,2,0,1,0,1,1,0,1,1
24,2,1,3,0,1,2,1,3,1,2,0,3,1,2,2,1,1,0,0,2,2,1,2,2,0,1,3,1,2,1,1,2,2,2,1,3,2,0,3,1
25,1,2,3,3,0,0,2,1,4,1,0,0,0,0,0,0,0,0,2,2,2,1,2,2,0,0,2,0,1,4,1,2,0,2,1,0,0,1,3,3
26,2,0,2,1,0,2,2,1,1,2,1,1,2,0,1,1,0,1,0,0,2,1,0,1,0,2,0,0,1,2,0,0,0,0,1,0,1,2,1,0
27,3,1,0,3,3,1,2,5,4,0,0,2,1,3,1,4,2,0,1,1,5,2,3,0,2,0,1,0,1,3,1,1,0,4,0,1,0,2,4,1
28,2,2,0,0,3,2,2,3,0,1,3,1,1,3,1,3,1,1,1,0,1,1,1,1,2,2,0,0,2,2,0,1,1,1,1,0,3,1,2,2
29,5,0,5,1,3,2,0,5,2,1,2,4,2,0,1,2,0,0,1,5,5,1,2,1,2,0,0,0,0,2,1,5,2,3,1,2,0,2,4,2
30,3,0,3,3,4,0,1,0,3,3,1,0,0,2,2,1,5,0,0,4,3,0,3,3,3,3,1,2,0,1,0,5,0,3,0,3,0,1,2,0
31,1,0,1,3,1,1,1,1,0,1,1,5,1,1,1,1,1,0,0,1,3,1,5,1,2,0,0,2,2,1,1,1,1,2,1,1,0,0,0,0
32,2,2,1,1,1,1,2,3,1,1,2,1,2,2,1,1,1,2,0,1,2,1,2,4,0,1,1,2,1,0,1,0,3,2,2,2,2,2,4,2
33,4,2,2,4,0,0,1,1,3,0,0,1,0,3,3,4,0,0,1,1,4,3,4,0,0,3,2,1,1,1,1,0,3,0,1,1,0,4,1,2
34,2,1,1,0,0,1,1,2,0,0,0,0,0,4,1,0,1,2,0,0,1,1,4,0,1,1,0,1,0,1,2,2,0,0,2,1,1,0,2,2
35,2,1,0,1,2,0,1,0,1,2,2,6,3,2,1,2,3,1,2,3,6,2,1,0,0,2,0,1,1,3,3,0,1,2,2,1,0,3,2,1
36,2,0,4,0,1,3,0,0,1,2,3,1,2,1,0,2,0,0,1,0,3,3,1,0,0,2,1,2,2,0,0,1,0,4,0,1,2,1,3,3
37,4,1,1,1,0,1,4,2,4,3,1,4,2,2,2,4,3,1,1,1,4,2,3,4,0,1,0,2,1,0,2,0,1,3,2,2,2,4,1,0
