,Barcelona scored,Barcelona received,Villarreal scored,Villarreal received,Ath Bilbao scored,Ath Bilbao received,Granada scored,Granada received,Ath Madrid scored,Ath Madrid received,Real Madrid scored,Real Madrid received,Sociedad scored,Sociedad received,Valencia scored,Valencia received,Vallecano scored,Vallecano received,Celta scored,Celta received,Espanol scored,Espanol received,Osasuna scored,Osasuna received,Betis scored,Betis received,Malaga scored,Malaga received,Elche scored,Elche received,Levante scored,Levante received,Sevilla scored,Sevilla received,Getafe scored,Getafe received,Valladolid scored,Valladolid received,Almeria scored,Almeria received
0,7,0,3,2,2,1,2,1,3,1,2,1,2,0,1,0,3,0,2,2,2,2,1,2,1,2,0,1,0,3,0,7,1,3,0,2,1,2,2,3
1,1,0,2,1,2,0,0,1,5,0,1,0,1,1,1,3,0,5,2,1,3,1,0,2,1,2,0,1,1,1,0,0,0,0,2,2,1,2,2,2
2,3,2,3,0,1,3,1,1,2,1,3,1,1,2,2,3,1,2,1,1,0,0,0,3,0,0,2,2,2,2,2,1,2,2,0,1,1,0,2,2
3,3,2,2,2,3,2,0,1,4,2,2,2,0,0,1,3,0,5,2,3,1,0,1,2,3,1,5,0,0,0,0,0,2,3,2,1,0,0,2,4
4,4,0,0,0,2,3,0,0,2,0,4,1,0,0,3,1,0,4,0,0,3,2,2,1,0,0,0,0,1,2,2,2,1,3,1,4,0,2,2,2
5,4,1,2,1,2,1,0,1,2,1,2,1,1,4,1,0,1,4,0,2,1,2,1,2,1,2,2,0,1,2,1,1,4,1,2,0,1,1,0,2
6,2,0,0,1,0,2,2,0,1,0,0,1,1,1,1,0,0,1,0,1,0,2,0,1,1,0,2,2,1,0,1,0,1,1,2,0,2,2,0,2
7,4,1,3,0,1,1,0,3,2,1,3,2,0,1,1,1,1,0,1,2,1,2,1,0,1,3,0,1,2,1,2,3,2,1,3,1,1,4,1,2
8,0,0,0,2,2,0,0,2,0,1,2,0,2,1,1,2,1,0,0,1,1,0,0,0,1,2,0,2,2,1,1,0,2,2,2,0,2,2,0,1
9,2,1,4,1,1,0,1,0,5,0,1,2,3,0,1,4,0,3,5,0,0,3,1,2,0,5,0,5,0,1,3,0,2,1,0,1,3,0,0,3
10,3,0,0,2,2,2,1,2,2,1,7,3,2,2,1,2,1,3,0,3,0,0,3,1,0,0,0,0,2,2,0,0,3,7,2,0,2,2,2,1
11,1,0,1,0,0,2,1,0,2,0,3,2,5,0,1,0,2,3,1,0,0,1,0,5,2,3,3,2,0,1,0,1,0,1,0,1,0,1,1,0
12,4,1,1,1,2,1,3,1,1,1,5,1,1,5,2,2,2,0,0,2,1,3,0,1,1,4,1,3,1,1,1,2,3,1,1,1,2,2,1,0
13,4,0,3,0,2,1,0,4,7,0,5,0,4,3,1,2,1,4,3,4,4,1,1,0,0,4,1,2,2,1,0,3,4,0,0,7,0,1,0,5
14,0,1,1,1,1,0,1,2,2,0,4,0,2,1,3,0,2,2,3,1,1,2,0,3,2,2,1,1,0,2,0,1,2,1,1,0,0,4,1,3
15,2,1,1,2,1,1,2,0,3,0,2,2,5,1,0,3,0,2,0,3,0,0,2,2,1,5,1,0,1,2,2,1,1,1,0,1,3,0,0,0
16,5,2,1,2,2,1,1,3,3,2,3,2,3,1,2,3,1,2,1,1,4,2,1,1,0,1,1,0,0,1,2,3,2,1,2,5,2,4,1,0
17,4,0,5,2,0,2,0,3,1,0,3,0,2,0,2,0,2,5,0,3,0,1,1,0,0,0,0,1,0,4,0,2,3,0,0,3,0,0,3,0
18,0,0,5,1,6,1,4,0,0,0,1,0,1,5,1,2,1,0,2,1,0,1,2,1,1,2,0,1,1,1,1,0,1,1,0,1,0,4,1,6
19,1,1,2,0,4,2,0,0,1,1,5,0,2,2,0,0,0,2,0,1,1,0,0,0,0,5,0,0,2,0,1,1,1,1,2,2,2,4,0,2
20,3,0,0,1,5,1,0,2,4,2,2,0,4,0,2,2,2,4,4,2,2,2,1,5,2,4,0,3,0,4,3,2,2,3,0,1,1,0,1,0
