,homeTeam,awayTeam,Home Team Rank,Away Team Rank,Home Team Scored Goals,Home Team Received Goals,Away Team Scored Goals,Away Team received Goals
0,Almeria,Espanol,10,8,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.6666666666666667
1,Granada,La Coruna,6,20,0.6666666666666666,1.0,,
2,Malaga,Ath Bilbao,5,14,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.3333333333333333
3,Sevilla,Valencia,9,11,1.0,0.6666666666666666,1.3333333333333333,1.6666666666666667
4,Barcelona,Elche,1,17,1.0,1.0,0.6666666666666666,1.0
5,Celta,Getafe,2,19,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.0
6,Eibar,Sociedad,7,15,,,1.0,1.3333333333333333
7,Levante,Villarreal,18,4,1.3333333333333333,0.3333333333333333,2.0,0.3333333333333333
8,Real Madrid,Cordoba,3,16,1.6666666666666667,1.6666666666666667,,
9,Vallecano,Ath Madrid,13,12,0.3333333333333333,3.0,0.6666666666666666,1.3333333333333333
10,Getafe,Almeria,19,10,1.6666666666666667,1.0,1.6666666666666667,0.6666666666666666
11,Valencia,Malaga,2,11,1.6666666666666667,1.0,0.6666666666666666,1.3333333333333333
12,Ath Bilbao,Levante,7,20,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.3333333333333333
13,Ath Madrid,Eibar,5,13,1.3333333333333333,1.0,,
14,Cordoba,Celta,17,3,,,1.3333333333333333,1.0
15,Espanol,Sevilla,15,4,1.0,2.0,1.6666666666666667,1.0
16,Elche,Granada,18,6,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.0
17,La Coruna,Vallecano,19,14,,,1.0,2.6666666666666665
18,Sociedad,Real Madrid,8,10,2.0,1.6666666666666667,1.6666666666666667,2.333333333333333
19,Villarreal,Barcelona,9,1,2.0,0.6666666666666666,0.6666666666666666,0.3333333333333333
20,Almeria,Cordoba,16,17,0.6666666666666666,0.3333333333333333,,
21,Barcelona,Ath Bilbao,1,12,1.3333333333333333,0.3333333333333333,1.0,0.6666666666666666
22,Celta,Sociedad,5,7,1.3333333333333333,1.6666666666666667,2.333333333333333,2.0
23,Malaga,Levante,10,20,0.3333333333333333,1.0,0.0,1.3333333333333333
24,Real Madrid,Ath Madrid,13,4,2.0,2.333333333333333,1.6666666666666667,1.0
25,Granada,Villarreal,6,8,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666
26,Sevilla,Getafe,3,14,2.333333333333333,0.6666666666666666,1.0,1.0
27,Valencia,Espanol,2,19,2.6666666666666665,0.6666666666666666,1.0,2.6666666666666665
28,Vallecano,Elche,18,9,1.6666666666666667,2.333333333333333,1.6666666666666667,2.0
29,Eibar,La Coruna,15,11,,,,
30,Elche,Eibar,9,15,1.6666666666666667,2.0,,
31,Ath Bilbao,Granada,15,5,1.0,1.0,0.6666666666666666,0.3333333333333333
32,Ath Madrid,Celta,4,8,2.0,1.3333333333333333,1.6666666666666667,1.6666666666666667
33,Espanol,Malaga,17,11,1.3333333333333333,2.333333333333333,0.6666666666666666,1.6666666666666667
34,La Coruna,Real Madrid,14,7,1.6666666666666667,3.333333333333333,3.6666666666666665,2.6666666666666665
35,Cordoba,Sevilla,18,3,1.0,1.6666666666666667,2.333333333333333,0.6666666666666666
36,Levante,Barcelona,20,1,0.0,2.6666666666666665,2.6666666666666665,0.0
37,Sociedad,Almeria,12,10,2.333333333333333,2.0,1.0,1.0
38,Villarreal,Vallecano,6,19,1.3333333333333333,1.0,2.0,3.0
39,Getafe,Valencia,16,2,0.3333333333333333,1.6666666666666667,3.0,0.3333333333333333
40,Celta,La Coruna,8,14,1.6666666666666667,1.6666666666666667,1.6666666666666667,3.333333333333333
41,Real Madrid,Elche,5,15,4.666666666666667,1.6666666666666667,1.3333333333333333,3.0
42,Almeria,Ath Madrid,12,4,1.0,1.0,1.6666666666666667,1.0
43,Eibar,Villarreal,9,7,1.0,0.6666666666666666,1.6666666666666667,1.0
44,Granada,Levante,8,16,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.6666666666666667
45,Malaga,Barcelona,10,2,0.6666666666666666,0.6666666666666666,2.333333333333333,0.0
46,Sevilla,Sociedad,3,14,2.0,0.3333333333333333,1.0,1.6666666666666667
47,Vallecano,Ath Bilbao,13,18,2.0,2.6666666666666665,0.3333333333333333,1.6666666666666667
48,Espanol,Getafe,11,19,1.6666666666666667,1.6666666666666667,0.0,2.333333333333333
49,Valencia,Cordoba,1,20,3.0,0.3333333333333333,0.6666666666666666,2.333333333333333
50,Elche,Celta,15,6,1.3333333333333333,3.0,2.0,1.6666666666666667
51,Ath Bilbao,Eibar,16,11,0.3333333333333333,1.0,1.0,0.3333333333333333
52,Ath Madrid,Sevilla,3,4,2.333333333333333,0.6666666666666666,1.3333333333333333,1.6666666666666667
53,Barcelona,Granada,1,10,3.6666666666666665,0.0,0.3333333333333333,2.333333333333333
54,Levante,Vallecano,18,9,0.3333333333333333,2.333333333333333,2.0,1.6666666666666667
55,Villarreal,Real Madrid,7,5,1.6666666666666667,1.6666666666666667,5.0,1.0
56,Cordoba,Espanol,20,12,0.3333333333333333,2.0,1.3333333333333333,0.6666666666666666
57,Getafe,Malaga,14,13,0.3333333333333333,1.6666666666666667,0.6666666666666666,1.0
58,La Coruna,Almeria,19,8,1.0,3.6666666666666665,1.0,0.6666666666666666
59,Sociedad,Valencia,15,2,0.6666666666666666,1.3333333333333333,2.333333333333333,0.3333333333333333
60,Getafe,Cordoba,14,20,0.3333333333333333,1.6666666666666667,0.3333333333333333,2.0
61,Almeria,Elche,9,16,1.0,1.0,1.0,2.6666666666666665
