,Barcelona scored,Barcelona received,Celta scored,Celta received,Real Madrid scored,Real Madrid received,Villarreal scored,Villarreal received,Malaga scored,Malaga received,Granada scored,Granada received,Eibar scored,Eibar received,Espanol scored,Espanol received,Sevilla scored,Sevilla received,Almeria scored,Almeria received,Valencia scored,Valencia received,Ath Madrid scored,Ath Madrid received,Vallecano scored,Vallecano received,Ath Bilbao scored,Ath Bilbao received,Sociedad scored,Sociedad received,Cordoba scored,Cordoba received,Elche scored,Elche received,Levante scored,Levante received,Getafe scored,Getafe received,La Coruna scored,La Coruna received
0,3,0,3,1,2,0,2,0,1,0,2,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,2,0,3,0,2,1,3,1,2
1,1,0,1,1,2,4,0,1,0,3,1,1,1,2,1,2,2,1,0,1,3,0,2,1,2,2,3,0,4,2,1,1,1,1,0,3,1,0,2,2
2,2,0,2,2,1,2,0,0,0,0,0,0,0,1,1,3,2,0,1,1,3,1,2,1,2,3,0,2,2,2,1,1,3,2,0,0,0,2,1,0
3,5,0,2,2,8,2,4,2,2,2,1,0,2,0,2,2,3,1,2,1,3,0,2,2,2,4,0,1,1,2,1,3,0,2,0,5,0,3,2,8
4,0,0,2,1,5,1,1,1,0,0,0,1,1,1,2,0,1,0,0,1,3,0,1,0,2,1,1,2,0,1,0,3,1,5,1,0,0,2,1,2
5,6,0,1,0,2,0,0,2,0,1,0,6,0,0,0,0,0,4,1,0,1,1,4,0,2,0,0,0,1,1,0,0,0,1,0,2,1,0,0,1
6,2,0,1,3,5,0,3,1,2,1,1,2,3,3,2,0,4,1,2,2,3,1,1,3,0,2,0,5,0,2,1,1,2,2,3,3,1,1,1,4
7,3,0,1,1,5,0,2,0,2,1,0,1,0,3,0,2,2,0,0,2,0,3,2,0,1,0,1,1,1,2,1,2,0,2,0,5,2,1,3,0
8,1,3,3,0,3,1,1,2,4,0,1,1,1,1,0,0,2,1,0,1,3,1,1,0,0,4,1,0,1,1,1,1,1,3,0,3,0,1,0,0
9,0,1,1,0,4,0,1,3,1,0,0,4,3,2,1,2,0,1,1,2,3,1,4,2,2,3,1,0,0,1,2,4,2,1,2,1,2,1,1,2
10,2,1,0,0,5,1,1,1,2,1,0,0,1,2,1,1,1,1,1,2,0,0,1,2,1,5,0,0,2,1,0,0,0,0,1,1,0,0,0,0
11,5,1,0,1,4,0,2,1,1,3,0,0,0,4,1,3,1,5,0,0,1,2,3,1,1,0,3,1,0,0,2,2,2,2,2,1,1,2,0,0
12,1,0,0,1,2,1,2,0,1,2,1,5,1,0,2,1,5,1,0,1,0,1,2,0,1,0,2,1,3,0,0,2,0,3,1,2,1,2,0,2
13,5,1,0,3,3,0,4,0,1,0,1,1,5,2,1,5,1,0,2,5,1,1,2,0,0,1,0,1,0,4,1,0,0,2,1,1,1,1,0,1
14,0,0,0,1,4,1,1,0,1,0,1,2,0,0,2,1,0,0,1,4,3,0,0,1,0,3,1,1,1,1,0,0,0,1,0,0,0,0,1,0
15,5,0,0,1,2,1,3,0,2,1,1,1,0,1,3,1,1,2,1,0,1,0,4,1,1,3,1,4,1,1,0,5,1,2,1,1,1,1,0,3
16,0,1,0,1,1,2,2,2,1,2,0,2,2,1,1,2,1,0,2,1,2,1,3,1,2,1,0,1,1,0,2,0,2,2,1,3,1,2,1,0
17,3,1,1,1,3,0,1,1,1,1,1,1,2,1,0,3,2,0,0,2,1,1,1,3,0,1,1,2,1,1,1,0,2,1,0,0,1,2,0,0
18,4,0,0,1,3,0,2,0,0,2,0,2,1,1,1,0,2,0,2,3,3,2,2,0,1,0,0,2,0,1,1,1,1,0,0,1,0,3,0,4
19,6,0,1,2,2,1,1,0,1,1,2,2,0,1,3,0,1,3,0,3,3,1,3,1,1,3,1,1,1,0,1,2,0,6,0,1,2,1,2,2
20,3,2,1,0,4,1,2,3,1,0,1,0,1,3,2,3,3,2,1,0,0,1,3,1,1,2,2,0,1,4,0,1,0,1,0,2,0,1,2,1
21,5,2,1,1,0,4,2,0,1,4,0,2,0,2,1,2,1,2,2,1,2,1,4,0,0,2,2,5,1,1,1,2,2,0,4,1,2,1,2,0
