,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,Barcelona,Celta,Real Madrid,Villarreal,Malaga,Granada,Eibar,Espanol,Sevilla,Almeria,Valencia,Ath Madrid,Vallecano,Ath Bilbao,Sociedad,Cordoba,Elche,Levante,Getafe,La Coruna
1,Barcelona,Valencia,Celta,Sevilla,Ath Madrid,Granada,Ath Bilbao,Sociedad,Villarreal,Real Madrid,Malaga,Getafe,Eibar,Vallecano,Espanol,Almeria,Cordoba,Elche,La Coruna,Levante
2,Barcelona,Valencia,Sevilla,Ath Madrid,Celta,Granada,Sociedad,Villarreal,Elche,Malaga,La Coruna,Ath Bilbao,Real Madrid,Getafe,Eibar,Almeria,Cordoba,Vallecano,Espanol,Levante
3,Barcelona,Valencia,Sevilla,Ath Madrid,Granada,Villarreal,Real Madrid,Celta,Eibar,Almeria,Malaga,Sociedad,Elche,La Coruna,Ath Bilbao,Getafe,Espanol,Cordoba,Vallecano,Levante
4,Valencia,Barcelona,Sevilla,Ath Madrid,Real Madrid,Celta,Villarreal,Granada,Eibar,Malaga,Espanol,Almeria,Vallecano,Sociedad,Elche,Levante,La Coruna,Ath Bilbao,Getafe,Cordoba
5,Barcelona,Valencia,Ath Madrid,Sevilla,Real Madrid,Celta,Villarreal,Almeria,Vallecano,Granada,Eibar,Espanol,Malaga,Getafe,Sociedad,Ath Bilbao,Elche,Levante,La Coruna,Cordoba
6,Barcelona,Valencia,Sevilla,Real Madrid,Ath Madrid,Celta,Villarreal,Espanol,Almeria,Malaga,Eibar,Vallecano,Granada,Getafe,Sociedad,Elche,Levante,Ath Bilbao,Cordoba,La Coruna
7,Barcelona,Sevilla,Real Madrid,Valencia,Ath Madrid,Villarreal,Celta,Malaga,Vallecano,Getafe,Espanol,Almeria,Eibar,Granada,La Coruna,Sociedad,Ath Bilbao,Elche,Levante,Cordoba
8,Barcelona,Sevilla,Real Madrid,Valencia,Ath Madrid,Celta,Malaga,Villarreal,Vallecano,Espanol,Getafe,Eibar,Almeria,Granada,Ath Bilbao,La Coruna,Sociedad,Cordoba,Elche,Levante
9,Real Madrid,Valencia,Ath Madrid,Barcelona,Sevilla,Celta,Malaga,Villarreal,Getafe,Eibar,Ath Bilbao,Vallecano,Espanol,Almeria,Granada,Elche,Levante,La Coruna,Sociedad,Cordoba
