,Celta scored,Celta received,Ath Madrid scored,Ath Madrid received,Barcelona scored,Barcelona received,Espanol scored,Espanol received,Eibar scored,Eibar received,Betis scored,Betis received,Villarreal scored,Villarreal received,La Coruna scored,La Coruna received,Malaga scored,Malaga received,Vallecano scored,Vallecano received,Real Madrid scored,Real Madrid received,Sociedad scored,Sociedad received,Sevilla scored,Sevilla received,Valencia scored,Valencia received,Sp Gijon scored,Sp Gijon received,Levante scored,Levante received,Ath Bilbao scored,Ath Bilbao received,Getafe scored,Getafe received,Las Palmas scored,Las Palmas received,Granada scored,Granada received
0,2,1,1,0,1,0,1,0,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,1,1,3
1,5,1,4,0,2,0,2,3,5,1,1,6,4,2,1,1,0,1,0,3,5,0,0,0,0,3,1,1,0,0,1,2,0,3,1,3,0,1,3,4
2,8,4,5,2,4,1,2,9,5,1,2,6,7,3,4,2,0,1,1,6,11,0,0,1,1,4,2,1,0,1,2,3,3,4,2,6,3,4,4,7
3,10,5,7,2,8,2,5,11,5,3,2,6,10,4,6,5,0,2,2,6,12,0,2,4,2,6,2,1,3,3,3,7,4,7,3,6,3,5,4,8
4,14,6,9,2,9,6,6,11,7,5,3,8,11,4,8,6,0,3,4,7,14,1,5,4,2,8,2,2,4,5,5,9,5,9,3,8,5,5,4,11
5,15,7,9,3,11,7,6,14,8,6,5,9,12,4,11,6,0,3,6,10,14,1,5,4,5,10,3,2,5,7,5,12,5,9,6,8,6,7,4,12
6,15,7,10,4,12,9,7,16,10,6,7,9,12,5,12,7,3,4,6,12,15,2,6,7,7,11,4,5,7,8,6,12,8,10,6,8,6,9,5,13
7,17,8,12,4,17,11,10,17,11,7,8,12,13,7,14,9,3,7,8,17,18,2,6,9,8,12,7,5,10,11,6,15,10,12,10,8,6,13,8,16
8,18,11,14,5,20,12,10,20,12,10,9,13,13,7,14,11,5,7,11,17,21,3,10,9,13,12,8,7,10,14,6,19,13,12,10,13,6,13,9,17
9,21,13,15,6,22,12,11,21,13,10,10,16,15,8,15,12,5,8,11,18,24,4,12,12,14,14,11,7,11,14,6,22,16,13,10,15,7,16,10,18
10,22,18,16,6,25,12,12,23,16,11,11,16,15,11,16,13,5,9,13,19,26,7,12,14,17,16,16,8,11,15,7,23,18,14,11,18,9,16,11,20
11,22,20,17,6,29,12,14,23,17,12,11,17,16,12,18,13,5,11,14,20,26,11,14,14,17,18,17,9,11,18,10,23,18,16,12,19,10,17,13,20
12,24,21,18,6,33,12,14,24,17,14,12,17,16,14,20,13,7,13,14,23,28,11,14,18,18,18,17,10,12,20,10,24,21,16,14,19,10,19,15,22
13,25,22,20,6,34,13,15,25,18,16,13,18,18,15,21,14,7,13,15,25,32,12,16,19,19,19,18,11,15,21,11,25,21,16,15,23,11,22,15,24
14,26,22,22,7,36,15,15,26,19,17,13,19,19,15,23,16,9,14,16,27,32,13,17,20,21,19,19,12,15,23,12,27,22,18,16,24,12,22,17,25
15,28,22,22,8,39,16,16,26,19,19,13,19,21,15,25,16,10,14,18,37,42,15,17,22,21,19,21,14,16,26,12,29,24,18,18,26,12,23,17,27
16,28,23,24,8,43,16,16,28,21,19,13,23,22,15,25,16,11,14,18,39,45,16,18,25,23,19,21,15,16,28,12,30,25,18,18,26,16,24,18,31
17,28,25,25,8,43,16,16,28,25,19,13,27,24,16,26,18,13,14,20,41,47,18,20,27,24,21,23,17,17,30,12,31,27,20,20,27,18,26,20,32
18,28,27,27,8,47,16,17,30,27,20,13,28,26,16,26,23,14,15,21,43,52,18,22,27,26,21,23,19,17,32,14,32,27,22,21,27,19,27,20,36
19,32,30,30,8,53,16,18,33,32,21,13,28,26,16,27,24,15,17,23,45,57,19,23,28,28,22,25,21,18,37,17,36,27,28,24,28,19,30,21,41
20,32,33,30,8,55,17,20,35,34,26,14,29,28,18,28,25,16,19,26,45,58,20,24,33,28,22,26,22,23,38,20,38,32,30,26,31,21,33,24,43
21,33,35,31,10,57,18,20,41,35,28,15,31,29,18,30,27,18,20,28,47,64,20,26,34,31,23,26,23,24,38,21,41,33,30,26,32,23,34,24,44
22,34,36,34,11,59,18,20,46,36,31,16,31,29,18,31,28,21,20,30,47,66,21,31,34,32,24,26,24,25,39,21,43,33,30,26,35,23,36,25,46
23,35,42,35,11,65,19,21,48,38,31,18,33,30,18,33,30,21,21,32,49,70,23,34,34,34,24,28,25,27,41,21,45,35,34,26,36,23,38,25,49
24,38,44,35,11,67,20,22,48,40,34,19,34,30,18,33,31,22,22,34,51,71,24,35,34,36,26,30,26,28,42,24,45,35,35,26,39,24,40,26,51
25,39,44,36,11,69,21,26,50,40,35,21,36,33,18,33,32,23,23,36,53,71,25,36,35,37,28,30,29,30,46,24,48,38,35,26,40,25,40,27,51
26,39,44,39,11,74,22,26,53,40,36,24,36,33,18,34,36,24,25,37,58,74,26,36,38,38,28,32,30,30,48,25,51,42,36,26,44,29,40,29,51
27,40,51,42,12,78,22,28,54,40,40,26,36,33,19,37,39,27,28,38,60,81,27,37,39,39,29,33,33,30,50,26,52,44,36,27,45,30,40,29,53
28,41,51,45,12,84,22,29,55,41,41,27,39,35,23,37,42,28,28,39,61,83,28,37,40,43,31,33,34,30,51,27,52,47,37,27,51,31,42,30,54
29,43,51,46,14,86,24,31,56,42,42,27,40,37,25,39,43,29,28,41,63,87,28,37,41,43,35,33,36,32,52,28,54,48,39,28,52,32,42,32,56
30,44,52,51,15,87,26,32,57,43,44,28,45,39,26,40,44,30,29,43,63,89,29,39,42,44,37,34,38,32,52,28,54,49,40,28,54,34,43,33,57
31,45,52,54,16,87,27,33,60,43,48,29,45,41,26,41,47,30,29,43,64,93,29,40,42,45,39,36,39,32,53,28,55,50,40,28,56,37,44,33,57
32,46,53,57,16,88,29,34,62,45,49,30,46,42,28,42,48,30,30,45,65,98,30,41,44,46,40,38,40,33,54,30,56,51,40,29,61,38,45,33,60
33,47,54,58,16,96,29,35,63,45,53,31,46,42,31,42,56,31,31,46,66,101,30,42,46,47,42,42,40,35,55,31,61,51,41,31,62,38,46,38,61
34,49,55,59,16,102,29,35,67,46,54,31,48,42,31,43,57,31,32,48,69,104,32,42,46,49,42,44,42,35,61,33,63,53,43,33,64,42,46,39,63
35,50,57,60,16,104,29,36,67,46,56,31,50,44,31,43,59,34,33,48,70,105,32,42,47,49,43,44,44,37,61,34,66,55,44,35,64,44,49,42,65
36,51,57,61,18,109,29,36,72,47,57,32,51,44,33,45,59,34,34,49,72,108,34,44,48,50,47,46,47,38,62,36,67,55,44,36,65,44,49,46,66
37,51,59,63,18,112,29,40,74,49,61,34,52,44,35,45,61,38,35,52,73,110,34,45,48,51,50,46,48,40,62,37,70,58,45,37,67,45,53,46,69
